identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000998,CRD-000106,INS-005,5,2024-01-17,41666,0,41666
ECH-0000999,CRD-000106,INS-005,6,2024-02-17,41670,0,41670
ECH-0001000,CRD-000107,INS-005,1,2022-08-24,8333,0,8333
ECH-0001001,CRD-000107,INS-005,2,2022-09-24,8333,0,8333
ECH-0001002,CRD-000107,INS-005,3,2022-10-24,8333,0,8333
ECH-0001003,CRD-000107,INS-005,4,2022-11-24,8333,0,8333
ECH-0001004,CRD-000107,INS-005,5,2022-12-24,8333,0,8333
ECH-0001005,CRD-000107,INS-005,6,2023-01-24,8333,0,8333
ECH-0001006,CRD-000107,INS-005,7,2023-02-24,8333,0,8333
ECH-0001007,CRD-000107,INS-005,8,2023-03-24,8333,0,8333
ECH-0001008,CRD-000107,INS-005,9,2023-04-24,8333,0,8333
ECH-0001009,CRD-000107,INS-005,10,2023-05-24,8333,0,8333
ECH-0001010,CRD-000107,INS-005,11,2023-06-24,8333,0,8333
ECH-0001011,CRD-000107,INS-005,12,2023-07-24,8337,0,8337
ECH-0001012,CRD-000108,INS-005,1,2023-06-13,17222,0,17222
ECH-0001013,CRD-000108,INS-005,2,2023-07-13,17222,0,17222
ECH-0001014,CRD-000108,INS-005,3,2023-08-13,17222,0,17222
ECH-0001015,CRD-000108,INS-005,4,2023-09-13,17222,0,17222
ECH-0001016,CRD-000108,INS-005,5,2023-10-13,17222,0,17222
ECH-0001017,CRD-000108,INS-005,6,2023-11-13,17222,0,17222
ECH-0001018,CRD-000108,INS-005,7,2023-12-13,17222,0,17222
ECH-0001019,CRD-000108,INS-005,8,2024-01-13,17222,0,17222
ECH-0001020,CRD-000108,INS-005,9,2024-02-13,17224,0,17224
ECH-0001021,CRD-000109,INS-005,1,2024-06-21,80000,0,80000
ECH-0001022,CRD-000109,INS-005,2,2024-07-21,80000,0,80000
ECH-0001023,CRD-000109,INS-005,3,2024-08-21,80000,0,80000
ECH-0001024,CRD-000109,INS-005,4,2024-09-21,80000,0,80000
ECH-0001025,CRD-000109,INS-005,5,2024-10-21,80000,0,80000
ECH-0001026,CRD-000109,INS-005,6,2024-11-21,80000,0,80000
ECH-0001027,CRD-000110,INS-005,1,2026-01-13,15833,0,15833
ECH-0001028,CRD-000110,INS-005,2,2026-02-13,15833,0,15833
ECH-0001029,CRD-000110,INS-005,3,2026-03-13,15833,0,15833
ECH-0001030,CRD-000110,INS-005,4,2026-04-13,15833,0,15833
ECH-0001031,CRD-000110,INS-005,5,2026-05-13,15833,0,15833
ECH-0001032,CRD-000110,INS-005,6,2026-06-13,15833,0,15833
ECH-0001033,CRD-000110,INS-005,7,2026-07-13,15833,0,15833
ECH-0001034,CRD-000110,INS-005,8,2026-08-13,15833,0,15833
ECH-0001035,CRD-000110,INS-005,9,2026-09-13,15833,0,15833
ECH-0001036,CRD-000110,INS-005,10,2026-10-13,15833,0,15833
ECH-0001037,CRD-000110,INS-005,11,2026-11-13,15833,0,15833
ECH-0001038,CRD-000110,INS-005,12,2026-12-13,15837,0,15837
ECH-0001039,CRD-000111,INS-005,1,2023-08-07,9166,0,9166
ECH-0001040,CRD-000111,INS-005,2,2023-09-07,9166,0,9166
ECH-0001041,CRD-000111,INS-005,3,2023-10-07,9166,0,9166
ECH-0001042,CRD-000111,INS-005,4,2023-11-07,9166,0,9166
ECH-0001043,CRD-000111,INS-005,5,2023-12-07,9166,0,9166
ECH-0001044,CRD-000111,INS-005,6,2024-01-07,9170,0,9170
ECH-0001045,CRD-000112,INS-005,1,2024-05-23,27500,0,27500
ECH-0001046,CRD-000112,INS-005,2,2024-06-23,27500,0,27500
ECH-0001047,CRD-000112,INS-005,3,2024-07-23,27500,0,27500
ECH-0001048,CRD-000112,INS-005,4,2024-08-23,27500,0,27500
ECH-0001049,CRD-000112,INS-005,5,2024-09-23,27500,0,27500
ECH-0001050,CRD-000112,INS-005,6,2024-10-23,27500,0,27500
ECH-0001051,CRD-000113,INS-005,1,2024-08-31,41666,0,41666
ECH-0001052,CRD-000113,INS-005,2,2024-09-30,41666,0,41666
ECH-0001053,CRD-000113,INS-005,3,2024-10-31,41666,0,41666
ECH-0001054,CRD-000113,INS-005,4,2024-11-30,41666,0,41666
ECH-0001055,CRD-000113,INS-005,5,2024-12-31,41666,0,41666
ECH-0001056,CRD-000113,INS-005,6,2025-01-31,41670,0,41670
ECH-0001057,CRD-000114,INS-005,1,2025-11-04,20555,0,20555
ECH-0001058,CRD-000114,INS-005,2,2025-12-04,20555,0,20555
ECH-0001059,CRD-000114,INS-005,3,2026-01-04,20555,0,20555
ECH-0001060,CRD-000114,INS-005,4,2026-02-04,20555,0,20555
ECH-0001061,CRD-000114,INS-005,5,2026-03-04,20555,0,20555
ECH-0001062,CRD-000114,INS-005,6,2026-04-04,20555,0,20555
ECH-0001063,CRD-000114,INS-005,7,2026-05-04,20555,0,20555
ECH-0001064,CRD-000114,INS-005,8,2026-06-04,20555,0,20555
ECH-0001065,CRD-000114,INS-005,9,2026-07-04,20560,0,20560
ECH-0001066,CRD-000115,INS-005,1,2024-02-23,56666,0,56666
ECH-0001067,CRD-000115,INS-005,2,2024-03-23,56666,0,56666
ECH-0001068,CRD-000115,INS-005,3,2024-04-23,56668,0,56668
ECH-0001069,CRD-000116,INS-005,1,2024-07-01,21111,0,21111
ECH-0001070,CRD-000116,INS-005,2,2024-08-01,21111,0,21111
ECH-0001071,CRD-000116,INS-005,3,2024-09-01,21111,0,21111
ECH-0001072,CRD-000116,INS-005,4,2024-10-01,21111,0,21111
ECH-0001073,CRD-000116,INS-005,5,2024-11-01,21111,0,21111
ECH-0001074,CRD-000116,INS-005,6,2024-12-01,21111,0,21111
ECH-0001075,CRD-000116,INS-005,7,2025-01-01,21111,0,21111
ECH-0001076,CRD-000116,INS-005,8,2025-02-01,21111,0,21111
ECH-0001077,CRD-000116,INS-005,9,2025-03-01,21112,0,21112
ECH-0001078,CRD-000117,INS-005,1,2023-09-29,41666,0,41666
ECH-0001079,CRD-000117,INS-005,2,2023-10-29,41666,0,41666
ECH-0001080,CRD-000117,INS-005,3,2023-11-29,41666,0,41666
ECH-0001081,CRD-000117,INS-005,4,2023-12-29,41666,0,41666
ECH-0001082,CRD-000117,INS-005,5,2024-01-29,41666,0,41666
ECH-0001083,CRD-000117,INS-005,6,2024-02-29,41670,0,41670
ECH-0001084,CRD-000118,INS-005,1,2024-10-06,30000,0,30000
ECH-0001085,CRD-000118,INS-005,2,2024-11-06,30000,0,30000
ECH-0001086,CRD-000118,INS-005,3,2024-12-06,30000,0,30000
ECH-0001087,CRD-000118,INS-005,4,2025-01-06,30000,0,30000
ECH-0001088,CRD-000118,INS-005,5,2025-02-06,30000,0,30000
ECH-0001089,CRD-000118,INS-005,6,2025-03-06,30000,0,30000
ECH-0001090,CRD-000119,INS-005,1,2024-05-07,27777,0,27777
ECH-0001091,CRD-000119,INS-005,2,2024-06-07,27777,0,27777
ECH-0001092,CRD-000119,INS-005,3,2024-07-07,27777,0,27777
ECH-0001093,CRD-000119,INS-005,4,2024-08-07,27777,0,27777
ECH-0001094,CRD-000119,INS-005,5,2024-09-07,27777,0,27777
ECH-0001095,CRD-000119,INS-005,6,2024-10-07,27777,0,27777
ECH-0001096,CRD-000119,INS-005,7,2024-11-07,27777,0,27777
ECH-0001097,CRD-000119,INS-005,8,2024-12-07,27777,0,27777
ECH-0001098,CRD-000119,INS-005,9,2025-01-07,27784,0,27784
ECH-0001099,CRD-000120,INS-005,1,2025-11-30,45000,0,45000
ECH-0001100,CRD-000120,INS-005,2,2025-12-31,45000,0,45000
ECH-0001101,CRD-000120,INS-005,3,2026-01-31,45000,0,45000
ECH-0001102,CRD-000120,INS-005,4,2026-02-28,45000,0,45000
ECH-0001103,CRD-000120,INS-005,5,2026-03-31,45000,0,45000
ECH-0001104,CRD-000120,INS-005,6,2026-04-30,45000,0,45000
ECH-0001105,CRD-000120,INS-005,7,2026-05-31,45000,0,45000
ECH-0001106,CRD-000120,INS-005,8,2026-06-30,45000,0,45000
ECH-0001107,CRD-000120,INS-005,9,2026-07-31,45000,0,45000
ECH-0001108,CRD-000120,INS-005,10,2026-08-31,45000,0,45000
ECH-0001109,CRD-000120,INS-005,11,2026-09-30,45000,0,45000
ECH-0001110,CRD-000120,INS-005,12,2026-10-31,45000,0,45000
ECH-0001111,CRD-000121,INS-005,1,2025-11-09,34166,0,34166
ECH-0001112,CRD-000121,INS-005,2,2025-12-09,34166,0,34166
ECH-0001113,CRD-000121,INS-005,3,2026-01-09,34166,0,34166
ECH-0001114,CRD-000121,INS-005,4,2026-02-09,34166,0,34166
ECH-0001115,CRD-000121,INS-005,5,2026-03-09,34166,0,34166
ECH-0001116,CRD-000121,INS-005,6,2026-04-09,34166,0,34166
ECH-0001117,CRD-000121,INS-005,7,2026-05-09,34166,0,34166
ECH-0001118,CRD-000121,INS-005,8,2026-06-09,34166,0,34166
ECH-0001119,CRD-000121,INS-005,9,2026-07-09,34166,0,34166
ECH-0001120,CRD-000121,INS-005,10,2026-08-09,34166,0,34166
ECH-0001121,CRD-000121,INS-005,11,2026-09-09,34166,0,34166
ECH-0001122,CRD-000121,INS-005,12,2026-10-09,34174,0,34174
ECH-0001123,CRD-000122,INS-005,1,2025-12-09,27777,0,27777
ECH-0001124,CRD-000122,INS-005,2,2026-01-09,27777,0,27777
ECH-0001125,CRD-000122,INS-005,3,2026-02-09,27777,0,27777
ECH-0001126,CRD-000122,INS-005,4,2026-03-09,27777,0,27777
ECH-0001127,CRD-000122,INS-005,5,2026-04-09,27777,0,27777
ECH-0001128,CRD-000122,INS-005,6,2026-05-09,27777,0,27777
ECH-0001129,CRD-000122,INS-005,7,2026-06-09,27777,0,27777
ECH-0001130,CRD-000122,INS-005,8,2026-07-09,27777,0,27777
ECH-0001131,CRD-000122,INS-005,9,2026-08-09,27784,0,27784
ECH-0001132,CRD-000123,INS-005,1,2024-10-12,27777,0,27777
ECH-0001133,CRD-000123,INS-005,2,2024-11-12,27777,0,27777
ECH-0001134,CRD-000123,INS-005,3,2024-12-12,27777,0,27777
ECH-0001135,CRD-000123,INS-005,4,2025-01-12,27777,0,27777
ECH-0001136,CRD-000123,INS-005,5,2025-02-12,27777,0,27777
ECH-0001137,CRD-000123,INS-005,6,2025-03-12,27777,0,27777
ECH-0001138,CRD-000123,INS-005,7,2025-04-12,27777,0,27777
ECH-0001139,CRD-000123,INS-005,8,2025-05-12,27777,0,27777
ECH-0001140,CRD-000123,INS-005,9,2025-06-12,27784,0,27784
ECH-0001141,CRD-000124,INS-005,1,2025-09-20,27777,0,27777
ECH-0001142,CRD-000124,INS-005,2,2025-10-20,27777,0,27777
ECH-0001143,CRD-000124,INS-005,3,2025-11-20,27777,0,27777
ECH-0001144,CRD-000124,INS-005,4,2025-12-20,27777,0,27777
ECH-0001145,CRD-000124,INS-005,5,2026-01-20,27777,0,27777
ECH-0001146,CRD-000124,INS-005,6,2026-02-20,27777,0,27777
ECH-0001147,CRD-000124,INS-005,7,2026-03-20,27777,0,27777
ECH-0001148,CRD-000124,INS-005,8,2026-04-20,27777,0,27777
ECH-0001149,CRD-000124,INS-005,9,2026-05-20,27784,0,27784
ECH-0001150,CRD-000125,INS-005,1,2025-11-10,41666,0,41666
ECH-0001151,CRD-000125,INS-005,2,2025-12-10,41666,0,41666
ECH-0001152,CRD-000125,INS-005,3,2026-01-10,41666,0,41666
ECH-0001153,CRD-000125,INS-005,4,2026-02-10,41666,0,41666
ECH-0001154,CRD-000125,INS-005,5,2026-03-10,41666,0,41666
ECH-0001155,CRD-000125,INS-005,6,2026-04-10,41670,0,41670
ECH-0001156,CRD-000126,INS-005,1,2025-08-13,41666,0,41666
ECH-0001157,CRD-000126,INS-005,2,2025-09-13,41666,0,41666
ECH-0001158,CRD-000126,INS-005,3,2025-10-13,41666,0,41666
ECH-0001159,CRD-000126,INS-005,4,2025-11-13,41666,0,41666
ECH-0001160,CRD-000126,INS-005,5,2025-12-13,41666,0,41666
ECH-0001161,CRD-000126,INS-005,6,2026-01-13,41670,0,41670
ECH-0001162,CRD-000127,INS-005,1,2025-10-17,41666,0,41666
ECH-0001163,CRD-000127,INS-005,2,2025-11-17,41666,0,41666
ECH-0001164,CRD-000127,INS-005,3,2025-12-17,41666,0,41666
ECH-0001165,CRD-000127,INS-005,4,2026-01-17,41666,0,41666
ECH-0001166,CRD-000127,INS-005,5,2026-02-17,41666,0,41666
ECH-0001167,CRD-000127,INS-005,6,2026-03-17,41670,0,41670
ECH-0001168,CRD-000128,INS-005,1,2025-11-05,5555,0,5555
ECH-0001169,CRD-000128,INS-005,2,2025-12-05,5555,0,5555
ECH-0001170,CRD-000128,INS-005,3,2026-01-05,5555,0,5555
ECH-0001171,CRD-000128,INS-005,4,2026-02-05,5555,0,5555
ECH-0001172,CRD-000128,INS-005,5,2026-03-05,5555,0,5555
ECH-0001173,CRD-000128,INS-005,6,2026-04-05,5555,0,5555
ECH-0001174,CRD-000128,INS-005,7,2026-05-05,5555,0,5555
ECH-0001175,CRD-000128,INS-005,8,2026-06-05,5555,0,5555
ECH-0001176,CRD-000128,INS-005,9,2026-07-05,5560,0,5560
