identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000160,CLT-000131,INS-003,COMMERCE,Vente de céréales,0,2011-11-15,
ACT-000161,CLT-000132,INS-003,SERVICES,Cabine de communication,1,2021-12-18,
ACT-000162,CLT-000133,INS-003,SERVICES,Secrétariat public,1,2020-01-22,
ACT-000163,CLT-000134,INS-003,PETITE_PRODUCTION,Transformation de céréales,1,2021-06-14,
ACT-000164,CLT-000135,INS-003,RESTAURATION,Vente de repas,1,2022-12-18,
ACT-000165,CLT-000135,INS-003,PETITE_PRODUCTION,Fabrication de savon,0,2022-12-18,
ACT-000166,CLT-000136,INS-003,ARTISANAT,Teinture de tissus,1,2021-03-16,
ACT-000167,CLT-000136,INS-003,RESTAURATION,Vente de repas,0,2021-03-16,
ACT-000168,CLT-000137,INS-003,SERVICES,Coiffure,1,2020-03-07,
ACT-000169,CLT-000138,INS-003,ELEVAGE,Élevage de volaille,1,2022-10-22,
ACT-000170,CLT-000139,INS-003,PETITE_PRODUCTION,Fabrication de savon,1,2003-07-16,
ACT-000171,CLT-000140,INS-003,ARTISANAT,Couture,1,2013-03-27,
ACT-000172,CLT-000141,INS-003,SERVICES,Secrétariat public,1,2018-12-02,
ACT-000173,CLT-000142,INS-003,ARTISANAT,Forge,1,2016-05-20,
ACT-000174,CLT-000142,INS-003,PETITE_PRODUCTION,Séchage de fruits,0,2016-05-20,
ACT-000175,CLT-000143,INS-003,AGRICULTURE,Culture d'arachide,1,2017-08-26,
ACT-000176,CLT-000143,INS-003,COMMERCE,Boutique de quartier,0,2017-08-26,
ACT-000177,CLT-000144,INS-003,SERVICES,Secrétariat public,1,2020-11-27,
ACT-000178,CLT-000145,INS-003,PETITE_PRODUCTION,Fabrication de savon,1,2023-04-06,
ACT-000179,CLT-000146,INS-003,AGRICULTURE,Culture maraîchère,1,2023-06-08,
ACT-000180,CLT-000147,INS-003,ARTISANAT,Couture,1,2025-01-30,
ACT-000181,CLT-000147,INS-003,COMMERCE,Vente de tissus,0,2025-01-30,
ACT-000182,CLT-000148,INS-003,COMMERCE,Vente de céréales,1,2015-02-01,
ACT-000183,CLT-000149,INS-003,PETITE_PRODUCTION,Transformation de céréales,1,2021-04-28,
ACT-000184,CLT-000150,INS-003,TRANSPORT,Transport de personnes,1,2022-03-14,
