identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000475,CRD-000053,INS-003,1,2024-05-22,83333,0,83333
ECH-0000476,CRD-000053,INS-003,2,2024-06-22,83333,0,83333
ECH-0000477,CRD-000053,INS-003,3,2024-07-22,83333,0,83333
ECH-0000478,CRD-000053,INS-003,4,2024-08-22,83333,0,83333
ECH-0000479,CRD-000053,INS-003,5,2024-09-22,83333,0,83333
ECH-0000480,CRD-000053,INS-003,6,2024-10-22,83333,0,83333
ECH-0000481,CRD-000053,INS-003,7,2024-11-22,83333,0,83333
ECH-0000482,CRD-000053,INS-003,8,2024-12-22,83333,0,83333
ECH-0000483,CRD-000053,INS-003,9,2025-01-22,83333,0,83333
ECH-0000484,CRD-000053,INS-003,10,2025-02-22,83333,0,83333
ECH-0000485,CRD-000053,INS-003,11,2025-03-22,83333,0,83333
ECH-0000486,CRD-000053,INS-003,12,2025-04-22,83333,0,83333
ECH-0000487,CRD-000053,INS-003,13,2025-05-22,83333,0,83333
ECH-0000488,CRD-000053,INS-003,14,2025-06-22,83333,0,83333
ECH-0000489,CRD-000053,INS-003,15,2025-07-22,83333,0,83333
ECH-0000490,CRD-000053,INS-003,16,2025-08-22,83333,0,83333
ECH-0000491,CRD-000053,INS-003,17,2025-09-22,83333,0,83333
ECH-0000492,CRD-000053,INS-003,18,2025-10-22,83339,0,83339
ECH-0000493,CRD-000054,INS-003,1,2025-04-30,31250,0,31250
ECH-0000494,CRD-000054,INS-003,2,2025-05-31,31250,0,31250
ECH-0000495,CRD-000054,INS-003,3,2025-06-30,31250,0,31250
ECH-0000496,CRD-000054,INS-003,4,2025-07-31,31250,0,31250
ECH-0000497,CRD-000054,INS-003,5,2025-08-31,31250,0,31250
ECH-0000498,CRD-000054,INS-003,6,2025-09-30,31250,0,31250
ECH-0000499,CRD-000054,INS-003,7,2025-10-31,31250,0,31250
ECH-0000500,CRD-000054,INS-003,8,2025-11-30,31250,0,31250
ECH-0000501,CRD-000054,INS-003,9,2025-12-31,31250,0,31250
ECH-0000502,CRD-000054,INS-003,10,2026-01-31,31250,0,31250
ECH-0000503,CRD-000054,INS-003,11,2026-02-28,31250,0,31250
ECH-0000504,CRD-000054,INS-003,12,2026-03-31,31250,0,31250
ECH-0000505,CRD-000054,INS-003,13,2026-04-30,31250,0,31250
ECH-0000506,CRD-000054,INS-003,14,2026-05-31,31250,0,31250
ECH-0000507,CRD-000054,INS-003,15,2026-06-30,31250,0,31250
ECH-0000508,CRD-000054,INS-003,16,2026-07-31,31250,0,31250
ECH-0000509,CRD-000054,INS-003,17,2026-08-31,31250,0,31250
ECH-0000510,CRD-000054,INS-003,18,2026-09-30,31250,0,31250
ECH-0000511,CRD-000054,INS-003,19,2026-10-31,31250,0,31250
ECH-0000512,CRD-000054,INS-003,20,2026-11-30,31250,0,31250
ECH-0000513,CRD-000054,INS-003,21,2026-12-31,31250,0,31250
ECH-0000514,CRD-000054,INS-003,22,2027-01-31,31250,0,31250
ECH-0000515,CRD-000054,INS-003,23,2027-02-28,31250,0,31250
ECH-0000516,CRD-000054,INS-003,24,2027-03-31,31250,0,31250
ECH-0000517,CRD-000055,INS-003,1,2024-03-29,28333,0,28333
ECH-0000518,CRD-000055,INS-003,2,2024-04-29,28333,0,28333
ECH-0000519,CRD-000055,INS-003,3,2024-05-29,28333,0,28333
ECH-0000520,CRD-000055,INS-003,4,2024-06-29,28333,0,28333
ECH-0000521,CRD-000055,INS-003,5,2024-07-29,28333,0,28333
ECH-0000522,CRD-000055,INS-003,6,2024-08-29,28333,0,28333
ECH-0000523,CRD-000055,INS-003,7,2024-09-29,28333,0,28333
ECH-0000524,CRD-000055,INS-003,8,2024-10-29,28333,0,28333
ECH-0000525,CRD-000055,INS-003,9,2024-11-29,28333,0,28333
ECH-0000526,CRD-000055,INS-003,10,2024-12-29,28333,0,28333
ECH-0000527,CRD-000055,INS-003,11,2025-01-29,28333,0,28333
ECH-0000528,CRD-000055,INS-003,12,2025-02-28,28337,0,28337
ECH-0000529,CRD-000056,INS-003,1,2025-01-07,52777,0,52777
ECH-0000530,CRD-000056,INS-003,2,2025-02-07,52777,0,52777
ECH-0000531,CRD-000056,INS-003,3,2025-03-07,52777,0,52777
ECH-0000532,CRD-000056,INS-003,4,2025-04-07,52777,0,52777
ECH-0000533,CRD-000056,INS-003,5,2025-05-07,52777,0,52777
ECH-0000534,CRD-000056,INS-003,6,2025-06-07,52777,0,52777
ECH-0000535,CRD-000056,INS-003,7,2025-07-07,52777,0,52777
ECH-0000536,CRD-000056,INS-003,8,2025-08-07,52777,0,52777
ECH-0000537,CRD-000056,INS-003,9,2025-09-07,52784,0,52784
ECH-0000538,CRD-000057,INS-003,1,2024-07-21,41666,0,41666
ECH-0000539,CRD-000057,INS-003,2,2024-08-21,41666,0,41666
ECH-0000540,CRD-000057,INS-003,3,2024-09-21,41666,0,41666
ECH-0000541,CRD-000057,INS-003,4,2024-10-21,41666,0,41666
ECH-0000542,CRD-000057,INS-003,5,2024-11-21,41666,0,41666
ECH-0000543,CRD-000057,INS-003,6,2024-12-21,41670,0,41670
ECH-0000544,CRD-000058,INS-003,1,2024-07-24,15833,0,15833
ECH-0000545,CRD-000058,INS-003,2,2024-08-24,15833,0,15833
ECH-0000546,CRD-000058,INS-003,3,2024-09-24,15833,0,15833
ECH-0000547,CRD-000058,INS-003,4,2024-10-24,15833,0,15833
ECH-0000548,CRD-000058,INS-003,5,2024-11-24,15833,0,15833
ECH-0000549,CRD-000058,INS-003,6,2024-12-24,15835,0,15835
ECH-0000550,CRD-000059,INS-003,1,2023-12-13,50000,0,50000
ECH-0000551,CRD-000059,INS-003,2,2024-01-13,50000,0,50000
ECH-0000552,CRD-000059,INS-003,3,2024-02-13,50000,0,50000
ECH-0000553,CRD-000059,INS-003,4,2024-03-13,50000,0,50000
ECH-0000554,CRD-000059,INS-003,5,2024-04-13,50000,0,50000
ECH-0000555,CRD-000059,INS-003,6,2024-05-13,50000,0,50000
ECH-0000556,CRD-000059,INS-003,7,2024-06-13,50000,0,50000
ECH-0000557,CRD-000059,INS-003,8,2024-07-13,50000,0,50000
ECH-0000558,CRD-000059,INS-003,9,2024-08-13,50000,0,50000
ECH-0000559,CRD-000059,INS-003,10,2024-09-13,50000,0,50000
ECH-0000560,CRD-000059,INS-003,11,2024-10-13,50000,0,50000
ECH-0000561,CRD-000059,INS-003,12,2024-11-13,50000,0,50000
ECH-0000562,CRD-000060,INS-003,1,2025-01-23,22083,0,22083
ECH-0000563,CRD-000060,INS-003,2,2025-02-23,22083,0,22083
ECH-0000564,CRD-000060,INS-003,3,2025-03-23,22083,0,22083
ECH-0000565,CRD-000060,INS-003,4,2025-04-23,22083,0,22083
ECH-0000566,CRD-000060,INS-003,5,2025-05-23,22083,0,22083
ECH-0000567,CRD-000060,INS-003,6,2025-06-23,22083,0,22083
ECH-0000568,CRD-000060,INS-003,7,2025-07-23,22083,0,22083
ECH-0000569,CRD-000060,INS-003,8,2025-08-23,22083,0,22083
ECH-0000570,CRD-000060,INS-003,9,2025-09-23,22083,0,22083
ECH-0000571,CRD-000060,INS-003,10,2025-10-23,22083,0,22083
ECH-0000572,CRD-000060,INS-003,11,2025-11-23,22083,0,22083
ECH-0000573,CRD-000060,INS-003,12,2025-12-23,22087,0,22087
ECH-0000574,CRD-000061,INS-003,1,2025-11-07,12777,0,12777
ECH-0000575,CRD-000061,INS-003,2,2025-12-07,12777,0,12777
ECH-0000576,CRD-000061,INS-003,3,2026-01-07,12777,0,12777
ECH-0000577,CRD-000061,INS-003,4,2026-02-07,12777,0,12777
ECH-0000578,CRD-000061,INS-003,5,2026-03-07,12777,0,12777
ECH-0000579,CRD-000061,INS-003,6,2026-04-07,12777,0,12777
ECH-0000580,CRD-000061,INS-003,7,2026-05-07,12777,0,12777
ECH-0000581,CRD-000061,INS-003,8,2026-06-07,12777,0,12777
ECH-0000582,CRD-000061,INS-003,9,2026-07-07,12784,0,12784
ECH-0000583,CRD-000062,INS-003,1,2025-03-06,45625,0,45625
ECH-0000584,CRD-000062,INS-003,2,2025-04-06,45625,0,45625
ECH-0000585,CRD-000062,INS-003,3,2025-05-06,45625,0,45625
ECH-0000586,CRD-000062,INS-003,4,2025-06-06,45625,0,45625
ECH-0000587,CRD-000062,INS-003,5,2025-07-06,45625,0,45625
ECH-0000588,CRD-000062,INS-003,6,2025-08-06,45625,0,45625
ECH-0000589,CRD-000062,INS-003,7,2025-09-06,45625,0,45625
ECH-0000590,CRD-000062,INS-003,8,2025-10-06,45625,0,45625
ECH-0000591,CRD-000062,INS-003,9,2025-11-06,45625,0,45625
ECH-0000592,CRD-000062,INS-003,10,2025-12-06,45625,0,45625
ECH-0000593,CRD-000062,INS-003,11,2026-01-06,45625,0,45625
ECH-0000594,CRD-000062,INS-003,12,2026-02-06,45625,0,45625
ECH-0000595,CRD-000062,INS-003,13,2026-03-06,45625,0,45625
ECH-0000596,CRD-000062,INS-003,14,2026-04-06,45625,0,45625
ECH-0000597,CRD-000062,INS-003,15,2026-05-06,45625,0,45625
ECH-0000598,CRD-000062,INS-003,16,2026-06-06,45625,0,45625
ECH-0000599,CRD-000062,INS-003,17,2026-07-06,45625,0,45625
ECH-0000600,CRD-000062,INS-003,18,2026-08-06,45625,0,45625
ECH-0000601,CRD-000062,INS-003,19,2026-09-06,45625,0,45625
ECH-0000602,CRD-000062,INS-003,20,2026-10-06,45625,0,45625
ECH-0000603,CRD-000062,INS-003,21,2026-11-06,45625,0,45625
ECH-0000604,CRD-000062,INS-003,22,2026-12-06,45625,0,45625
ECH-0000605,CRD-000062,INS-003,23,2027-01-06,45625,0,45625
ECH-0000606,CRD-000062,INS-003,24,2027-02-06,45625,0,45625
ECH-0000607,CRD-000063,INS-003,1,2025-04-07,10833,0,10833
ECH-0000608,CRD-000063,INS-003,2,2025-05-07,10833,0,10833
ECH-0000609,CRD-000063,INS-003,3,2025-06-07,10833,0,10833
ECH-0000610,CRD-000063,INS-003,4,2025-07-07,10833,0,10833
ECH-0000611,CRD-000063,INS-003,5,2025-08-07,10833,0,10833
ECH-0000612,CRD-000063,INS-003,6,2025-09-07,10835,0,10835
ECH-0000613,CRD-000064,INS-003,1,2025-11-21,18333,0,18333
ECH-0000614,CRD-000064,INS-003,2,2025-12-21,18333,0,18333
ECH-0000615,CRD-000064,INS-003,3,2026-01-21,18333,0,18333
ECH-0000616,CRD-000064,INS-003,4,2026-02-21,18333,0,18333
ECH-0000617,CRD-000064,INS-003,5,2026-03-21,18333,0,18333
ECH-0000618,CRD-000064,INS-003,6,2026-04-21,18333,0,18333
ECH-0000619,CRD-000064,INS-003,7,2026-05-21,18333,0,18333
ECH-0000620,CRD-000064,INS-003,8,2026-06-21,18333,0,18333
ECH-0000621,CRD-000064,INS-003,9,2026-07-21,18333,0,18333
ECH-0000622,CRD-000064,INS-003,10,2026-08-21,18333,0,18333
ECH-0000623,CRD-000064,INS-003,11,2026-09-21,18333,0,18333
ECH-0000624,CRD-000064,INS-003,12,2026-10-21,18337,0,18337
