identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000406,CRD-000050,ECH-0000447,INS-003,2024-10-10,43888,agence
PAI-0000407,CRD-000050,ECH-0000448,INS-003,2024-11-07,43888,collecteur
PAI-0000408,CRD-000050,ECH-0000449,INS-003,2024-12-10,43888,mobile_money
PAI-0000409,CRD-000050,ECH-0000450,INS-003,2025-01-07,43888,agence
PAI-0000410,CRD-000050,ECH-0000451,INS-003,2025-02-09,43888,agence
PAI-0000411,CRD-000050,ECH-0000452,INS-003,2025-03-08,43888,agence
PAI-0000412,CRD-000050,ECH-0000453,INS-003,2025-04-03,43896,agence
PAI-0000413,CRD-000051,ECH-0000454,INS-003,2025-03-17,42500,agence
PAI-0000414,CRD-000051,ECH-0000455,INS-003,2025-04-16,42500,mobile_money
PAI-0000415,CRD-000051,ECH-0000456,INS-003,2025-05-15,42500,agence
PAI-0000416,CRD-000051,ECH-0000457,INS-003,2025-07-19,42500,agence
PAI-0000417,CRD-000051,ECH-0000458,INS-003,2025-10-21,42500,agence
PAI-0000418,CRD-000051,ECH-0000459,INS-003,2025-11-28,42500,mobile_money
PAI-0000419,CRD-000051,ECH-0000460,INS-003,2025-12-20,42500,collecteur
PAI-0000420,CRD-000053,ECH-0000475,INS-003,2024-05-22,83333,agence
PAI-0000421,CRD-000053,ECH-0000476,INS-003,2024-06-24,83333,agence
PAI-0000422,CRD-000053,ECH-0000477,INS-003,2024-07-22,83333,mobile_money
PAI-0000423,CRD-000053,ECH-0000478,INS-003,2024-08-25,83333,agence
PAI-0000424,CRD-000053,ECH-0000479,INS-003,2024-09-23,83333,agence
PAI-0000425,CRD-000053,ECH-0000480,INS-003,2024-10-20,83333,agence
PAI-0000426,CRD-000053,ECH-0000481,INS-003,2024-11-26,83333,agence
PAI-0000427,CRD-000053,ECH-0000482,INS-003,2024-12-24,83333,agence
PAI-0000428,CRD-000053,ECH-0000483,INS-003,2025-01-26,83333,collecteur
PAI-0000429,CRD-000053,ECH-0000484,INS-003,2025-02-26,83333,agence
PAI-0000430,CRD-000053,ECH-0000485,INS-003,2025-03-24,83333,agence
PAI-0000431,CRD-000053,ECH-0000486,INS-003,2025-04-22,83333,agence
PAI-0000432,CRD-000053,ECH-0000487,INS-003,2025-05-21,83333,mobile_money
PAI-0000433,CRD-000053,ECH-0000488,INS-003,2025-06-25,39798,agence
PAI-0000434,CRD-000053,,INS-003,2025-07-15,43535,mobile_money
PAI-0000435,CRD-000053,ECH-0000489,INS-003,2025-07-23,83333,agence
PAI-0000436,CRD-000053,ECH-0000490,INS-003,2025-08-19,83333,agence
PAI-0000437,CRD-000053,ECH-0000491,INS-003,2025-09-23,83333,mobile_money
PAI-0000438,CRD-000053,ECH-0000492,INS-003,2025-10-22,83339,mobile_money
PAI-0000439,CRD-000054,ECH-0000493,INS-003,2025-05-04,31250,agence
PAI-0000440,CRD-000054,ECH-0000494,INS-003,2025-06-01,31250,mobile_money
PAI-0000441,CRD-000054,ECH-0000495,INS-003,2025-07-02,31250,collecteur
PAI-0000442,CRD-000054,ECH-0000496,INS-003,2025-08-03,31250,collecteur
PAI-0000443,CRD-000054,ECH-0000497,INS-003,2025-08-28,31250,mobile_money
PAI-0000444,CRD-000054,ECH-0000498,INS-003,2025-09-27,31250,agence
PAI-0000445,CRD-000054,ECH-0000499,INS-003,2025-10-29,31250,agence
PAI-0000446,CRD-000054,ECH-0000500,INS-003,2025-12-02,31250,agence
PAI-0000447,CRD-000055,ECH-0000517,INS-003,2024-03-28,28333,mobile_money
PAI-0000448,CRD-000055,ECH-0000518,INS-003,2024-04-27,28333,agence
PAI-0000449,CRD-000055,ECH-0000519,INS-003,2024-05-31,28333,agence
PAI-0000450,CRD-000055,ECH-0000520,INS-003,2024-07-02,28333,agence
PAI-0000451,CRD-000055,ECH-0000521,INS-003,2024-07-27,28333,agence
PAI-0000452,CRD-000055,ECH-0000522,INS-003,2024-09-02,28333,agence
PAI-0000453,CRD-000055,ECH-0000523,INS-003,2024-09-27,28333,mobile_money
PAI-0000454,CRD-000055,ECH-0000524,INS-003,2024-10-30,28333,mobile_money
PAI-0000455,CRD-000055,ECH-0000525,INS-003,2024-11-26,28333,collecteur
PAI-0000456,CRD-000055,ECH-0000526,INS-003,2024-12-29,28333,agence
PAI-0000457,CRD-000055,ECH-0000527,INS-003,2025-01-30,28333,agence
PAI-0000458,CRD-000055,ECH-0000528,INS-003,2025-02-28,28337,agence
PAI-0000459,CRD-000056,ECH-0000529,INS-003,2025-01-06,52777,agence
PAI-0000460,CRD-000056,ECH-0000530,INS-003,2025-02-04,52777,mobile_money
PAI-0000461,CRD-000056,ECH-0000531,INS-003,2025-03-05,52777,mobile_money
PAI-0000462,CRD-000056,ECH-0000532,INS-003,2025-04-05,52777,collecteur
PAI-0000463,CRD-000056,ECH-0000533,INS-003,2025-05-04,52777,collecteur
PAI-0000464,CRD-000056,ECH-0000534,INS-003,2025-06-05,52777,mobile_money
PAI-0000465,CRD-000056,ECH-0000535,INS-003,2025-07-10,52777,mobile_money
PAI-0000466,CRD-000056,ECH-0000536,INS-003,2025-08-04,52777,collecteur
PAI-0000467,CRD-000056,ECH-0000537,INS-003,2025-09-07,52784,agence
PAI-0000468,CRD-000057,ECH-0000538,INS-003,2024-07-19,41666,agence
PAI-0000469,CRD-000057,ECH-0000539,INS-003,2024-08-25,41666,mobile_money
PAI-0000470,CRD-000057,ECH-0000540,INS-003,2024-09-18,41666,agence
PAI-0000471,CRD-000057,ECH-0000541,INS-003,2024-10-24,41666,mobile_money
PAI-0000472,CRD-000057,ECH-0000542,INS-003,2024-11-23,41666,agence
PAI-0000473,CRD-000057,ECH-0000543,INS-003,2024-12-20,41670,agence
PAI-0000474,CRD-000058,ECH-0000544,INS-003,2024-07-26,7437,mobile_money
PAI-0000475,CRD-000058,ECH-0000544,INS-003,2024-08-27,15833,mobile_money
PAI-0000476,CRD-000058,,INS-003,2024-09-12,8396,agence
PAI-0000477,CRD-000058,ECH-0000546,INS-003,2024-09-26,15833,collecteur
PAI-0000478,CRD-000058,ECH-0000547,INS-003,2024-10-22,15833,agence
PAI-0000479,CRD-000058,ECH-0000548,INS-003,2024-11-21,15833,agence
PAI-0000480,CRD-000058,ECH-0000549,INS-003,2024-12-26,15835,agence
PAI-0000481,CRD-000059,ECH-0000550,INS-003,2023-12-14,50000,agence
PAI-0000482,CRD-000059,ECH-0000551,INS-003,2024-01-10,50000,agence
PAI-0000483,CRD-000059,ECH-0000552,INS-003,2024-02-16,50000,mobile_money
PAI-0000484,CRD-000059,ECH-0000553,INS-003,2024-03-12,50000,agence
PAI-0000485,CRD-000059,ECH-0000554,INS-003,2024-04-10,50000,agence
PAI-0000486,CRD-000059,ECH-0000555,INS-003,2024-05-14,50000,mobile_money
PAI-0000487,CRD-000059,ECH-0000556,INS-003,2024-06-15,50000,agence
PAI-0000488,CRD-000059,ECH-0000557,INS-003,2024-07-10,50000,mobile_money
PAI-0000489,CRD-000059,ECH-0000558,INS-003,2024-08-15,50000,agence
PAI-0000490,CRD-000059,ECH-0000559,INS-003,2024-09-15,50000,mobile_money
PAI-0000491,CRD-000059,ECH-0000560,INS-003,2024-10-14,50000,mobile_money
PAI-0000492,CRD-000059,ECH-0000561,INS-003,2024-11-12,50000,collecteur
PAI-0000493,CRD-000060,ECH-0000562,INS-003,2025-01-25,22083,collecteur
PAI-0000494,CRD-000060,ECH-0000563,INS-003,2025-02-26,22083,agence
PAI-0000495,CRD-000060,ECH-0000564,INS-003,2025-03-21,22083,agence
PAI-0000496,CRD-000060,ECH-0000565,INS-003,2025-04-25,22083,mobile_money
PAI-0000497,CRD-000060,ECH-0000566,INS-003,2025-05-23,22083,agence
PAI-0000498,CRD-000060,ECH-0000567,INS-003,2025-06-23,22083,mobile_money
PAI-0000499,CRD-000060,ECH-0000568,INS-003,2025-07-26,22083,collecteur
PAI-0000500,CRD-000060,ECH-0000569,INS-003,2025-08-27,22083,mobile_money
PAI-0000501,CRD-000060,ECH-0000570,INS-003,2025-09-27,22083,agence
PAI-0000502,CRD-000060,ECH-0000571,INS-003,2025-10-22,22083,collecteur
PAI-0000503,CRD-000060,ECH-0000572,INS-003,2025-11-22,22083,agence
PAI-0000504,CRD-000060,ECH-0000573,INS-003,2025-12-26,22087,mobile_money
PAI-0000505,CRD-000061,ECH-0000574,INS-003,2025-11-09,12777,mobile_money
PAI-0000506,CRD-000061,ECH-0000575,INS-003,2025-12-09,12777,mobile_money
PAI-0000507,CRD-000062,ECH-0000583,INS-003,2025-03-04,45625,agence
PAI-0000508,CRD-000062,ECH-0000584,INS-003,2025-04-10,45625,agence
PAI-0000509,CRD-000062,ECH-0000585,INS-003,2025-05-06,45625,agence
PAI-0000510,CRD-000062,ECH-0000586,INS-003,2025-06-09,45625,agence
PAI-0000511,CRD-000062,ECH-0000587,INS-003,2025-07-05,45625,agence
PAI-0000512,CRD-000062,ECH-0000588,INS-003,2025-08-03,45625,mobile_money
PAI-0000513,CRD-000062,ECH-0000589,INS-003,2025-09-04,45625,agence
PAI-0000514,CRD-000062,ECH-0000590,INS-003,2025-10-05,45625,agence
PAI-0000515,CRD-000062,ECH-0000591,INS-003,2025-11-08,45625,mobile_money
PAI-0000516,CRD-000062,ECH-0000592,INS-003,2025-12-06,45625,mobile_money
PAI-0000517,CRD-000063,ECH-0000607,INS-003,2025-04-10,10833,collecteur
PAI-0000518,CRD-000063,ECH-0000608,INS-003,2025-05-08,10833,agence
PAI-0000519,CRD-000063,ECH-0000609,INS-003,2025-06-06,10833,agence
PAI-0000520,CRD-000063,ECH-0000610,INS-003,2025-07-09,10833,mobile_money
PAI-0000521,CRD-000063,ECH-0000611,INS-003,2025-08-09,10833,agence
PAI-0000522,CRD-000063,ECH-0000612,INS-003,2025-09-10,10835,agence
PAI-0000523,CRD-000064,ECH-0000613,INS-003,2025-11-21,18333,collecteur
PAI-0000524,CRD-000064,ECH-0000614,INS-003,2025-12-23,18333,mobile_money
