identifiant_agent,identifiant_institution,severite,qualite_saisie
AGT-0126,INS-004,0.6777,0.9554
AGT-0127,INS-004,0.4688,0.7980
AGT-0128,INS-004,0.6191,0.8096
AGT-0129,INS-004,0.5786,0.4556
AGT-0130,INS-004,0.4920,0.1528
AGT-0131,INS-004,0.6211,0.6812
AGT-0132,INS-004,0.9078,0.7519
AGT-0133,INS-004,0.5500,0.5739
AGT-0134,INS-004,0.5329,0.7960
AGT-0135,INS-004,0.3783,0.5261
AGT-0136,INS-004,0.4207,0.7404
AGT-0137,INS-004,0.3038,0.5303
AGT-0138,INS-004,0.4391,0.7150
AGT-0139,INS-004,0.5623,0.8773
AGT-0140,INS-004,0.6677,0.8634
AGT-0141,INS-004,0.6590,0.6059
AGT-0142,INS-004,0.6771,0.6010
AGT-0143,INS-004,0.7001,0.8288
AGT-0144,INS-004,0.2205,0.6967
AGT-0145,INS-005,0.5030,0.8791
AGT-0146,INS-005,0.5073,0.8910
AGT-0147,INS-005,0.6322,0.8442
AGT-0148,INS-005,0.1504,0.5309
AGT-0149,INS-005,0.0500,0.5690
AGT-0150,INS-005,0.4826,0.7207
AGT-0151,INS-005,0.1010,0.7110
AGT-0152,INS-005,0.2824,0.9335
AGT-0153,INS-005,0.3303,0.5877
AGT-0154,INS-005,0.4027,0.9675
AGT-0155,INS-005,0.0811,0.8738
AGT-0156,INS-005,0.7501,0.4060
AGT-0157,INS-005,0.2729,0.4402
AGT-0158,INS-005,0.6233,0.9490
AGT-0159,INS-005,0.2191,0.8162
AGT-0160,INS-005,0.2196,0.7049
AGT-0161,INS-005,0.4022,0.5863
AGT-0162,INS-005,0.3576,0.5078
AGT-0163,INS-005,0.2250,0.6880
AGT-0164,INS-005,0.2301,0.9095
AGT-0165,INS-005,0.2328,0.5366
AGT-0166,INS-005,0.0779,0.7806
AGT-0167,INS-005,0.2530,0.9278
AGT-0168,INS-005,0.3814,0.6738
AGT-0169,INS-005,0.5518,0.4722
AGT-0170,INS-005,0.1648,0.8354
