identifiant_injection,table_cible,identifiant_ligne,colonne,type_anomalie,valeur_vraie,valeur_publiee
INJ-000043,07b_releves_activite.csv,REL-000163,charges_mensuelles_declarees,valeur_manquante,63755,
INJ-000044,07b_releves_activite.csv,REL-000163,charges_menage,valeur_manquante,27100,
INJ-000045,07b_releves_activite.csv,REL-000167,recettes_mensuelles_declarees,valeur_manquante,384658,
INJ-000046,07b_releves_activite.csv,REL-000176,stock_estime,valeur_manquante,67730,
INJ-000047,07b_releves_activite.csv,REL-000179,charges_menage,valeur_manquante,20834,
INJ-000048,07b_releves_activite.csv,REL-000180,recettes_mensuelles_declarees,valeur_manquante,175493,
INJ-000049,07b_releves_activite.csv,REL-000190,autres_revenus_menage,valeur_manquante,183700,
INJ-000050,07b_releves_activite.csv,REL-000191,stock_estime,valeur_manquante,1641146,
INJ-000051,07b_releves_activite.csv,REL-000201,autres_revenus_menage,valeur_manquante,544892,
INJ-000052,07b_releves_activite.csv,REL-000202,charges_mensuelles_declarees,valeur_manquante,48518,
INJ-000053,07b_releves_activite.csv,REL-000206,recettes_mensuelles_declarees,montant_aberrant,166562,1665620
INJ-000054,07b_releves_activite.csv,REL-000208,charges_menage,valeur_manquante,192223,
INJ-000055,07b_releves_activite.csv,REL-000210,charges_mensuelles_declarees,incoherence_economique,389684,1654944
INJ-000056,07b_releves_activite.csv,REL-000211,autres_revenus_menage,valeur_manquante,27718,
INJ-000057,07b_releves_activite.csv,REL-000211,charges_menage,valeur_manquante,34743,
INJ-000058,07b_releves_activite.csv,REL-000213,charges_menage,valeur_manquante,0,
INJ-000059,07b_releves_activite.csv,REL-000215,charges_menage,valeur_manquante,0,
INJ-000060,07b_releves_activite.csv,REL-000217,charges_mensuelles_declarees,valeur_manquante,181475,
INJ-000061,07b_releves_activite.csv,REL-000221,autres_revenus_menage,valeur_manquante,267230,
INJ-000062,07b_releves_activite.csv,REL-000222,recettes_mensuelles_declarees,valeur_manquante,29384,
INJ-000063,07b_releves_activite.csv,REL-000227,autres_revenus_menage,valeur_manquante,11189,
INJ-000064,07b_releves_activite.csv,REL-000232,autres_revenus_menage,valeur_manquante,0,
INJ-000065,07b_releves_activite.csv,REL-000233,recettes_mensuelles_declarees,arrondi_suspect,445416,400000
INJ-000066,07b_releves_activite.csv,REL-000233,recettes_mensuelles_declarees,valeur_manquante,400000,
INJ-000067,07b_releves_activite.csv,REL-000240,stock_estime,valeur_manquante,817395,
INJ-000068,07b_releves_activite.csv,REL-000240,autres_revenus_menage,valeur_manquante,0,
INJ-000069,07b_releves_activite.csv,REL-000246,charges_mensuelles_declarees,incoherence_economique,429624,852524
INJ-000070,07b_releves_activite.csv,REL-000246,recettes_mensuelles_declarees,arrondi_suspect,369032,400000
INJ-000071,07b_releves_activite.csv,REL-000261,recettes_mensuelles_declarees,valeur_manquante,84902,
INJ-000072,07b_releves_activite.csv,REL-000262,recettes_mensuelles_declarees,valeur_manquante,293575,
INJ-000073,07b_releves_activite.csv,REL-000269,autres_revenus_menage,valeur_manquante,120574,
INJ-000074,07b_releves_activite.csv,REL-000277,autres_revenus_menage,valeur_manquante,8009,
