identifiant_client,identifiant_institution,mois,revenu_net_activites,autres_revenus_menage,charges_menage,capacite_mensuelle,coussin_estime
CLT-000006,INS-001,2025-05,-22159,0,0,-22159,0
CLT-000006,INS-001,2025-06,-22730,0,0,-22730,0
CLT-000006,INS-001,2025-07,-40959,0,0,-40959,0
CLT-000006,INS-001,2025-08,-46615,0,0,-46615,0
CLT-000006,INS-001,2025-09,-60578,0,0,-60578,0
CLT-000006,INS-001,2025-10,-65562,0,0,-65562,0
CLT-000006,INS-001,2025-11,-63137,0,0,-63137,0
CLT-000006,INS-001,2025-12,-60664,0,0,-60664,0
CLT-000008,INS-001,2021-01,90313,0,60382,29931,31483
CLT-000008,INS-001,2021-02,115828,0,77441,38387,41079
CLT-000008,INS-001,2021-03,140615,0,94013,46602,52730
CLT-000008,INS-001,2021-04,120711,0,80706,40005,62731
CLT-000008,INS-001,2021-05,73580,0,49195,24385,68827
CLT-000008,INS-001,2021-06,68956,0,46103,22853,74541
CLT-000008,INS-001,2021-07,107807,0,72078,35729,83473
CLT-000008,INS-001,2021-08,139979,0,93588,46391,95070
CLT-000008,INS-001,2021-09,114530,0,76573,37957,104560
CLT-000008,INS-001,2021-10,115928,0,77508,38420,114165
CLT-000008,INS-001,2021-11,145833,0,97502,48331,126247
CLT-000008,INS-001,2021-12,106560,0,71245,35315,135076
CLT-000008,INS-001,2022-01,99342,0,66419,32923,143307
CLT-000008,INS-001,2022-02,86466,0,57810,28656,150471
CLT-000008,INS-001,2022-03,91475,0,61159,30316,158050
CLT-000008,INS-001,2022-04,77711,0,51957,25754,164488
CLT-000008,INS-001,2022-05,76474,0,51130,25344,170825
CLT-000008,INS-001,2022-06,86917,0,58112,28805,178026
CLT-000008,INS-001,2022-07,63961,0,42764,21197,183325
CLT-000008,INS-001,2022-08,58099,0,38844,19255,188139
CLT-000008,INS-001,2022-09,99495,0,66521,32974,196382
CLT-000008,INS-001,2022-10,106345,0,71101,35244,205193
CLT-000008,INS-001,2022-11,102305,0,68400,33905,213670
CLT-000008,INS-001,2022-12,85496,0,57162,28334,220753
CLT-000008,INS-001,2023-01,58490,0,39106,19384,225599
CLT-000008,INS-001,2023-02,79392,0,53081,26311,232177
CLT-000008,INS-001,2023-03,51621,0,34513,17108,236454
CLT-000008,INS-001,2023-04,50856,0,34002,16854,240668
CLT-000008,INS-001,2023-05,64428,0,43076,21352,246006
CLT-000008,INS-001,2023-06,79306,0,53023,26283,252577
CLT-000008,INS-001,2023-07,89020,0,59518,29502,259952
CLT-000008,INS-001,2023-08,87882,0,58757,29125,267233
CLT-000008,INS-001,2023-09,113736,0,76042,37694,276657
CLT-000008,INS-001,2023-10,104074,0,69583,34491,285280
CLT-000008,INS-001,2023-11,83719,0,55973,27746,292216
CLT-000008,INS-001,2023-12,63332,0,42343,20989,297463
CLT-000008,INS-001,2024-01,78297,0,52348,25949,303950
CLT-000008,INS-001,2024-02,56379,0,37694,18685,308622
CLT-000008,INS-001,2024-03,30443,0,20354,10089,311144
CLT-000008,INS-001,2024-04,29742,0,19885,9857,313608
CLT-000008,INS-001,2024-05,37210,0,24878,12332,316691
CLT-000008,INS-001,2024-06,73774,0,49324,24450,322804
CLT-000008,INS-001,2024-07,97062,0,64894,32168,330845
CLT-000008,INS-001,2024-08,115908,0,77495,38413,340449
CLT-000008,INS-001,2024-09,91300,0,61042,30258,348013
CLT-000008,INS-001,2024-10,64676,0,43242,21434,353372
CLT-000008,INS-001,2024-11,129322,0,86463,42859,364087
CLT-000008,INS-001,2024-12,203322,0,135939,67383,380932
CLT-000008,INS-001,2025-01,19490,0,13031,6459,382547
CLT-000008,INS-001,2025-02,11271,0,7536,3735,383481
CLT-000008,INS-001,2025-03,10185,0,6810,3375,384325
CLT-000008,INS-001,2025-04,11193,0,7484,3709,385252
CLT-000008,INS-001,2025-05,22013,0,14718,7295,387076
CLT-000008,INS-001,2025-06,16933,0,11321,5612,388479
CLT-000008,INS-001,2025-07,16051,0,10732,5319,389809
CLT-000008,INS-001,2025-08,16868,0,11278,5590,391207
CLT-000008,INS-001,2025-09,17671,0,11815,5856,392671
CLT-000008,INS-001,2025-10,16406,0,10969,5437,394030
CLT-000008,INS-001,2025-11,12428,0,8309,4119,395060
CLT-000008,INS-001,2025-12,13562,0,9067,4495,396183
CLT-000009,INS-001,2021-01,114778,0,62946,51832,12958
CLT-000009,INS-001,2021-02,105086,0,57631,47455,24822
CLT-000009,INS-001,2021-03,106722,0,58528,48194,36870
CLT-000009,INS-001,2021-04,89680,0,49182,40498,46995
CLT-000009,INS-001,2021-05,92046,0,50479,41567,57386
CLT-000009,INS-001,2021-06,91809,0,50349,41460,67751
CLT-000009,INS-001,2021-07,96089,0,52697,43392,78599
CLT-000009,INS-001,2021-08,107221,0,58802,48419,90704
CLT-000009,INS-001,2021-09,140070,0,76817,63253,106518
CLT-000009,INS-001,2021-10,106363,0,58331,48032,118526
CLT-000009,INS-001,2021-11,127487,0,69916,57571,132918
CLT-000009,INS-001,2021-12,178252,0,97756,80496,153042
CLT-000009,INS-001,2022-01,142400,0,78094,64306,169119
CLT-000009,INS-001,2022-02,138293,0,75842,62451,184731
CLT-000010,INS-001,2021-01,117016,0,45454,71562,64890
CLT-000010,INS-001,2021-02,112276,0,43613,68663,82056
CLT-000010,INS-001,2021-03,81001,0,31465,49536,94440
CLT-000010,INS-001,2021-04,88549,0,34397,54152,107978
CLT-000010,INS-001,2021-05,65313,0,25371,39942,117964
CLT-000010,INS-001,2021-06,51335,0,19941,31394,125812
CLT-000010,INS-001,2021-07,52387,0,20350,32037,133822
CLT-000010,INS-001,2021-08,68045,0,26432,41613,144225
CLT-000010,INS-001,2021-09,65648,0,25501,40147,154262
CLT-000010,INS-001,2021-10,89868,0,34909,54959,168002
CLT-000010,INS-001,2021-11,85282,0,33127,52155,181040
CLT-000010,INS-001,2021-12,98246,0,38163,60083,196061
CLT-000010,INS-001,2022-01,89955,0,34943,55012,209814
CLT-000010,INS-001,2022-02,72734,0,28253,44481,220934
CLT-000010,INS-001,2022-03,67111,0,26069,41042,231195
CLT-000010,INS-001,2022-04,77629,0,30155,47474,243063
CLT-000010,INS-001,2022-05,70169,0,27257,42912,253791
CLT-000010,INS-001,2022-06,79325,0,30814,48511,265919
CLT-000010,INS-001,2022-07,68179,0,26484,41695,276343
CLT-000010,INS-001,2022-08,85497,0,33211,52286,289415
CLT-000010,INS-001,2022-09,98972,0,38445,60527,304546
CLT-000010,INS-001,2022-10,70074,0,27220,42854,315260
CLT-000010,INS-001,2022-11,70817,0,27509,43308,326087
CLT-000010,INS-001,2022-12,79277,0,30795,48482,338207
CLT-000010,INS-001,2023-01,110335,0,42859,67476,355076
CLT-000010,INS-001,2023-02,91993,0,35734,56259,369141
CLT-000010,INS-001,2023-03,76065,0,29547,46518,380770
CLT-000010,INS-001,2023-04,70986,0,27574,43412,391623
CLT-000010,INS-001,2023-05,73640,0,28605,45035,402882
CLT-000010,INS-001,2023-06,94936,0,36878,58058,417397
CLT-000010,INS-001,2023-07,87124,0,33843,53281,430717
CLT-000010,INS-001,2023-08,88966,0,34559,54407,444319
CLT-000010,INS-001,2023-09,100791,0,39152,61639,459729
CLT-000010,INS-001,2023-10,125977,0,48935,77042,478989
CLT-000010,INS-001,2023-11,139532,0,54201,85331,500322
CLT-000010,INS-001,2023-12,137720,0,53497,84223,521378
CLT-000010,INS-001,2024-01,104474,0,40583,63891,537350
CLT-000010,INS-001,2024-02,95513,0,37102,58411,551953
CLT-000010,INS-001,2024-03,78223,0,30385,47838,563913
CLT-000010,INS-001,2024-04,44338,0,17223,27115,570691
CLT-000010,INS-001,2024-05,47936,0,18621,29315,578020
CLT-000010,INS-001,2024-06,43635,0,16950,26685,584692
CLT-000010,INS-001,2024-07,59073,0,22947,36126,593723
CLT-000010,INS-001,2024-08,57662,0,22399,35263,602539
CLT-000010,INS-001,2024-09,76366,0,29664,46702,614215
CLT-000010,INS-001,2024-10,92239,0,35830,56409,628317
CLT-000010,INS-001,2024-11,32195,0,12506,19689,633239
CLT-000010,INS-001,2024-12,28797,0,11186,17611,637642
CLT-000010,INS-001,2025-01,-26491,0,0,-26491,631019
CLT-000010,INS-001,2025-02,-24059,0,0,-24059,625004
CLT-000010,INS-001,2025-03,-22230,0,0,-22230,619447
CLT-000010,INS-001,2025-04,-19584,0,0,-19584,614551
CLT-000010,INS-001,2025-05,-16250,0,0,-16250,610488
CLT-000010,INS-001,2025-06,-19374,0,0,-19374,605645
CLT-000010,INS-001,2025-07,-21034,0,0,-21034,600386
CLT-000010,INS-001,2025-08,-15412,0,0,-15412,596533
CLT-000010,INS-001,2025-09,-70511,0,0,-70511,578905
CLT-000010,INS-001,2025-10,-64701,0,0,-64701,562730
CLT-000010,INS-001,2025-11,-68154,0,0,-68154,545692
CLT-000010,INS-001,2025-12,-91295,0,0,-91295,522868
CLT-000012,INS-001,2021-01,15386,23519,4905,34000,52500
CLT-000012,INS-001,2021-02,13128,18717,4185,27659,59415
CLT-000012,INS-001,2021-03,12532,22808,3995,31344,67251
CLT-000012,INS-001,2021-04,13173,17081,4200,26054,73764
CLT-000012,INS-001,2021-05,15527,26000,4950,36577,82909
CLT-000012,INS-001,2021-06,18649,21447,5946,34151,91446
CLT-000012,INS-001,2021-07,18502,17097,5899,29700,98871
CLT-000012,INS-001,2021-08,15990,26798,5098,37690,108294
CLT-000012,INS-001,2021-09,17842,23108,5688,35261,117109
CLT-000012,INS-001,2021-10,18815,27247,5999,40063,127125
CLT-000012,INS-001,2021-11,20738,20977,6612,35104,135901
CLT-000012,INS-001,2021-12,20089,24249,6405,37934,145384
CLT-000012,INS-001,2022-01,18108,24556,5773,36891,154607
CLT-000012,INS-001,2022-02,14815,17109,4723,27201,161407
CLT-000012,INS-001,2022-03,14233,26237,4538,35933,170390
CLT-000012,INS-001,2022-04,12203,23459,3891,31771,178333
CLT-000012,INS-001,2022-05,12268,28527,3911,36884,187554
CLT-000012,INS-001,2022-06,13015,16718,4149,25584,193950
CLT-000012,INS-001,2022-07,11849,28108,3778,36179,202995
CLT-000012,INS-001,2022-08,13567,20102,4325,29344,210331
CLT-000012,INS-001,2022-09,13259,24979,4227,34011,218834
CLT-000012,INS-001,2022-10,11044,16924,3521,24447,224945
CLT-000012,INS-001,2022-11,7302,28939,2328,33913,233423
CLT-000012,INS-001,2022-12,7263,20534,2316,25481,239794
CLT-000012,INS-001,2023-01,9103,20017,2902,26218,246348
CLT-000012,INS-001,2023-02,6919,28507,2206,33220,254653
CLT-000012,INS-001,2023-03,10569,24517,3370,31716,262582
CLT-000012,INS-001,2023-04,9033,22280,2880,28433,269691
CLT-000012,INS-001,2023-05,8196,15869,2613,21452,275053
CLT-000012,INS-001,2023-06,17245,19153,5498,30900,282778
CLT-000012,INS-001,2023-07,18446,22736,5881,35302,291604
CLT-000012,INS-001,2023-08,19096,18175,6088,31183,299400
CLT-000012,INS-001,2023-09,13451,23527,4288,32690,307572
CLT-000012,INS-001,2023-10,13801,26700,4400,36101,316597
CLT-000012,INS-001,2023-11,14496,27294,4622,37168,325889
CLT-000012,INS-001,2023-12,11324,26499,3610,34212,334442
CLT-000012,INS-001,2024-01,11538,19666,3679,27525,341324
CLT-000012,INS-001,2024-02,7534,20373,2402,25505,347700
CLT-000012,INS-001,2024-03,8682,25423,2768,31337,355534
CLT-000012,INS-001,2024-04,9370,24371,2987,30754,363223
CLT-000012,INS-001,2024-05,8834,25027,2816,31045,370984
CLT-000012,INS-001,2024-06,8501,24960,2710,30750,378672
CLT-000012,INS-001,2024-07,9177,17418,2926,23670,384589
CLT-000012,INS-001,2024-08,10752,29072,3428,36396,393688
CLT-000012,INS-001,2024-09,11524,22090,3674,29940,401173
CLT-000012,INS-001,2024-10,12787,18041,4077,26751,407861
CLT-000012,INS-001,2024-11,12399,23054,3953,31500,415736
CLT-000012,INS-001,2024-12,11033,22405,3518,29920,423216
CLT-000012,INS-001,2025-01,-2431,28998,0,26567,429858
CLT-000012,INS-001,2025-02,-2221,19239,0,17018,434112
CLT-000012,INS-001,2025-03,-1938,19241,0,17303,438438
CLT-000012,INS-001,2025-04,-1733,16139,0,14406,442039
CLT-000012,INS-001,2025-05,-2093,23447,0,21354,447378
CLT-000012,INS-001,2025-06,-2142,17380,0,15238,451187
CLT-000012,INS-001,2025-07,-2421,23028,0,20607,456339
CLT-000012,INS-001,2025-08,-2589,20496,0,17907,460816
CLT-000012,INS-001,2025-09,-3302,22957,0,19655,465729
CLT-000012,INS-001,2025-10,-3109,28665,0,25556,472118
CLT-000012,INS-001,2025-11,-2317,28611,0,26294,478692
CLT-000012,INS-001,2025-12,-2164,23807,0,21643,484103
CLT-000013,INS-001,2021-01,45345,359732,31928,373149,93287
CLT-000013,INS-001,2021-02,48177,307354,33922,321609,173690
CLT-000013,INS-001,2021-03,45763,270761,32222,284302,244765
CLT-000013,INS-001,2021-04,47867,293010,33704,307174,321558
CLT-000013,INS-001,2021-05,46779,232263,32938,246104,383084
CLT-000013,INS-001,2021-06,50103,340328,35278,355153,471873
CLT-000013,INS-001,2021-07,52851,356835,37213,372473,564991
CLT-000013,INS-001,2021-08,54795,390576,38582,406789,666688
CLT-000013,INS-001,2021-09,49582,323132,34911,337803,751139
CLT-000013,INS-001,2021-10,45017,402406,31697,415726,855070
CLT-000013,INS-001,2021-11,52635,236850,37061,252424,918176
CLT-000013,INS-001,2021-12,51110,290465,35987,305588,994573
CLT-000013,INS-001,2022-01,47431,238169,33397,252204,1057624
CLT-000013,INS-001,2022-02,41574,362776,29273,375077,1151394
CLT-000013,INS-001,2022-03,45193,273434,31821,286806,1223095
CLT-000013,INS-001,2022-04,44583,372883,31391,386075,1319614
CLT-000013,INS-001,2022-05,49104,316563,34575,331092,1402387
CLT-000013,INS-001,2022-06,51908,341909,36549,357268,1491704
CLT-000013,INS-001,2022-07,41372,271325,29130,283566,1562595
CLT-000013,INS-001,2022-08,42307,424888,29789,437406,1671947
CLT-000013,INS-001,2022-09,42705,347492,30069,360128,1761979
CLT-000013,INS-001,2022-10,35886,341626,25268,352244,1850040
CLT-000013,INS-001,2022-11,34102,317555,24012,327645,1931951
CLT-000013,INS-001,2022-12,30952,307618,21794,316777,2011145
CLT-000013,INS-001,2023-01,31748,238143,22354,247537,2073030
CLT-000013,INS-001,2023-02,31635,391454,22275,400814,2173233
CLT-000013,INS-001,2023-03,31015,251530,21838,260707,2238410
CLT-000013,INS-001,2023-04,32426,381043,22831,390637,2336069
CLT-000013,INS-001,2023-05,33030,247859,23257,257632,2400477
CLT-000013,INS-001,2023-06,40660,252197,28629,264228,2466534
CLT-000013,INS-001,2023-07,41299,399371,29079,411591,2569432
CLT-000013,INS-001,2023-08,39018,373518,27473,385063,2665698
CLT-000013,INS-001,2023-09,44697,269485,31472,282711,2736376
CLT-000013,INS-001,2023-10,33810,290520,23806,300524,2811507
CLT-000013,INS-001,2023-11,17608,348342,12398,353553,2899895
CLT-000013,INS-001,2023-12,16901,233831,11900,238832,2959603
CLT-000013,INS-001,2024-01,14055,333372,9896,337531,3043986
CLT-000013,INS-001,2024-02,24773,275711,17443,283041,3114746
CLT-000013,INS-001,2024-03,24009,353612,16905,360716,3204925
CLT-000013,INS-001,2024-04,23994,300435,16894,307534,3281808
CLT-000013,INS-001,2024-05,23888,233048,16820,240116,3341837
CLT-000013,INS-001,2024-06,23095,275506,16261,282339,3412422
CLT-000013,INS-001,2024-07,25958,302801,18277,310482,3490043
CLT-000013,INS-001,2024-08,27472,296819,19343,304948,3566280
CLT-000013,INS-001,2024-09,26102,247283,18379,255006,3630031
CLT-000013,INS-001,2024-10,14856,414642,10460,419038,3734791
CLT-000013,INS-001,2024-11,14028,229451,9877,233602,3793191
CLT-000013,INS-001,2024-12,24862,243857,17506,251213,3855995
CLT-000013,INS-001,2025-01,8939,330602,6294,333247,3939306
CLT-000013,INS-001,2025-02,8467,285497,5962,288002,4011307
CLT-000013,INS-001,2025-03,7784,419495,5481,421798,4116756
CLT-000013,INS-001,2025-04,7768,382041,5470,384340,4212841
CLT-000013,INS-001,2025-05,8228,351714,5793,354149,4301378
CLT-000013,INS-001,2025-06,7205,332445,5073,334577,4385023
CLT-000013,INS-001,2025-07,7924,278952,5579,281297,4455347
CLT-000013,INS-001,2025-08,9081,256669,6394,259356,4520186
CLT-000013,INS-001,2025-09,10170,420336,7161,423345,4626022
CLT-000013,INS-001,2025-10,10899,295706,7674,298931,4700755
CLT-000013,INS-001,2025-11,9646,292639,6792,295493,4774629
CLT-000013,INS-001,2025-12,9287,325125,6539,327873,4856597
CLT-000014,INS-001,2021-01,44528,0,28363,16165,4041
CLT-000014,INS-001,2021-02,38491,0,24517,13974,7535
CLT-000014,INS-001,2021-03,40339,0,25695,14644,11196
CLT-000014,INS-001,2021-04,34356,0,21884,12472,14314
CLT-000014,INS-001,2021-05,29023,0,18487,10536,16948
CLT-000014,INS-001,2021-06,37472,0,23868,13604,20349
CLT-000014,INS-001,2021-07,47134,0,30023,17111,24627
CLT-000014,INS-001,2021-08,51050,0,32517,18533,29260
CLT-000014,INS-001,2021-09,51373,0,32723,18650,33923
CLT-000014,INS-001,2021-10,54603,0,34780,19823,38878
CLT-000014,INS-001,2021-11,48899,0,31147,17752,43316
CLT-000014,INS-001,2021-12,39893,0,25410,14483,46937
CLT-000014,INS-001,2022-01,34173,0,21767,12406,50038
CLT-000014,INS-001,2022-02,30378,0,19350,11028,52795
CLT-000014,INS-001,2022-03,26910,0,17141,9769,55238
CLT-000014,INS-001,2022-04,25839,0,16459,9380,57583
CLT-000014,INS-001,2022-05,28330,0,18045,10285,60154
CLT-000014,INS-001,2022-06,35524,0,22628,12896,63378
CLT-000014,INS-001,2022-07,46860,0,29848,17012,67631
CLT-000014,INS-001,2022-08,42339,0,26968,15371,71474
CLT-000014,INS-001,2022-09,50967,0,32464,18503,76099
CLT-000014,INS-001,2022-10,49291,0,31397,17894,80573
CLT-000014,INS-001,2022-11,52069,0,33166,18903,85299
CLT-000014,INS-001,2022-12,44219,0,28166,16053,89312
CLT-000014,INS-001,2023-01,37927,0,24158,13769,92754
CLT-000014,INS-001,2023-02,36954,0,23538,13416,96108
CLT-000014,INS-001,2023-03,31914,0,20328,11586,99005
CLT-000014,INS-001,2023-04,30843,0,19646,11197,101804
CLT-000014,INS-001,2023-05,36141,0,23021,13120,105084
CLT-000014,INS-001,2023-06,42909,0,27332,15577,108978
CLT-000014,INS-001,2023-07,43584,0,27761,15823,112934
CLT-000014,INS-001,2023-08,38231,0,24352,13879,116404
CLT-000014,INS-001,2023-09,49648,0,31624,18024,120910
CLT-000014,INS-001,2023-10,46745,0,29775,16970,125152
CLT-000014,INS-001,2023-11,42837,0,27286,15551,129040
CLT-000014,INS-001,2023-12,50065,0,31890,18175,133584
CLT-000014,INS-001,2024-01,17201,0,10956,6245,135145
CLT-000014,INS-001,2024-02,15370,0,9790,5580,136540
CLT-000014,INS-001,2024-03,17999,0,11465,6534,138174
CLT-000014,INS-001,2024-04,20279,0,12917,7362,140014
CLT-000014,INS-001,2024-05,17788,0,11330,6458,141628
CLT-000014,INS-001,2024-06,17136,0,10915,6221,143184
CLT-000014,INS-001,2024-07,20534,0,13079,7455,145047
CLT-000014,INS-001,2024-08,44209,0,28160,16049,149060
CLT-000014,INS-001,2024-09,51615,0,32877,18738,153744
CLT-000014,INS-001,2024-10,56087,0,35725,20362,158835
CLT-000014,INS-001,2024-11,50766,0,32336,18430,163442
CLT-000014,INS-001,2024-12,47471,0,30237,17234,167750
CLT-000014,INS-001,2025-01,15563,0,9913,5650,169163
CLT-000014,INS-001,2025-02,17369,0,11063,6306,170739
CLT-000014,INS-001,2025-03,14500,0,9236,5264,172055
CLT-000014,INS-001,2025-04,15595,0,9933,5662,173471
CLT-000014,INS-001,2025-05,14631,0,9319,5312,174799
CLT-000014,INS-001,2025-06,18274,0,11640,6634,176457
CLT-000014,INS-001,2025-07,17457,0,11120,6337,178042
CLT-000014,INS-001,2025-08,19611,0,12492,7119,179821
CLT-000014,INS-001,2025-09,24257,0,15451,8806,182023
CLT-000014,INS-001,2025-10,23105,0,14717,8388,184120
CLT-000014,INS-001,2025-11,17222,0,10970,6252,185683
CLT-000014,INS-001,2025-12,15827,0,10081,5746,187119
CLT-000015,INS-001,2021-01,9795,111505,5767,115533,110383
CLT-000015,INS-001,2021-02,10425,97029,6138,101316,135712
CLT-000015,INS-001,2021-03,13576,78331,7993,83914,156691
CLT-000015,INS-001,2021-04,12550,75692,7389,80853,176904
CLT-000015,INS-001,2021-05,9556,106110,5626,110040,204414
CLT-000015,INS-001,2021-06,8621,109527,5076,113072,232682
CLT-000015,INS-001,2021-07,8161,104179,4805,107536,259566
CLT-000015,INS-001,2021-08,9988,73290,5880,77398,278916
CLT-000015,INS-001,2021-09,10097,107306,5945,111458,306780
CLT-000015,INS-001,2021-10,9682,80562,5700,84544,327916
CLT-000015,INS-001,2021-11,11023,78488,6490,83022,348671
CLT-000015,INS-001,2021-12,15279,80131,8996,86414,370275
CLT-000015,INS-001,2022-01,15077,106721,8877,112921,398505
CLT-000015,INS-001,2022-02,12146,98557,7151,103552,424393
CLT-000015,INS-001,2022-03,11391,62269,6706,66953,441131
CLT-000015,INS-001,2022-04,10780,65097,6347,69531,458514
