identifiant_demande,identifiant_institution,aurait_ete_decaisse,defaut_contrefactuel,jours_retard_max_contrefactuel,capital_perdu_contrefactuel
DEM-000361,INS-001,1,0,4,0
DEM-000365,INS-001,1,1,90,68333
DEM-000366,INS-001,1,0,3,0
DEM-000371,INS-001,1,1,90,45000
DEM-000372,INS-001,1,0,45,0
DEM-000373,INS-001,1,0,4,0
DEM-000378,INS-001,1,0,3,0
DEM-000380,INS-001,1,0,33,0
DEM-000402,INS-001,1,0,16,0
DEM-000403,INS-001,1,0,3,0
DEM-000405,INS-001,1,1,90,100000
DEM-000414,INS-001,1,1,151,69607
DEM-000438,INS-001,1,0,15,0
DEM-000448,INS-001,1,0,4,0
DEM-000459,INS-001,1,0,2,0
DEM-000474,INS-001,1,0,4,0
DEM-000479,INS-001,1,0,4,0
DEM-000481,INS-001,1,0,4,0
DEM-000484,INS-001,1,0,4,0
DEM-000486,INS-001,1,0,4,0
DEM-000487,INS-001,1,0,2,0
DEM-000504,INS-001,1,0,4,0
DEM-000505,INS-001,1,0,4,0
DEM-000510,INS-001,1,0,3,0
DEM-000517,INS-001,1,0,4,0
DEM-000518,INS-001,1,1,90,41670
DEM-000520,INS-001,0,0,1,0
DEM-000527,INS-001,1,0,4,0
DEM-000528,INS-001,1,0,3,0
DEM-000536,INS-001,1,0,12,0
DEM-000543,INS-001,1,0,4,0
DEM-000558,INS-001,1,0,2,0
DEM-000559,INS-001,1,0,4,0
DEM-000560,INS-001,1,0,4,0
DEM-000561,INS-001,1,0,1,0
DEM-000581,INS-001,1,0,4,0
DEM-000589,INS-001,1,0,20,0
DEM-000597,INS-001,1,0,22,0
DEM-000607,INS-001,1,0,4,0
DEM-000613,INS-001,1,0,4,0
DEM-000615,INS-001,0,0,2,0
DEM-000621,INS-001,1,0,2,0
DEM-000627,INS-001,0,0,13,0
DEM-000628,INS-001,1,0,15,0
DEM-000629,INS-001,1,0,33,0
DEM-000630,INS-001,1,0,27,0
DEM-000643,INS-001,1,0,2,0
DEM-000649,INS-001,1,0,0,0
DEM-000653,INS-001,1,0,4,0
DEM-000664,INS-001,1,0,4,0
DEM-000667,INS-001,1,0,4,0
DEM-000669,INS-001,1,0,4,0
DEM-000675,INS-001,1,0,0,0
DEM-000677,INS-001,1,0,4,0
DEM-000678,INS-001,1,0,4,0
DEM-000685,INS-001,0,0,3,0
DEM-000688,INS-001,1,0,4,0
DEM-000696,INS-001,1,0,2,0
DEM-000698,INS-001,1,0,4,0
DEM-000715,INS-001,1,0,3,0
DEM-000735,INS-001,1,0,1,0
DEM-000740,INS-001,1,0,4,0
DEM-000744,INS-001,1,0,31,0
DEM-000754,INS-001,1,0,10,0
DEM-000762,INS-001,1,0,4,0
DEM-000764,INS-001,1,0,0,0
DEM-000771,INS-001,1,0,2,0
DEM-000775,INS-001,1,0,4,0
DEM-000784,INS-001,1,0,4,0
DEM-000785,INS-001,1,0,3,0
DEM-000786,INS-001,1,0,4,0
DEM-000792,INS-001,1,0,4,0
DEM-000795,INS-001,0,0,4,0
DEM-000796,INS-001,1,0,3,0
DEM-000797,INS-001,1,0,4,0
DEM-000799,INS-001,1,0,0,0
DEM-000821,INS-001,1,0,4,0
DEM-000824,INS-001,1,1,90,100000
DEM-000829,INS-001,1,0,24,0
DEM-000850,INS-001,1,0,3,0
DEM-000851,INS-001,1,0,4,0
DEM-000853,INS-001,1,0,0,0
DEM-000863,INS-001,0,0,4,0
DEM-000865,INS-001,0,0,33,0
DEM-000866,INS-001,1,0,33,0
DEM-000867,INS-001,1,0,29,0
DEM-000875,INS-001,1,0,4,0
DEM-000876,INS-001,1,0,4,0
DEM-000877,INS-001,1,0,3,0
DEM-000878,INS-001,1,0,4,0
DEM-000894,INS-001,1,0,4,0
DEM-000895,INS-001,1,0,30,0
DEM-000900,INS-001,1,0,4,0
DEM-000902,INS-001,1,0,87,0
DEM-000936,INS-001,1,0,1,0
DEM-000937,INS-001,1,0,3,0
DEM-000939,INS-001,1,0,4,0
DEM-000953,INS-001,1,1,90,36212
DEM-000954,INS-001,1,0,4,0
DEM-000973,INS-001,1,0,2,0
DEM-000983,INS-001,1,0,3,0
DEM-000987,INS-001,1,0,3,0
DEM-000989,INS-001,1,1,90,106666
DEM-000990,INS-001,1,0,23,0
DEM-001013,INS-001,1,0,4,0
DEM-001019,INS-001,1,0,2,0
DEM-001028,INS-001,1,0,4,0
DEM-001031,INS-001,1,0,4,0
DEM-001037,INS-001,1,0,4,0
DEM-001043,INS-001,1,0,0,0
DEM-001048,INS-001,1,0,0,0
DEM-001057,INS-001,1,0,4,0
DEM-001067,INS-001,1,0,2,0
DEM-001071,INS-001,1,0,0,0
DEM-001079,INS-001,1,0,29,0
DEM-001081,INS-001,1,0,4,0
DEM-001082,INS-001,1,1,90,54914
DEM-001083,INS-001,1,0,3,0
DEM-001094,INS-001,1,0,4,0
DEM-001095,INS-001,0,0,4,0
DEM-001101,INS-001,1,0,4,0
DEM-001118,INS-001,1,0,4,0
DEM-001127,INS-001,1,0,4,0
DEM-001133,INS-001,1,0,0,0
DEM-001136,INS-001,1,0,4,0
DEM-001137,INS-001,1,0,3,0
DEM-001159,INS-001,1,0,2,0
DEM-001169,INS-001,1,0,15,0
DEM-001176,INS-001,1,0,4,0
DEM-001180,INS-001,1,0,4,0
DEM-001187,INS-001,1,0,3,0
DEM-001192,INS-001,1,0,4,0
DEM-001201,INS-001,1,0,2,0
DEM-001213,INS-001,1,0,9,0
DEM-001225,INS-001,0,1,90,11062
DEM-001231,INS-001,1,0,4,0
DEM-001238,INS-001,1,0,4,0
DEM-001239,INS-001,0,0,3,0
DEM-001240,INS-001,1,0,4,0
DEM-001264,INS-001,1,0,3,0
DEM-001268,INS-001,1,0,4,0
DEM-001279,INS-001,1,0,23,0
DEM-001280,INS-001,1,0,3,0
DEM-001281,INS-001,1,0,2,0
DEM-001282,INS-001,0,0,2,0
DEM-001287,INS-001,1,1,90,31666
DEM-001288,INS-001,1,0,4,0
DEM-001289,INS-001,1,0,3,0
DEM-001294,INS-001,1,0,4,0
DEM-001299,INS-001,1,0,4,0
DEM-001300,INS-001,1,1,90,12116
DEM-001301,INS-001,1,0,26,0
DEM-001307,INS-001,0,0,4,0
DEM-001309,INS-001,1,0,4,0
DEM-001314,INS-001,1,0,35,0
DEM-001322,INS-001,1,0,3,0
DEM-001336,INS-001,1,0,4,0
DEM-001338,INS-001,0,0,4,0
DEM-001342,INS-001,1,0,4,0
DEM-001364,INS-001,0,0,33,0
DEM-001365,INS-001,1,0,30,0
DEM-001376,INS-001,0,0,20,0
DEM-001391,INS-001,1,0,4,0
DEM-001400,INS-001,1,0,67,0
DEM-001401,INS-001,1,0,0,0
DEM-001402,INS-001,1,0,4,0
DEM-001405,INS-001,1,0,85,0
DEM-001406,INS-001,0,0,4,0
DEM-001417,INS-001,1,0,3,0
DEM-001420,INS-001,1,0,2,0
DEM-001426,INS-001,0,0,1,0
DEM-001436,INS-001,1,1,90,7579
DEM-001439,INS-001,1,0,4,0
DEM-001440,INS-001,0,0,0,0
DEM-001463,INS-001,1,0,27,0
DEM-001464,INS-001,1,0,6,0
DEM-001468,INS-001,1,1,90,10000
DEM-001476,INS-001,1,0,3,0
DEM-001477,INS-001,1,0,4,0
DEM-001481,INS-001,1,0,3,0
DEM-001482,INS-001,0,0,35,0
DEM-001486,INS-001,1,0,4,0
DEM-001487,INS-001,1,0,4,0
DEM-001488,INS-001,1,0,4,0
DEM-001493,INS-001,1,0,4,0
DEM-001496,INS-001,1,0,4,0
DEM-001497,INS-001,1,0,0,0
DEM-001498,INS-001,1,0,20,0
DEM-001499,INS-001,1,0,4,0
DEM-001503,INS-001,1,0,4,0
DEM-001506,INS-001,1,0,3,0
DEM-001522,INS-001,1,0,0,0
DEM-001530,INS-001,1,0,4,0
DEM-001544,INS-001,1,0,4,0
DEM-001546,INS-001,1,1,121,100000
DEM-001566,INS-001,1,0,4,0
DEM-001568,INS-001,1,0,19,0
DEM-001584,INS-001,1,0,29,0
DEM-001589,INS-001,1,0,4,0
DEM-001590,INS-001,1,0,29,0
DEM-001591,INS-001,1,0,4,0
DEM-001598,INS-001,1,0,4,0
DEM-001625,INS-001,1,0,4,0
DEM-001626,INS-001,1,0,3,0
DEM-001627,INS-001,1,0,1,0
DEM-001636,INS-001,1,0,3,0
DEM-001646,INS-001,1,0,34,0
DEM-001650,INS-001,1,0,4,0
DEM-001662,INS-001,1,0,0,0
DEM-001664,INS-001,1,0,4,0
DEM-001672,INS-001,1,0,4,0
DEM-001674,INS-001,1,0,4,0
DEM-001675,INS-001,1,0,4,0
DEM-001678,INS-001,1,0,4,0
DEM-001680,INS-001,1,0,3,0
DEM-001682,INS-001,1,0,1,0
DEM-001684,INS-001,0,0,4,0
DEM-001685,INS-001,1,0,4,0
DEM-001689,INS-001,1,0,4,0
DEM-001691,INS-001,1,1,121,13769
DEM-001692,INS-001,1,0,4,0
DEM-001693,INS-001,0,0,4,0
DEM-001694,INS-001,1,0,38,0
DEM-001695,INS-001,1,1,90,83333
DEM-001707,INS-001,1,0,3,0
DEM-001723,INS-001,1,0,4,0
DEM-001739,INS-001,1,0,22,0
DEM-001740,INS-001,1,0,4,0
DEM-001747,INS-001,1,1,90,21729
DEM-001748,INS-001,1,0,42,0
DEM-001757,INS-001,1,0,3,0
DEM-001763,INS-001,1,0,4,0
DEM-001770,INS-001,1,0,4,0
DEM-001771,INS-001,1,0,3,0
DEM-001777,INS-001,1,0,4,0
DEM-001779,INS-001,1,0,2,0
DEM-001781,INS-001,1,0,0,0
DEM-001785,INS-001,1,0,33,0
DEM-001786,INS-001,0,0,0,0
DEM-001788,INS-001,1,0,3,0
DEM-001806,INS-001,1,0,3,0
DEM-001810,INS-001,1,0,4,0
DEM-001821,INS-001,1,0,3,0
DEM-001829,INS-001,1,0,6,0
DEM-001830,INS-001,1,0,4,0
DEM-001831,INS-001,1,0,4,0
DEM-001854,INS-001,1,0,3,0
DEM-001864,INS-001,0,0,3,0
DEM-001875,INS-001,1,0,4,0
DEM-001882,INS-001,1,0,3,0
DEM-001899,INS-001,1,0,3,0
DEM-001913,INS-001,1,0,4,0
DEM-001915,INS-001,1,0,1,0
DEM-001918,INS-001,1,0,4,0
DEM-001919,INS-001,1,0,3,0
DEM-001920,INS-001,1,0,4,0
DEM-001921,INS-001,1,0,34,0
DEM-001926,INS-001,1,0,3,0
DEM-001931,INS-001,1,0,35,0
DEM-001934,INS-001,1,0,19,0
DEM-001940,INS-001,1,0,3,0
DEM-001941,INS-001,1,0,3,0
DEM-001944,INS-001,1,0,4,0
DEM-001946,INS-001,1,0,4,0
DEM-001952,INS-001,1,0,25,0
DEM-001953,INS-001,1,0,4,0
DEM-001961,INS-001,1,0,7,0
DEM-001965,INS-001,1,0,26,0
DEM-001968,INS-001,1,0,4,0
DEM-001969,INS-001,1,1,90,50000
DEM-001970,INS-001,1,0,2,0
DEM-001975,INS-001,1,0,3,0
DEM-001980,INS-001,1,0,4,0
DEM-001996,INS-001,0,0,34,0
DEM-002000,INS-001,0,0,0,0
DEM-002008,INS-001,1,0,4,0
DEM-002009,INS-001,1,0,4,0
DEM-002014,INS-001,1,0,4,0
DEM-002017,INS-001,1,0,4,0
DEM-002020,INS-001,1,0,3,0
DEM-002029,INS-001,1,0,4,0
DEM-002033,INS-001,1,0,4,0
DEM-002034,INS-001,1,0,0,0
DEM-002046,INS-001,1,0,34,0
DEM-002047,INS-001,1,0,4,0
DEM-002048,INS-001,1,0,3,0
DEM-002051,INS-001,1,0,0,0
DEM-002066,INS-001,1,0,0,0
DEM-002074,INS-001,1,0,4,0
DEM-002078,INS-001,1,0,4,0
DEM-002080,INS-001,1,0,4,0
DEM-002081,INS-001,1,0,2,0
DEM-002083,INS-001,1,1,90,125000
DEM-002084,INS-001,1,0,82,0
DEM-002101,INS-001,1,0,2,0
DEM-002102,INS-001,1,0,4,0
DEM-002103,INS-001,1,0,4,0
DEM-002104,INS-001,1,0,4,0
DEM-002105,INS-001,1,0,4,0
DEM-002107,INS-001,1,0,2,0
DEM-002114,INS-001,1,0,4,0
DEM-002121,INS-001,1,1,90,5416
DEM-002122,INS-001,1,0,4,0
DEM-002127,INS-001,1,0,3,0
DEM-002136,INS-001,1,0,0,0
DEM-002139,INS-001,0,1,120,36153
DEM-002151,INS-001,1,0,4,0
DEM-002154,INS-001,0,0,1,0
DEM-002156,INS-001,0,0,3,0
DEM-002158,INS-001,1,0,4,0
DEM-002170,INS-001,1,0,4,0
DEM-002171,INS-001,1,0,4,0
DEM-002172,INS-001,1,1,90,44583
DEM-002173,INS-001,1,1,90,29166
DEM-002184,INS-001,1,0,4,0
DEM-002194,INS-001,1,0,2,0
DEM-002212,INS-001,1,0,3,0
DEM-002214,INS-001,1,0,3,0
DEM-002219,INS-001,1,1,121,135000
DEM-002223,INS-001,1,0,4,0
DEM-002228,INS-001,0,0,4,0
DEM-002231,INS-001,1,0,3,0
DEM-002233,INS-001,0,0,3,0
DEM-002234,INS-001,1,0,4,0
DEM-002237,INS-001,1,0,4,0
DEM-002239,INS-001,1,0,28,0
DEM-002243,INS-001,1,0,3,0
DEM-002248,INS-001,1,1,151,356956
DEM-002269,INS-001,1,0,54,0
DEM-002271,INS-001,1,0,4,0
DEM-002273,INS-001,1,0,34,0
DEM-002274,INS-001,1,0,4,0
DEM-002275,INS-001,1,0,3,0
DEM-002280,INS-001,1,0,2,0
DEM-002283,INS-001,1,0,25,0
DEM-002288,INS-001,1,0,4,0
DEM-002304,INS-001,1,0,4,0
DEM-002306,INS-001,1,0,3,0
DEM-002308,INS-001,1,0,4,0
DEM-002313,INS-001,1,0,29,0
DEM-002318,INS-001,1,0,3,0
DEM-002325,INS-001,1,0,4,0
DEM-002329,INS-001,1,0,3,0
DEM-002333,INS-001,1,0,3,0
DEM-002341,INS-001,1,0,22,0
DEM-002342,INS-001,0,0,4,0
DEM-002370,INS-001,1,0,17,0
DEM-002377,INS-001,1,0,4,0
DEM-002399,INS-001,0,0,32,0
DEM-002400,INS-001,1,0,28,0
DEM-002401,INS-001,1,0,3,0
DEM-002405,INS-001,1,0,4,0
DEM-002409,INS-001,1,0,34,0
DEM-002421,INS-001,1,0,27,0
DEM-002424,INS-001,1,0,34,0
DEM-002426,INS-001,0,0,4,0
DEM-002429,INS-001,0,1,90,26250
DEM-002430,INS-001,1,0,4,0
DEM-002431,INS-001,1,0,4,0
DEM-002441,INS-001,1,0,3,0
DEM-002448,INS-001,1,0,4,0
DEM-002451,INS-001,1,0,12,0
DEM-002456,INS-001,1,0,39,0
DEM-002458,INS-001,1,0,0,0
DEM-002487,INS-001,1,0,4,0
DEM-002504,INS-001,1,1,121,54469
DEM-002510,INS-001,0,0,33,0
DEM-002523,INS-001,1,0,3,0
DEM-002526,INS-001,1,0,3,0
DEM-002536,INS-001,1,0,4,0
DEM-002539,INS-001,1,0,33,0
DEM-002540,INS-001,1,0,4,0
DEM-002542,INS-001,1,0,3,0
DEM-002544,INS-001,1,0,4,0
DEM-002552,INS-001,1,0,1,0
DEM-002553,INS-001,1,0,3,0
DEM-002557,INS-001,1,1,177,62499
DEM-002563,INS-001,1,0,1,0
DEM-002566,INS-001,1,0,3,0
DEM-002571,INS-001,1,0,3,0
DEM-002584,INS-001,1,0,3,0
DEM-002585,INS-001,1,0,4,0
DEM-002591,INS-001,1,0,4,0
DEM-002592,INS-001,1,0,4,0
DEM-002593,INS-001,1,0,4,0
DEM-002594,INS-001,1,0,4,0
DEM-002595,INS-001,1,0,1,0
DEM-002599,INS-001,1,0,4,0
DEM-002601,INS-001,0,0,18,0
DEM-002602,INS-001,1,0,4,0
DEM-002613,INS-001,1,1,90,50000
DEM-002637,INS-001,1,0,4,0
DEM-002640,INS-001,1,0,4,0
DEM-002659,INS-001,1,0,24,0
DEM-002663,INS-001,1,0,4,0
DEM-002676,INS-001,1,0,34,0
DEM-002691,INS-001,0,0,3,0
DEM-002698,INS-001,1,0,4,0
DEM-002699,INS-001,1,0,4,0
DEM-002712,INS-001,1,0,23,0
DEM-002715,INS-001,1,0,4,0
DEM-002719,INS-001,1,0,2,0
DEM-002721,INS-001,1,0,31,0
DEM-002724,INS-001,1,0,2,0
DEM-002728,INS-001,1,0,3,0
DEM-002730,INS-001,1,0,3,0
DEM-002735,INS-001,1,0,3,0
DEM-002739,INS-001,1,0,3,0
DEM-002747,INS-001,1,0,4,0
DEM-002752,INS-001,1,0,4,0
DEM-002755,INS-001,1,1,90,49069
DEM-002756,INS-001,1,0,4,0
DEM-002757,INS-001,1,1,90,27784
DEM-002766,INS-001,1,0,3,0
DEM-002777,INS-001,1,0,24,0
DEM-002786,INS-001,1,0,27,0
DEM-002794,INS-001,1,0,3,0
DEM-002800,INS-001,1,0,0,0
DEM-002819,INS-001,1,0,3,0
DEM-002827,INS-001,1,0,4,0
DEM-002831,INS-001,1,1,90,24166
DEM-002832,INS-001,1,0,4,0
DEM-002834,INS-001,1,0,31,0
DEM-002845,INS-001,1,1,90,4166
DEM-002846,INS-001,1,0,4,0
DEM-002848,INS-001,0,0,4,0
DEM-002849,INS-001,1,0,1,0
DEM-002853,INS-001,1,0,3,0
DEM-002871,INS-001,0,0,3,0
DEM-002873,INS-001,1,0,4,0
DEM-002881,INS-001,1,0,4,0
DEM-002898,INS-001,1,0,4,0
DEM-002914,INS-001,1,0,4,0
DEM-002920,INS-001,1,1,90,10076
DEM-002925,INS-001,1,0,4,0
DEM-002926,INS-001,1,0,4,0
DEM-002927,INS-001,1,0,4,0
DEM-002928,INS-001,1,0,2,0
DEM-002931,INS-001,1,0,4,0
DEM-002939,INS-001,1,0,3,0
DEM-002950,INS-001,1,0,4,0
DEM-002953,INS-001,1,0,30,0
DEM-002955,INS-001,1,0,4,0
DEM-002968,INS-001,1,0,4,0
DEM-002970,INS-001,1,0,4,0
DEM-002971,INS-001,1,0,4,0
DEM-002975,INS-001,0,0,3,0
DEM-002985,INS-001,1,0,3,0
DEM-002994,INS-001,0,0,2,0
DEM-002995,INS-001,1,0,4,0
DEM-002999,INS-001,1,0,4,0
DEM-003003,INS-001,1,0,3,0
DEM-003004,INS-001,0,1,90,89444
DEM-003010,INS-001,1,0,4,0
DEM-003012,INS-001,0,0,3,0
DEM-003013,INS-001,0,0,19,0
DEM-003023,INS-001,1,0,4,0
DEM-003031,INS-001,1,0,4,0
DEM-003034,INS-001,1,1,90,17121
DEM-003037,INS-001,1,0,4,0
DEM-003038,INS-001,1,0,2,0
DEM-003039,INS-001,1,0,4,0
DEM-003040,INS-001,1,0,4,0
DEM-003042,INS-001,1,0,0,0
DEM-003045,INS-001,1,0,3,0
DEM-003046,INS-001,1,0,4,0
DEM-003048,INS-001,1,0,4,0
DEM-003050,INS-001,1,0,34,0
DEM-003052,INS-001,1,1,90,5099
DEM-003053,INS-001,1,0,29,0
DEM-003054,INS-001,1,0,2,0
DEM-003055,INS-001,1,0,12,0
DEM-003064,INS-001,1,0,4,0
DEM-003066,INS-001,1,0,4,0
DEM-003067,INS-001,1,0,4,0
DEM-003068,INS-001,0,0,4,0
DEM-003069,INS-001,0,0,4,0
DEM-003070,INS-001,1,0,4,0
DEM-003072,INS-001,1,0,4,0
DEM-003076,INS-001,1,1,90,24166
DEM-003077,INS-001,1,0,4,0
DEM-003082,INS-001,1,0,3,0
DEM-003084,INS-001,1,0,4,0
DEM-003091,INS-001,1,0,22,0
DEM-003092,INS-001,1,0,28,0
DEM-003093,INS-001,1,0,1,0
DEM-003109,INS-001,0,0,17,0
DEM-003110,INS-001,1,0,4,0
DEM-003115,INS-001,1,0,46,0
DEM-003120,INS-001,1,0,4,0
DEM-003130,INS-001,1,0,30,0
DEM-003149,INS-001,1,1,90,26250
DEM-003151,INS-001,1,0,4,0
DEM-003156,INS-001,1,0,4,0
DEM-003182,INS-001,1,0,3,0
DEM-003183,INS-001,1,0,4,0
DEM-003185,INS-001,1,1,90,14481
DEM-003189,INS-001,1,0,4,0
DEM-003197,INS-001,1,0,3,0
DEM-003198,INS-001,1,0,4,0
DEM-003207,INS-001,1,1,90,14945
DEM-003211,INS-001,1,0,4,0
DEM-003212,INS-001,1,0,4,0
DEM-003219,INS-001,1,0,34,0
DEM-003222,INS-001,1,1,90,75000
DEM-003226,INS-001,1,0,30,0
DEM-003227,INS-001,1,0,3,0
DEM-003229,INS-001,1,0,4,0
DEM-003231,INS-001,1,0,3,0
DEM-003239,INS-001,1,0,4,0
DEM-003247,INS-001,1,0,4,0
DEM-003248,INS-001,1,0,3,0
DEM-003249,INS-001,1,1,90,83333
DEM-003250,INS-001,1,0,17,0
DEM-003251,INS-001,0,0,4,0
DEM-003268,INS-001,1,0,2,0
DEM-003289,INS-001,1,0,3,0
DEM-003290,INS-001,1,0,4,0
DEM-003293,INS-001,1,0,4,0
DEM-003296,INS-001,1,0,0,0
DEM-003307,INS-001,1,0,1,0
DEM-003313,INS-001,0,0,4,0
DEM-003314,INS-001,1,0,15,0
DEM-003315,INS-001,1,0,4,0
DEM-003321,INS-001,0,0,2,0
DEM-003325,INS-001,1,0,31,0
DEM-003326,INS-001,1,0,29,0
DEM-003327,INS-001,1,0,29,0
DEM-003328,INS-001,0,0,3,0
DEM-003329,INS-001,1,1,90,27777
DEM-003330,INS-001,1,0,4,0
DEM-003361,INS-001,1,1,90,34166
DEM-003363,INS-001,1,0,2,0
DEM-003364,INS-001,1,0,3,0
DEM-003379,INS-001,1,0,4,0
DEM-003390,INS-001,1,0,4,0
DEM-003400,INS-001,1,0,4,0
DEM-003402,INS-001,1,0,4,0
DEM-003415,INS-001,1,0,4,0
DEM-003416,INS-001,1,0,3,0
DEM-003424,INS-001,1,0,13,0
DEM-003427,INS-001,1,1,90,53337
DEM-003428,INS-001,1,1,90,80000
DEM-003429,INS-001,1,0,42,0
DEM-003437,INS-001,1,0,3,0
DEM-003438,INS-001,1,0,4,0
DEM-003450,INS-001,1,0,0,0
DEM-003463,INS-001,1,0,52,0
DEM-003465,INS-001,1,0,20,0
DEM-003471,INS-001,1,0,28,0
DEM-003477,INS-001,1,0,35,0
DEM-003479,INS-001,1,0,23,0
DEM-003480,INS-001,1,0,4,0
DEM-003483,INS-001,1,0,30,0
DEM-003486,INS-001,1,0,4,0
DEM-003487,INS-001,1,0,1,0
DEM-003488,INS-001,0,0,4,0
DEM-003492,INS-001,1,0,2,0
DEM-003493,INS-001,1,0,2,0
DEM-003507,INS-001,1,0,3,0
DEM-003511,INS-001,0,0,0,0
DEM-003515,INS-001,1,0,28,0
DEM-003524,INS-001,1,0,4,0
DEM-003525,INS-001,1,0,27,0
DEM-003526,INS-001,1,0,4,0
DEM-003535,INS-001,1,0,4,0
DEM-003536,INS-001,1,0,4,0
DEM-003537,INS-001,1,0,4,0
DEM-003538,INS-001,1,0,2,0
DEM-003539,INS-001,1,0,3,0
DEM-003546,INS-001,1,0,2,0
DEM-003553,INS-001,1,0,4,0
DEM-003560,INS-001,1,0,52,0
DEM-003562,INS-001,1,0,3,0
DEM-003568,INS-001,1,0,4,0
DEM-003569,INS-001,1,0,1,0
DEM-003575,INS-001,1,0,3,0
DEM-003576,INS-001,1,0,4,0
DEM-003580,INS-001,1,0,4,0
DEM-003583,INS-001,1,0,2,0
DEM-003584,INS-001,1,0,35,0
DEM-003595,INS-001,1,0,4,0
DEM-003603,INS-001,1,0,31,0
DEM-003614,INS-001,1,0,4,0
DEM-003620,INS-001,0,0,2,0
DEM-003621,INS-001,1,0,3,0
DEM-003630,INS-001,1,0,4,0
DEM-003647,INS-001,1,0,4,0
DEM-003648,INS-001,1,0,3,0
DEM-003650,INS-001,1,0,2,0
DEM-003656,INS-001,1,0,4,0
DEM-003657,INS-001,1,0,3,0
DEM-003658,INS-001,1,0,4,0
DEM-003659,INS-001,1,0,3,0
DEM-003663,INS-001,0,0,34,0
DEM-003664,INS-001,1,0,4,0
DEM-003670,INS-001,1,0,4,0
DEM-003672,INS-001,1,0,2,0
DEM-003675,INS-001,1,0,4,0
DEM-003676,INS-001,1,0,30,0
DEM-003677,INS-001,1,0,30,0
DEM-003678,INS-001,1,0,57,0
DEM-003679,INS-001,1,0,21,0
DEM-003691,INS-001,1,0,4,0
DEM-003695,INS-001,0,0,4,0
DEM-003708,INS-001,1,0,4,0
DEM-003712,INS-001,1,0,4,0
DEM-003715,INS-001,1,0,34,0
DEM-003725,INS-001,0,0,4,0
DEM-003733,INS-001,1,0,4,0
DEM-003741,INS-001,0,0,4,0
DEM-003748,INS-001,0,0,19,0
DEM-003749,INS-001,1,0,4,0
DEM-003754,INS-001,1,0,4,0
DEM-003768,INS-001,1,0,4,0
DEM-003769,INS-001,1,0,3,0
DEM-003772,INS-001,0,0,0,0
DEM-003775,INS-001,1,0,17,0
DEM-003778,INS-001,1,0,1,0
DEM-003783,INS-001,1,0,4,0
DEM-003785,INS-001,1,0,3,0
DEM-003786,INS-001,1,0,4,0
DEM-003787,INS-001,1,0,4,0
DEM-003806,INS-001,1,0,4,0
DEM-003817,INS-001,1,0,3,0
DEM-003821,INS-001,1,0,4,0
DEM-003822,INS-001,1,0,1,0
DEM-003824,INS-001,1,0,6,0
DEM-003825,INS-001,1,0,27,0
DEM-003840,INS-001,1,0,1,0
DEM-003844,INS-001,1,0,58,0
DEM-003854,INS-001,1,0,0,0
DEM-003861,INS-001,1,0,4,0
DEM-003866,INS-001,0,1,90,23458
