identifiant_activite,identifiant_client,recettes_initiales,marge_structurelle,croissance_annuelle,volatilite_recettes,amplitude_saisonniere,mois_pic
ACT-000031,CLT-000024,157629,0.1415,0.0551,0.1917,0.1939,12
ACT-000032,CLT-000025,106517,0.4028,0.0304,0.2097,0.2196,12
ACT-000033,CLT-000026,165288,0.3818,0.1811,0.1519,0.2312,8
ACT-000034,CLT-000027,86084,0.0815,0.1085,0.1772,0.2346,12
ACT-000035,CLT-000028,466046,0.0352,0.0552,0.1678,0.1700,8
ACT-000036,CLT-000029,188819,0.1734,-0.0860,0.0981,0.1364,12
ACT-000037,CLT-000030,323549,0.1874,0.0877,0.1721,0.2245,12
ACT-000038,CLT-000030,295227,0.1915,0.0220,0.1940,0.1030,12
ACT-000039,CLT-000031,355968,0.1887,-0.0319,0.3298,0.1576,12
ACT-000040,CLT-000032,387725,0.1036,0.0962,0.1699,0.1422,12
ACT-000041,CLT-000033,211840,0.0768,0.1092,0.5484,0.1796,12
ACT-000042,CLT-000034,81698,0.2970,0.0053,0.1724,0.6550,12
ACT-000043,CLT-000035,167925,0.0755,-0.0227,0.1242,0.2604,12
ACT-000044,CLT-000036,40972,0.4091,0.0852,0.0679,0.1515,9
ACT-000045,CLT-000037,157644,0.0841,0.2658,0.1806,0.1686,11
ACT-000046,CLT-000038,175386,0.0800,-0.0051,0.2092,0.2163,12
ACT-000047,CLT-000039,264891,0.1041,0.0289,0.1018,0.2463,11
ACT-000048,CLT-000040,513718,0.0615,-0.0139,0.1953,0.2647,12
ACT-000049,CLT-000041,200606,0.2211,-0.0708,0.2348,0.2148,12
ACT-000050,CLT-000041,328479,0.1151,0.1473,0.2081,0.2078,11
ACT-000051,CLT-000042,589921,0.1626,0.1023,0.1378,0.1470,12
ACT-000052,CLT-000043,270266,0.2845,0.0358,0.1162,0.1893,9
ACT-000053,CLT-000043,103281,0.0623,0.0892,0.2497,0.2718,11
ACT-000054,CLT-000044,177587,0.1529,-0.1563,0.1520,0.2954,11
ACT-000055,CLT-000045,563680,0.0620,0.1610,0.1412,0.1789,12
ACT-000056,CLT-000045,64667,0.2036,0.0431,0.1388,0.2878,12
ACT-000057,CLT-000046,223197,0.1492,-0.0238,0.1442,0.1884,12
ACT-000058,CLT-000047,749961,0.1187,-0.0487,0.4429,0.1819,12
ACT-000059,CLT-000048,156317,0.2976,-0.1854,0.1166,0.1617,9
ACT-000060,CLT-000048,66272,0.1623,0.1706,0.1834,0.2152,12
ACT-000061,CLT-000049,272288,0.0200,0.1781,0.1811,0.2134,12
ACT-000062,CLT-000050,87759,0.4794,0.0792,0.1644,0.2151,12
ACT-000063,CLT-000051,126850,0.1385,-0.0181,0.2388,0.1429,11
ACT-000064,CLT-000051,229288,0.1796,0.0322,0.1434,0.1513,12
ACT-000065,CLT-000052,726067,0.0941,0.0003,0.2357,0.4775,11
ACT-000066,CLT-000053,157378,0.2930,0.3328,0.1693,0.1668,10
ACT-000067,CLT-000054,55129,0.4361,-0.0559,0.2165,0.1493,11
ACT-000068,CLT-000055,397544,0.2763,-0.0260,0.1828,0.0513,9
ACT-000069,CLT-000055,36365,0.0353,0.1427,0.1642,0.1824,12
ACT-000070,CLT-000056,408920,0.1348,-0.0515,0.1857,0.1884,12
ACT-000071,CLT-000057,209928,0.1441,-0.1367,0.2035,0.1397,12
ACT-000072,CLT-000058,3083053,0.2223,0.2538,0.2841,0.2407,12
ACT-000073,CLT-000059,313349,0.1618,-0.1806,0.0748,0.2419,12
ACT-000074,CLT-000060,116996,0.1213,-0.0653,0.1642,0.2229,12
ACT-000075,CLT-000060,125868,0.2931,-0.0619,0.1395,0.2191,8
ACT-000076,CLT-000061,143112,0.2561,-0.0079,0.1537,0.1298,8
ACT-000077,CLT-000062,2785404,0.1589,-0.0557,0.4464,0.0490,12
ACT-000078,CLT-000063,422469,0.0839,0.1099,0.0811,0.1525,12
ACT-000079,CLT-000064,231697,0.1336,0.1028,0.5491,0.1593,12
ACT-000080,CLT-000065,178003,0.1071,0.0968,0.2016,0.2253,11
ACT-000081,CLT-000066,257101,0.1109,0.1457,0.1498,0.2344,11
ACT-000082,CLT-000067,194883,0.1097,0.2099,0.0895,0.2027,11
ACT-000083,CLT-000068,42013,0.1902,-0.1326,0.1974,0.2204,11
ACT-000084,CLT-000069,341558,0.1176,-0.0562,0.1858,0.0383,11
ACT-000085,CLT-000070,1205402,0.1589,-0.1413,0.0893,0.1584,12
ACT-000086,CLT-000071,285414,0.3464,-0.1888,0.1382,0.0967,8
ACT-000087,CLT-000071,62160,0.1465,-0.1314,0.1347,0.3052,11
ACT-000088,CLT-000072,159312,0.0200,0.1321,0.0778,0.2444,12
ACT-000089,CLT-000073,528542,0.1054,0.0101,0.1305,0.1828,12
ACT-000090,CLT-000074,208372,0.1670,-0.0657,0.1879,0.1623,11
ACT-000091,CLT-000075,730850,0.1651,0.1859,0.0831,0.1616,12
ACT-000092,CLT-000076,734197,0.0643,0.0824,0.2562,0.1712,12
ACT-000093,CLT-000076,397951,0.0650,-0.0517,0.2521,0.2198,12
ACT-000094,CLT-000077,367777,0.0991,0.0947,0.1161,0.3044,12
ACT-000095,CLT-000078,257124,0.2625,0.0117,0.0849,0.2159,9
ACT-000096,CLT-000079,346795,0.2432,-0.0497,0.0979,0.0861,10
ACT-000097,CLT-000080,109187,0.2137,-0.2150,0.1418,0.2333,9
ACT-000098,CLT-000081,375983,0.1492,0.0160,0.1882,0.1552,11
ACT-000099,CLT-000082,574375,0.2412,0.0830,0.3346,0.5325,10
ACT-000100,CLT-000082,18527,0.1689,0.0084,0.1320,0.1691,11
ACT-000101,CLT-000083,272983,0.2642,0.0590,0.0712,0.1020,8
ACT-000102,CLT-000084,310093,0.0684,-0.1095,0.5165,0.1932,12
ACT-000103,CLT-000085,109059,0.1371,-0.0760,0.1691,0.1686,12
ACT-000104,CLT-000086,123470,0.2287,-0.0705,0.1904,0.2473,12
ACT-000105,CLT-000087,360727,0.1697,0.0541,0.1735,0.1816,12
ACT-000106,CLT-000088,405797,0.2537,0.0663,0.1818,0.2679,11
ACT-000107,CLT-000089,52492,0.4294,0.0947,0.2085,0.1541,11
ACT-000108,CLT-000090,202242,0.3823,0.0766,0.1118,0.1189,9
ACT-000109,CLT-000090,108463,0.1751,0.0333,0.2837,0.1916,11
ACT-000110,CLT-000091,482171,0.2689,0.0767,0.1396,0.1796,8
ACT-000111,CLT-000092,226902,0.2223,0.1425,0.2068,0.2287,11
ACT-000112,CLT-000093,341703,0.1050,0.0178,0.1139,0.2039,12
ACT-000113,CLT-000094,552456,0.1238,0.0782,0.0690,0.1577,11
ACT-000114,CLT-000095,128895,0.3995,0.0367,0.1720,0.2102,12
ACT-000115,CLT-000096,711357,0.1625,0.1983,0.1637,0.1660,12
ACT-000116,CLT-000097,253122,0.1050,-0.1539,0.1497,0.3408,12
ACT-000117,CLT-000098,179830,0.1746,-0.0442,0.1569,0.1582,11
ACT-000118,CLT-000099,420468,0.1168,0.1932,0.1291,0.2761,11
ACT-000119,CLT-000100,659690,0.0756,0.0212,0.1800,0.1672,11
ACT-000120,CLT-000101,118015,0.2943,0.0950,0.2102,0.1671,11
ACT-000121,CLT-000102,204780,0.0903,-0.0360,0.4665,0.2458,12
ACT-000122,CLT-000103,81821,0.2758,0.1918,0.0706,0.3326,12
ACT-000123,CLT-000104,361914,0.2839,0.1364,0.2016,0.1811,8
ACT-000124,CLT-000105,290116,0.2370,-0.0680,0.2168,0.1906,11
ACT-000125,CLT-000106,417158,0.0485,-0.0979,0.1726,0.1473,11
ACT-000126,CLT-000107,372831,0.1619,0.0934,0.2321,0.2073,12
ACT-000127,CLT-000108,436776,0.1923,-0.0251,0.3020,0.2172,11
ACT-000128,CLT-000109,144862,0.1399,0.0564,0.1127,0.1203,12
ACT-000129,CLT-000109,42493,0.2606,0.1507,0.2017,0.2363,11
ACT-000130,CLT-000110,1574704,0.0531,0.1545,0.1843,0.1818,11
ACT-000131,CLT-000111,108164,0.0547,0.1055,0.5621,0.1953,11
ACT-000132,CLT-000111,22131,0.1980,-0.0917,0.5727,0.1082,12
ACT-000133,CLT-000112,162105,0.1378,-0.0206,0.1814,0.1587,11
ACT-000134,CLT-000113,223648,0.0445,-0.0916,0.1588,0.2436,12
ACT-000135,CLT-000114,148662,0.1128,-0.0296,0.1380,0.2284,12
ACT-000136,CLT-000115,211387,0.2301,0.1532,0.1542,0.1736,12
ACT-000137,CLT-000116,412273,0.1972,-0.0583,0.5799,0.2576,11
ACT-000138,CLT-000117,395009,0.2373,-0.0292,0.1524,0.1485,9
ACT-000139,CLT-000117,128048,0.0985,-0.0422,0.2202,0.1459,12
ACT-000140,CLT-000118,188446,0.0837,0.0520,0.1498,0.2377,11
ACT-000141,CLT-000119,313391,0.3140,-0.1272,0.2664,0.3022,12
ACT-000142,CLT-000120,468450,0.2948,0.0516,0.0884,0.2100,9
ACT-000143,CLT-000120,252151,0.2683,0.0728,0.1267,0.2583,12
ACT-000144,CLT-000121,721115,0.1419,-0.0333,0.3192,0.1915,11
ACT-000145,CLT-000122,528950,0.3162,0.0225,0.1375,0.1395,10
ACT-000146,CLT-000122,61955,0.1731,-0.0034,0.1237,0.2577,12
ACT-000147,CLT-000123,217028,0.3601,0.2971,0.1783,0.1505,9
ACT-000148,CLT-000124,182001,0.1029,-0.0625,0.0532,0.2305,12
ACT-000149,CLT-000125,391208,0.1208,0.2572,0.0908,0.1383,11
ACT-000150,CLT-000126,304101,0.2892,0.0116,0.1219,0.1009,9
ACT-000151,CLT-000126,102816,0.1318,0.0974,0.1332,0.2138,12
ACT-000152,CLT-000127,254219,0.1823,-0.0228,0.2266,0.1385,12
ACT-000153,CLT-000128,140311,0.1610,0.0449,0.2539,0.2389,12
ACT-000154,CLT-000129,64054,0.4457,0.1685,0.1015,0.1964,12
ACT-000155,CLT-000130,252430,0.2619,-0.0063,0.1764,0.1323,9
ACT-000156,CLT-000130,23943,0.2672,0.0597,0.2757,0.2248,12
ACT-000157,CLT-000131,397119,0.1561,0.1736,0.2472,0.2017,12
ACT-000158,CLT-000132,789531,0.1142,0.1529,0.2775,0.1768,12
ACT-000159,CLT-000133,394664,0.1597,0.0504,0.2810,0.1166,12
ACT-000160,CLT-000134,784862,0.1144,-0.2199,0.1908,0.2606,12
ACT-000161,CLT-000135,157084,0.2734,0.0492,0.2420,0.1058,10
ACT-000162,CLT-000135,165821,0.1674,-0.0084,0.1770,0.1996,12
ACT-000163,CLT-000136,171969,0.1312,-0.0681,0.4031,0.2350,12
ACT-000164,CLT-000136,233258,0.2958,-0.0756,0.4312,0.1337,9
ACT-000165,CLT-000137,160983,0.1169,0.1131,0.1160,0.4859,12
ACT-000166,CLT-000138,66735,0.2704,0.0308,0.1606,0.1693,8
ACT-000167,CLT-000139,239166,0.1245,0.0581,0.1788,0.2006,12
ACT-000168,CLT-000140,113391,0.1659,-0.0079,0.1505,0.1493,12
ACT-000169,CLT-000140,36766,0.2563,-0.0149,0.2547,0.2258,11
ACT-000170,CLT-000141,270347,0.1941,0.0693,0.2331,0.1570,12
ACT-000171,CLT-000142,96524,0.2989,0.0755,0.2466,0.5122,12
ACT-000172,CLT-000142,24641,0.1662,-0.0724,0.1584,0.5596,12
ACT-000173,CLT-000143,376200,0.1219,-0.2500,0.2191,0.1816,12
ACT-000174,CLT-000144,494388,0.3633,-0.0047,0.1244,0.1354,10
ACT-000175,CLT-000145,169568,0.1993,0.0291,0.2164,0.2597,12
ACT-000176,CLT-000146,431908,0.2718,0.1045,0.3759,0.5494,11
ACT-000177,CLT-000147,277291,0.2872,-0.0400,0.1713,0.2465,12
ACT-000178,CLT-000147,200229,0.1309,0.0796,0.0845,0.2539,11
ACT-000179,CLT-000148,974746,0.1415,0.0190,0.1581,0.2392,11
ACT-000180,CLT-000149,274208,0.1788,0.2343,0.1090,0.1341,11
ACT-000181,CLT-000150,287770,0.1927,0.1675,0.1240,0.1527,12
ACT-000182,CLT-000151,271548,0.1342,-0.0536,0.1397,0.2637,12
ACT-000183,CLT-000152,75754,0.3367,-0.0794,0.1924,0.0969,8
ACT-000184,CLT-000152,236100,0.1832,-0.0394,0.1453,0.1714,12
ACT-000185,CLT-000153,130653,0.0212,0.1508,0.1988,0.1819,11
ACT-000186,CLT-000153,126586,0.1819,0.0548,0.3277,0.1300,12
ACT-000187,CLT-000154,1840257,0.1145,0.0446,0.1521,0.2146,11
ACT-000188,CLT-000155,270337,0.1643,0.0337,0.3362,0.6281,11
ACT-000189,CLT-000156,600502,0.3435,0.1419,0.4301,0.1653,9
ACT-000190,CLT-000157,290767,0.2745,0.0193,0.1789,0.1920,10
ACT-000191,CLT-000157,44378,0.2046,-0.0197,0.2583,0.2709,12
ACT-000192,CLT-000158,104146,0.1791,-0.0378,0.1293,0.2180,12
ACT-000193,CLT-000159,262285,0.3309,0.0679,0.1023,0.1337,8
ACT-000194,CLT-000160,449054,0.1618,-0.0920,0.0970,0.3312,11
ACT-000195,CLT-000161,270388,0.0200,-0.0629,0.2971,0.1795,12
ACT-000196,CLT-000162,39762,0.1995,-0.2401,0.1643,0.2410,12
ACT-000197,CLT-000163,129388,0.0843,-0.1328,0.1008,0.2245,12
ACT-000198,CLT-000163,167696,0.2955,0.0261,0.2179,0.1168,8
ACT-000199,CLT-000164,150359,0.1372,-0.1434,0.1463,0.1733,11
ACT-000200,CLT-000165,179685,0.0609,-0.1889,0.2016,0.1750,11
ACT-000201,CLT-000166,120071,0.2215,0.0537,0.1790,0.5128,12
ACT-000202,CLT-000167,34240,0.0765,-0.1302,0.1693,0.1994,12
ACT-000203,CLT-000168,235912,0.0752,0.2840,0.1162,0.2149,11
ACT-000204,CLT-000169,374249,0.0990,-0.0210,0.1723,0.4912,12
ACT-000205,CLT-000170,240175,0.1182,0.2330,0.1021,0.2024,12
ACT-000206,CLT-000171,279039,0.1331,-0.0467,0.1336,0.2655,12
ACT-000207,CLT-000172,150689,0.1665,0.0742,0.1076,0.1990,12
ACT-000208,CLT-000173,290803,0.1833,0.0134,0.3462,0.1497,11
ACT-000209,CLT-000174,1544096,0.2675,-0.1160,0.1369,0.3050,11
ACT-000210,CLT-000175,123034,0.4964,0.1293,0.1372,0.2400,12
ACT-000211,CLT-000176,209286,0.1927,0.0246,0.1259,0.2177,11
ACT-000212,CLT-000177,405912,0.2090,0.2826,0.2207,0.1901,12
ACT-000213,CLT-000178,160798,0.2060,-0.0712,0.1824,0.1486,12
ACT-000214,CLT-000178,112416,0.0806,0.1451,0.1863,0.1933,12
ACT-000215,CLT-000179,89244,0.2848,0.0802,0.2539,0.2443,12
ACT-000216,CLT-000179,44918,0.1210,0.0075,0.1959,0.2446,11
ACT-000217,CLT-000180,514149,0.0978,0.0812,0.0851,0.1792,12
ACT-000218,CLT-000181,306024,0.3254,0.2247,0.4730,0.0797,9
ACT-000219,CLT-000182,74632,0.2266,0.1281,0.3091,0.0833,8
ACT-000220,CLT-000182,92962,0.0526,0.3500,0.1524,0.2236,11
ACT-000221,CLT-000183,488790,0.2764,0.1331,0.4316,0.1767,12
ACT-000222,CLT-000184,854019,0.0676,-0.0914,0.1616,0.1679,12
ACT-000223,CLT-000184,527965,0.0403,-0.0816,0.1278,0.0862,8
ACT-000224,CLT-000185,544828,0.1935,0.1121,0.2950,0.1637,12
ACT-000225,CLT-000186,302418,0.2957,0.2296,0.1410,0.1294,9
ACT-000226,CLT-000187,370920,0.0929,0.0287,0.1156,0.1794,12
ACT-000227,CLT-000187,36258,0.2753,-0.0752,0.2368,0.2755,12
ACT-000228,CLT-000188,251376,0.1251,0.1041,0.1365,0.1491,11
ACT-000229,CLT-000188,115974,0.1777,0.1445,0.1804,0.2070,11
ACT-000230,CLT-000189,121395,0.1896,0.1507,0.5094,0.1494,11
ACT-000231,CLT-000190,3399563,0.0603,0.0080,0.1746,0.1486,12
ACT-000232,CLT-000191,204799,0.0549,0.1526,0.1397,0.2215,12
ACT-000233,CLT-000191,26138,0.2082,0.2316,0.3745,0.5135,12
ACT-000234,CLT-000192,185054,0.1343,0.0279,0.2621,0.5193,12
ACT-000235,CLT-000193,977786,0.0487,0.0767,0.1249,0.1362,12
ACT-000236,CLT-000194,228346,0.0200,0.0808,0.1426,0.1355,12
ACT-000237,CLT-000195,168697,0.2447,0.0076,0.1376,0.1117,10
ACT-000238,CLT-000195,173086,0.1312,0.2738,0.1970,0.1115,12
ACT-000239,CLT-000196,247456,0.0957,0.0418,0.1459,0.1837,11
ACT-000240,CLT-000196,53732,0.3105,0.0441,0.1267,0.0876,10
ACT-000241,CLT-000197,177602,0.2125,0.1789,0.2348,0.2711,12
ACT-000242,CLT-000198,166891,0.1809,0.0205,0.4534,0.1396,12
ACT-000243,CLT-000199,46842,0.0492,0.0725,0.1335,0.1404,12
ACT-000244,CLT-000199,76098,0.0893,-0.0434,0.3073,0.1418,12
ACT-000245,CLT-000200,117524,0.3371,0.1835,0.1411,0.1608,10
ACT-000246,CLT-000201,724456,0.1876,0.0984,0.1400,0.1993,12
ACT-000247,CLT-000201,61746,0.2807,-0.2064,0.2685,0.2064,12
ACT-000248,CLT-000202,345750,0.2203,-0.1222,0.2549,0.2375,11
ACT-000249,CLT-000203,91321,0.2443,-0.0467,0.2093,0.1847,12
ACT-000250,CLT-000204,85188,0.1415,-0.0165,0.1502,0.2802,12
ACT-000251,CLT-000205,403370,0.2743,0.0088,0.1924,0.1111,8
ACT-000252,CLT-000206,755298,0.1511,-0.0503,0.1294,0.3042,12
ACT-000253,CLT-000206,359614,0.1648,-0.0107,0.1878,0.0855,11
ACT-000254,CLT-000207,465192,0.0694,-0.0206,0.1191,0.2707,12
ACT-000255,CLT-000208,216394,0.0699,-0.0520,0.1484,0.3182,11
ACT-000256,CLT-000209,862692,0.2405,0.2720,0.5496,0.2214,11
ACT-000257,CLT-000210,24667,0.4281,0.0728,0.0865,0.1799,12
ACT-000258,CLT-000211,160420,0.1951,0.0165,0.1327,0.0990,12
ACT-000259,CLT-000212,192515,0.0790,-0.2115,0.1460,0.2444,12
ACT-000260,CLT-000212,80516,0.2727,-0.1444,0.1456,0.1141,9
ACT-000261,CLT-000213,109195,0.1486,0.0583,0.1887,0.1605,11
ACT-000262,CLT-000214,189710,0.1371,0.0490,0.1322,0.1513,12
ACT-000263,CLT-000215,317888,0.0757,0.1530,0.2071,0.2349,12
ACT-000264,CLT-000216,250040,0.1405,0.0090,0.1728,0.5285,11
ACT-000265,CLT-000217,323924,0.1659,0.0435,0.1826,0.3504,12
ACT-000266,CLT-000218,246771,0.2672,0.0018,0.0577,0.1572,10
ACT-000267,CLT-000219,234001,0.0525,0.0044,0.1647,0.1825,12
ACT-000268,CLT-000220,491614,0.1719,0.1142,0.1530,0.6086,11
ACT-000269,CLT-000221,405799,0.1504,-0.0664,0.1159,0.1922,12
ACT-000270,CLT-000222,90742,0.2148,0.1673,0.1344,0.2454,10
ACT-000271,CLT-000222,118952,0.1767,0.0964,0.1144,0.1520,11
ACT-000272,CLT-000223,343122,0.0915,-0.0856,0.5039,0.2033,12
ACT-000273,CLT-000224,278273,0.1261,0.0851,0.2389,0.1531,12
ACT-000274,CLT-000225,216987,0.2171,0.1153,0.1466,0.1193,12
ACT-000275,CLT-000226,760542,0.0640,-0.0166,0.2328,0.1474,11
ACT-000276,CLT-000227,477911,0.1723,0.0485,0.1687,0.0000,12
ACT-000277,CLT-000228,637237,0.0777,0.2092,0.1884,0.2700,12
ACT-000278,CLT-000229,171454,0.1480,0.1170,0.4403,0.2253,12
ACT-000279,CLT-000230,272719,0.0604,0.0106,0.1575,0.1334,12
ACT-000280,CLT-000231,519777,0.0483,-0.1030,0.1668,0.1660,12
ACT-000281,CLT-000232,424356,0.1546,0.0098,0.3337,0.2131,11
ACT-000282,CLT-000233,379509,0.1669,-0.1171,0.1567,0.2026,12
ACT-000283,CLT-000234,211044,0.1069,-0.0204,0.2816,0.2259,11
ACT-000284,CLT-000235,136134,0.0799,-0.1663,0.2119,0.1718,12
ACT-000285,CLT-000236,200280,0.1281,0.3259,0.1296,0.2401,12
ACT-000286,CLT-000237,131225,0.0514,0.1318,0.2969,0.2125,12
ACT-000287,CLT-000238,178838,0.1705,-0.1449,0.1721,0.1451,11
ACT-000288,CLT-000239,66810,0.3853,0.1714,0.2890,0.4904,12
ACT-000289,CLT-000240,173466,0.1252,0.1718,0.2317,0.1145,12
ACT-000290,CLT-000240,117150,0.1511,-0.0692,0.1949,0.1472,12
ACT-000291,CLT-000241,513091,0.1409,0.0033,0.2457,0.2411,12
ACT-000292,CLT-000242,323326,0.1996,-0.0128,0.1708,0.1849,11
ACT-000293,CLT-000243,109692,0.0583,0.0812,0.1186,0.3006,12
ACT-000294,CLT-000244,88186,0.1986,0.1150,0.2255,0.2401,12
ACT-000295,CLT-000245,596238,0.1162,0.0250,0.1451,0.1357,12
ACT-000296,CLT-000246,305833,0.1091,0.0885,0.1361,0.1817,12
ACT-000297,CLT-000247,88899,0.2635,0.1963,0.2067,0.0635,10
ACT-000298,CLT-000248,79095,0.1616,0.0174,0.2151,0.2371,12
ACT-000299,CLT-000249,541304,0.1152,0.0247,0.2226,0.1952,12
ACT-000300,CLT-000250,288079,0.3378,-0.1887,0.1452,0.1705,9
ACT-000301,CLT-000251,678657,0.0632,0.1491,0.1773,0.2552,11
ACT-000302,CLT-000252,489107,0.1296,0.3145,0.1621,0.1616,12
ACT-000303,CLT-000253,263503,0.4897,-0.0805,0.1593,0.1949,11
ACT-000304,CLT-000254,466784,0.2411,0.1956,0.1975,0.0913,12
ACT-000305,CLT-000255,198719,0.2316,-0.0963,0.1503,0.1018,10
ACT-000306,CLT-000256,167280,0.2261,0.1338,0.2512,0.2398,11
ACT-000307,CLT-000257,228734,0.1840,-0.0007,0.1148,0.1845,12
ACT-000308,CLT-000258,91272,0.2310,0.1906,0.2222,0.6776,12
ACT-000309,CLT-000258,42936,0.1019,0.1361,0.1525,0.4783,11
ACT-000310,CLT-000259,283989,0.0397,0.0396,0.2507,0.2534,11
ACT-000311,CLT-000260,207053,0.1857,-0.0008,0.1873,0.1326,12
ACT-000312,CLT-000261,44780,0.2524,0.1556,0.1495,0.0410,10
ACT-000313,CLT-000262,351497,0.1416,0.1189,0.1341,0.1682,12
ACT-000314,CLT-000263,287848,0.0785,0.1571,0.1619,0.1704,11
ACT-000315,CLT-000264,185403,0.2154,-0.0122,0.0986,0.1819,11
ACT-000316,CLT-000264,13494,0.0708,-0.0500,0.1330,0.1446,12
ACT-000317,CLT-000265,484944,0.3021,0.1570,0.2189,0.1957,11
ACT-000318,CLT-000266,377475,0.0234,-0.0575,0.2204,0.1441,12
ACT-000319,CLT-000266,256215,0.2818,0.0895,0.1361,0.2252,9
ACT-000320,CLT-000267,185441,0.1666,0.0294,0.1647,0.2140,12
ACT-000321,CLT-000267,66159,0.2347,0.0843,0.1878,0.2616,11
ACT-000322,CLT-000268,773580,0.1348,0.1042,0.2082,0.2112,11
ACT-000323,CLT-000269,145243,0.0383,-0.0158,0.4186,0.1567,11
ACT-000324,CLT-000270,96833,0.4076,0.0524,0.1793,0.1629,9
ACT-000325,CLT-000270,74417,0.4775,0.1219,0.2155,0.2787,11
ACT-000326,CLT-000271,191333,0.1271,0.0945,0.0500,0.1957,12
ACT-000327,CLT-000272,251404,0.1111,-0.1085,0.1579,0.2032,12
ACT-000328,CLT-000273,138813,0.2271,0.0528,0.4233,0.1852,12
ACT-000329,CLT-000273,49846,0.1426,0.0001,0.4212,0.1396,12
ACT-000330,CLT-000274,206057,0.0292,-0.1904,0.1479,0.1460,12
ACT-000331,CLT-000274,11426,0.3399,0.0580,0.1433,0.1496,10
ACT-000332,CLT-000275,240283,0.1882,0.2556,0.1768,0.1474,12
ACT-000333,CLT-000276,123959,0.0787,-0.0196,0.1923,0.2388,12
ACT-000334,CLT-000277,110171,0.2060,0.0030,0.2281,0.2616,11
ACT-000335,CLT-000277,84986,0.1796,0.0934,0.2989,0.1908,12
ACT-000336,CLT-000278,295362,0.0769,-0.1174,0.1555,0.2359,12
ACT-000337,CLT-000279,293193,0.1331,0.0688,0.1930,0.2708,12
ACT-000338,CLT-000280,152036,0.2577,-0.0115,0.1338,0.1478,12
ACT-000339,CLT-000281,136338,0.2000,0.1925,0.2163,0.1846,12
ACT-000340,CLT-000282,63959,0.4098,0.0579,0.1564,0.2093,12
ACT-000341,CLT-000283,99160,0.4070,-0.0145,0.1480,0.2006,8
ACT-000342,CLT-000284,152990,0.2137,-0.2279,0.1858,0.1687,10
ACT-000343,CLT-000285,107525,0.1553,-0.0820,0.5822,0.2080,11
ACT-000344,CLT-000286,135718,0.0802,0.1220,0.1412,0.0330,11
ACT-000345,CLT-000287,210716,0.1239,-0.2459,0.2040,0.2006,12
ACT-000346,CLT-000288,129787,0.2236,0.1140,0.2032,0.1907,12
ACT-000347,CLT-000289,296902,0.1457,0.2286,0.1537,0.3298,12
ACT-000348,CLT-000290,571251,0.0620,0.0312,0.4646,0.2087,12
ACT-000349,CLT-000290,61546,0.2562,-0.0369,0.5615,0.1207,10
ACT-000350,CLT-000291,310440,0.1999,0.2118,0.1673,0.2811,12
ACT-000351,CLT-000292,497276,0.1074,0.1772,0.0500,0.2415,11
ACT-000352,CLT-000293,245904,0.1364,0.1109,0.1220,0.1624,12
