identifiant_evenement,identifiant_client,identifiant_institution,mois_debut,duree_mois,code_evenement,sens,intensite,source
EVT-000054,CLT-000024,INS-001,2025-03,1,depense_exceptionnelle,negatif,0.4255,idiosyncratique
EVT-000055,CLT-000026,INS-001,2023-09,2,hausse_activite,positif,0.3594,idiosyncratique
EVT-000056,CLT-000026,INS-001,2024-05,9,bonne_recolte,positif,0.3306,idiosyncratique
EVT-000057,CLT-000026,INS-001,2025-01,1,mauvaise_recolte,negatif,0.2470,idiosyncratique
EVT-000058,CLT-000027,INS-001,2021-12,2,hausse_activite,positif,0.1335,idiosyncratique
EVT-000059,CLT-000027,INS-001,2023-02,6,hausse_activite,positif,0.3898,idiosyncratique
EVT-000060,CLT-000027,INS-001,2025-01,2,mauvaise_recolte,negatif,0.2270,idiosyncratique
EVT-000061,CLT-000027,INS-001,2025-03,10,fermeture_temporaire,negatif,0.7346,idiosyncratique
EVT-000062,CLT-000027,INS-001,2025-06,6,hausse_activite,positif,0.1810,idiosyncratique
EVT-000063,CLT-000028,INS-001,2023-11,4,baisse_ventes,negatif,0.1249,idiosyncratique
EVT-000064,CLT-000028,INS-001,2024-02,6,mauvaise_recolte,negatif,0.5699,macro
EVT-000065,CLT-000028,INS-001,2024-10,8,bonne_recolte,positif,0.0506,idiosyncratique
EVT-000066,CLT-000029,INS-001,2021-10,3,hausse_activite,positif,0.1323,idiosyncratique
EVT-000067,CLT-000029,INS-001,2021-11,4,baisse_ventes,negatif,0.0778,idiosyncratique
EVT-000068,CLT-000029,INS-001,2024-05,7,elargissement_clientele,positif,0.3240,idiosyncratique
EVT-000069,CLT-000029,INS-001,2025-08,7,nouvel_equipement,positif,0.3396,idiosyncratique
EVT-000070,CLT-000029,INS-001,2025-12,3,perte_stock,negatif,0.3913,idiosyncratique
EVT-000071,CLT-000030,INS-001,2021-11,8,depense_exceptionnelle,negatif,0.4484,idiosyncratique
EVT-000072,CLT-000030,INS-001,2024-08,6,perte_stock,negatif,0.0896,macro
EVT-000073,CLT-000030,INS-001,2024-11,8,mauvaise_recolte,negatif,0.7620,idiosyncratique
EVT-000074,CLT-000030,INS-001,2025-03,3,hausse_activite,positif,0.4140,idiosyncratique
EVT-000075,CLT-000031,INS-001,2023-05,5,mauvaise_recolte,negatif,0.2700,idiosyncratique
EVT-000076,CLT-000032,INS-001,2021-09,3,hausse_charges,negatif,0.5200,idiosyncratique
EVT-000077,CLT-000032,INS-001,2022-11,5,baisse_ventes,negatif,0.3358,idiosyncratique
EVT-000078,CLT-000032,INS-001,2024-03,5,depense_exceptionnelle,negatif,0.1800,macro
EVT-000079,CLT-000032,INS-001,2024-07,7,mauvaise_recolte,negatif,0.3796,macro
EVT-000080,CLT-000032,INS-001,2024-08,7,elargissement_clientele,positif,0.0863,idiosyncratique
EVT-000081,CLT-000032,INS-001,2025-02,10,elargissement_clientele,positif,0.0923,idiosyncratique
EVT-000082,CLT-000033,INS-001,2024-05,3,hausse_charges,negatif,0.5440,macro
EVT-000083,CLT-000033,INS-001,2025-01,2,bonne_recolte,positif,0.3143,idiosyncratique
EVT-000084,CLT-000034,INS-001,2022-07,6,perte_stock,negatif,0.5921,idiosyncratique
EVT-000085,CLT-000037,INS-001,2023-01,8,fermeture_temporaire,negatif,0.0934,idiosyncratique
EVT-000086,CLT-000037,INS-001,2024-06,7,bonne_recolte,positif,0.2976,idiosyncratique
EVT-000087,CLT-000037,INS-001,2024-11,8,depense_exceptionnelle,negatif,0.3069,macro
EVT-000088,CLT-000038,INS-001,2023-06,12,fermeture_temporaire,negatif,0.5974,idiosyncratique
EVT-000089,CLT-000039,INS-001,2022-09,5,mauvaise_recolte,negatif,0.2830,idiosyncratique
EVT-000090,CLT-000040,INS-001,2023-12,4,perte_stock,negatif,0.3668,idiosyncratique
EVT-000091,CLT-000042,INS-001,2024-01,3,depense_exceptionnelle,negatif,0.1045,macro
EVT-000092,CLT-000045,INS-001,2025-11,4,baisse_ventes,negatif,0.3586,idiosyncratique
EVT-000093,CLT-000046,INS-001,2024-10,4,baisse_ventes,negatif,0.4624,macro
EVT-000094,CLT-000050,INS-001,2023-03,4,elargissement_clientele,positif,0.0712,idiosyncratique
EVT-000095,CLT-000050,INS-001,2023-11,3,nouvel_equipement,positif,0.3768,idiosyncratique
EVT-000096,CLT-000050,INS-001,2024-01,2,fermeture_temporaire,negatif,0.3005,macro
EVT-000097,CLT-000051,INS-001,2024-01,3,fermeture_temporaire,negatif,0.2630,macro
EVT-000098,CLT-000051,INS-001,2024-02,1,mauvaise_recolte,negatif,0.2035,macro
EVT-000099,CLT-000051,INS-001,2025-03,5,hausse_charges,negatif,0.4288,idiosyncratique
EVT-000100,CLT-000052,INS-001,2024-02,5,baisse_ventes,negatif,0.3496,macro
EVT-000101,CLT-000052,INS-001,2024-06,6,baisse_ventes,negatif,0.5763,macro
EVT-000102,CLT-000057,INS-001,2025-12,4,fermeture_temporaire,negatif,0.5015,idiosyncratique
EVT-000103,CLT-000058,INS-001,2025-06,6,nouveau_contrat,positif,0.1569,idiosyncratique
EVT-000104,CLT-000059,INS-001,2024-10,6,baisse_ventes,negatif,0.1517,macro
EVT-000105,CLT-000060,INS-001,2024-04,7,depense_exceptionnelle,negatif,0.3813,macro
EVT-000106,CLT-000060,INS-001,2025-10,9,nouveau_contrat,positif,0.0633,idiosyncratique
EVT-000107,CLT-000062,INS-001,2024-03,5,depense_exceptionnelle,negatif,0.5276,macro
EVT-000108,CLT-000062,INS-001,2025-01,7,fermeture_temporaire,negatif,0.3840,idiosyncratique
EVT-000109,CLT-000063,INS-001,2025-12,2,depense_exceptionnelle,negatif,0.2320,idiosyncratique
EVT-000110,CLT-000064,INS-001,2025-10,7,nouveau_contrat,positif,0.1022,idiosyncratique
EVT-000111,CLT-000068,INS-001,2024-09,7,depense_exceptionnelle,negatif,0.1696,macro
EVT-000112,CLT-000068,INS-001,2025-04,3,desendettement,positif,0.4383,idiosyncratique
EVT-000113,CLT-000070,INS-001,2024-10,1,hausse_charges,negatif,0.5718,macro
EVT-000114,CLT-000070,INS-001,2025-06,6,fermeture_temporaire,negatif,0.2287,idiosyncratique
EVT-000115,CLT-000071,INS-001,2024-12,8,fermeture_temporaire,negatif,0.5309,macro
EVT-000116,CLT-000072,INS-001,2024-12,2,hausse_charges,negatif,0.1325,macro
EVT-000117,CLT-000073,INS-001,2024-10,2,mauvaise_recolte,negatif,0.4912,macro
EVT-000118,CLT-000073,INS-001,2025-08,6,hausse_activite,positif,0.3940,idiosyncratique
EVT-000119,CLT-000074,INS-001,2024-08,3,nouvel_equipement,positif,0.1911,idiosyncratique
EVT-000120,CLT-000074,INS-001,2024-10,7,hausse_activite,positif,0.3183,idiosyncratique
EVT-000121,CLT-000074,INS-001,2025-12,6,elargissement_clientele,positif,0.2954,idiosyncratique
EVT-000122,CLT-000075,INS-001,2024-11,2,baisse_ventes,negatif,0.5619,macro
EVT-000123,CLT-000075,INS-001,2025-12,3,elargissement_clientele,positif,0.1842,idiosyncratique
EVT-000124,CLT-000076,INS-001,2025-09,5,hausse_charges,negatif,0.1552,idiosyncratique
EVT-000125,CLT-000077,INS-001,2025-03,3,fermeture_temporaire,negatif,0.3347,idiosyncratique
EVT-000126,CLT-000078,INS-001,2025-02,1,fermeture_temporaire,negatif,0.0706,idiosyncratique
EVT-000127,CLT-000079,INS-001,2024-11,5,perte_stock,negatif,0.2160,macro
EVT-000128,CLT-000079,INS-001,2025-02,7,nouveau_contrat,positif,0.1858,idiosyncratique
EVT-000129,CLT-000079,INS-001,2025-06,4,desendettement,positif,0.3286,idiosyncratique
EVT-000130,CLT-000079,INS-001,2025-08,5,baisse_ventes,negatif,0.1710,idiosyncratique
EVT-000131,CLT-000080,INS-001,2024-12,8,nouvel_equipement,positif,0.2364,idiosyncratique
EVT-000132,CLT-000081,INS-001,2025-04,7,hausse_activite,positif,0.2945,idiosyncratique
EVT-000133,CLT-000083,INS-001,2025-01,5,hausse_activite,positif,0.1654,idiosyncratique
EVT-000134,CLT-000083,INS-001,2025-12,8,perte_stock,negatif,0.2052,idiosyncratique
EVT-000135,CLT-000087,INS-001,2025-12,5,desendettement,positif,0.4446,idiosyncratique
EVT-000136,CLT-000088,INS-001,2025-06,8,bonne_recolte,positif,0.4464,idiosyncratique
EVT-000137,CLT-000092,INS-001,2025-09,8,elargissement_clientele,positif,0.3283,idiosyncratique
EVT-000138,CLT-000094,INS-001,2025-09,8,nouvel_equipement,positif,0.1995,idiosyncratique
EVT-000139,CLT-000099,INS-001,2025-11,3,bonne_recolte,positif,0.2727,idiosyncratique
