mois,code_secteur,indice_activite,indice_charges,choc_actif
2021-10,PETITE_PRODUCTION,1.0000,1.0000,
2021-10,RESTAURATION,1.0000,1.0000,
2021-10,SERVICES,1.0000,1.0000,
2021-10,TRANSPORT,1.0000,1.0000,
2021-11,AGRICULTURE,1.0000,1.0000,
2021-11,ARTISANAT,1.0000,1.0000,
2021-11,COMMERCE,1.0000,1.0000,
2021-11,ELEVAGE,1.0000,1.0000,
2021-11,PETITE_PRODUCTION,1.0000,1.0000,
2021-11,RESTAURATION,1.0000,1.0000,
2021-11,SERVICES,1.0000,1.0000,
2021-11,TRANSPORT,1.0000,1.0000,
2021-12,AGRICULTURE,1.0000,1.0000,
2021-12,ARTISANAT,1.0000,1.0000,
2021-12,COMMERCE,1.0000,1.0000,
2021-12,ELEVAGE,1.0000,1.0000,
2021-12,PETITE_PRODUCTION,1.0000,1.0000,
2021-12,RESTAURATION,1.0000,1.0000,
2021-12,SERVICES,1.0000,1.0000,
2021-12,TRANSPORT,1.0000,1.0000,
2022-01,AGRICULTURE,1.0000,1.0000,
2022-01,ARTISANAT,1.0000,1.0000,
2022-01,COMMERCE,1.0000,1.0000,
2022-01,ELEVAGE,1.0000,1.0000,
2022-01,PETITE_PRODUCTION,1.0000,1.0000,
2022-01,RESTAURATION,1.0000,1.0000,
2022-01,SERVICES,1.0000,1.0000,
2022-01,TRANSPORT,1.0000,1.0000,
2022-02,AGRICULTURE,1.0000,1.0000,
2022-02,ARTISANAT,1.0000,1.0000,
2022-02,COMMERCE,1.0000,1.0000,
2022-02,ELEVAGE,1.0000,1.0000,
2022-02,PETITE_PRODUCTION,1.0000,1.0000,
2022-02,RESTAURATION,1.0000,1.0000,
2022-02,SERVICES,1.0000,1.0000,
2022-02,TRANSPORT,1.0000,1.0000,
2022-03,AGRICULTURE,1.0000,1.0000,
2022-03,ARTISANAT,1.0000,1.0000,
2022-03,COMMERCE,1.0000,1.0000,
2022-03,ELEVAGE,1.0000,1.0000,
2022-03,PETITE_PRODUCTION,1.0000,1.0000,
2022-03,RESTAURATION,1.0000,1.0000,
2022-03,SERVICES,1.0000,1.0000,
2022-03,TRANSPORT,1.0000,1.0000,
2022-04,AGRICULTURE,1.0000,1.0000,
2022-04,ARTISANAT,1.0000,1.0000,
2022-04,COMMERCE,1.0000,1.0000,
2022-04,ELEVAGE,1.0000,1.0000,
2022-04,PETITE_PRODUCTION,1.0000,1.0000,
2022-04,RESTAURATION,1.0000,1.0000,
2022-04,SERVICES,1.0000,1.0000,
2022-04,TRANSPORT,1.0000,1.0000,
2022-05,AGRICULTURE,1.0000,1.0000,
2022-05,ARTISANAT,1.0000,1.0000,
2022-05,COMMERCE,1.0000,1.0000,
2022-05,ELEVAGE,1.0000,1.0000,
2022-05,PETITE_PRODUCTION,1.0000,1.0000,
2022-05,RESTAURATION,1.0000,1.0000,
2022-05,SERVICES,1.0000,1.0000,
2022-05,TRANSPORT,1.0000,1.0000,
2022-06,AGRICULTURE,1.0000,1.0000,
2022-06,ARTISANAT,1.0000,1.0000,
2022-06,COMMERCE,1.0000,1.0000,
2022-06,ELEVAGE,1.0000,1.0000,
2022-06,PETITE_PRODUCTION,1.0000,1.0000,
2022-06,RESTAURATION,1.0000,1.0000,
2022-06,SERVICES,1.0000,1.0000,
2022-06,TRANSPORT,1.0000,1.0000,
2022-07,AGRICULTURE,1.0000,1.0000,
2022-07,ARTISANAT,1.0000,1.0000,
2022-07,COMMERCE,1.0000,1.0000,
2022-07,ELEVAGE,1.0000,1.0000,
2022-07,PETITE_PRODUCTION,1.0000,1.0000,
2022-07,RESTAURATION,1.0000,1.0000,
2022-07,SERVICES,1.0000,1.0000,
2022-07,TRANSPORT,1.0000,1.0000,
2022-08,AGRICULTURE,1.0000,1.0000,
2022-08,ARTISANAT,1.0000,1.0000,
2022-08,COMMERCE,1.0000,1.0000,
2022-08,ELEVAGE,1.0000,1.0000,
2022-08,PETITE_PRODUCTION,1.0000,1.0000,
2022-08,RESTAURATION,1.0000,1.0000,
2022-08,SERVICES,1.0000,1.0000,
2022-08,TRANSPORT,1.0000,1.0000,
2022-09,AGRICULTURE,1.0000,1.0000,
2022-09,ARTISANAT,1.0000,1.0000,
2022-09,COMMERCE,1.0000,1.0000,
2022-09,ELEVAGE,1.0000,1.0000,
2022-09,PETITE_PRODUCTION,1.0000,1.0000,
2022-09,RESTAURATION,1.0000,1.0000,
2022-09,SERVICES,1.0000,1.0000,
2022-09,TRANSPORT,1.0000,1.0000,
2022-10,AGRICULTURE,1.0000,1.0600,
2022-10,ARTISANAT,1.0000,1.0600,
2022-10,COMMERCE,1.0000,1.0600,
2022-10,ELEVAGE,1.0000,1.0600,
2022-10,PETITE_PRODUCTION,1.0000,1.0600,
2022-10,RESTAURATION,1.0000,1.0600,
2022-10,SERVICES,1.0000,1.0600,
2022-10,TRANSPORT,1.0000,1.0600,
2022-11,AGRICULTURE,1.0000,1.0600,
2022-11,ARTISANAT,1.0000,1.0600,
2022-11,COMMERCE,1.0000,1.0600,
2022-11,ELEVAGE,1.0000,1.0600,
2022-11,PETITE_PRODUCTION,1.0000,1.0600,
2022-11,RESTAURATION,1.0000,1.0600,
2022-11,SERVICES,1.0000,1.0600,
2022-11,TRANSPORT,1.0000,1.0600,
2022-12,AGRICULTURE,1.0000,1.0600,
2022-12,ARTISANAT,1.0000,1.0600,
2022-12,COMMERCE,1.0000,1.0600,
2022-12,ELEVAGE,1.0000,1.0600,
2022-12,PETITE_PRODUCTION,1.0000,1.0600,
2022-12,RESTAURATION,1.0000,1.0600,
2022-12,SERVICES,1.0000,1.0600,
2022-12,TRANSPORT,1.0000,1.0600,
2023-01,AGRICULTURE,1.0000,1.0200,
2023-01,ARTISANAT,1.0000,1.0200,
2023-01,COMMERCE,1.0000,1.0200,
2023-01,ELEVAGE,1.0000,1.0200,
2023-01,PETITE_PRODUCTION,1.0000,1.0200,
2023-01,RESTAURATION,1.0000,1.0200,
2023-01,SERVICES,1.0000,1.0200,
2023-01,TRANSPORT,1.0000,1.0200,
2023-02,AGRICULTURE,1.0000,1.0200,
2023-02,ARTISANAT,1.0000,1.0200,
2023-02,COMMERCE,1.0000,1.0200,
2023-02,ELEVAGE,1.0000,1.0200,
2023-02,PETITE_PRODUCTION,1.0000,1.0200,
2023-02,RESTAURATION,1.0000,1.0200,
2023-02,SERVICES,1.0000,1.0200,
2023-02,TRANSPORT,1.0000,1.0200,
2023-03,AGRICULTURE,1.0000,1.0200,
2023-03,ARTISANAT,1.0000,1.0200,
2023-03,COMMERCE,1.0000,1.0200,
2023-03,ELEVAGE,1.0000,1.0200,
2023-03,PETITE_PRODUCTION,1.0000,1.0200,
2023-03,RESTAURATION,1.0000,1.0200,
2023-03,SERVICES,1.0000,1.0200,
2023-03,TRANSPORT,1.0000,1.0200,
2023-04,AGRICULTURE,1.0000,1.0200,
2023-04,ARTISANAT,1.0000,1.0200,
2023-04,COMMERCE,1.0000,1.0200,
2023-04,ELEVAGE,1.0000,1.0200,
2023-04,PETITE_PRODUCTION,1.0000,1.0200,
2023-04,RESTAURATION,1.0000,1.0200,
2023-04,SERVICES,1.0000,1.0200,
2023-04,TRANSPORT,1.0000,1.0200,
2023-05,AGRICULTURE,1.0000,1.0200,
2023-05,ARTISANAT,1.0000,1.0200,
2023-05,COMMERCE,1.0000,1.0200,
2023-05,ELEVAGE,1.0000,1.0200,
2023-05,PETITE_PRODUCTION,1.0000,1.0200,
2023-05,RESTAURATION,1.0000,1.0200,
2023-05,SERVICES,1.0000,1.0200,
2023-05,TRANSPORT,1.0000,1.0200,
2023-06,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-06,ARTISANAT,1.0000,1.0000,
2023-06,COMMERCE,1.0000,1.0000,
2023-06,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-06,PETITE_PRODUCTION,1.0000,1.0000,
2023-06,RESTAURATION,1.0000,1.0000,
2023-06,SERVICES,1.0000,1.0000,
2023-06,TRANSPORT,1.0000,1.0000,
2023-07,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-07,ARTISANAT,1.0000,1.0000,
2023-07,COMMERCE,1.0000,1.0000,
2023-07,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-07,PETITE_PRODUCTION,1.0000,1.0000,
2023-07,RESTAURATION,1.0000,1.0000,
2023-07,SERVICES,1.0000,1.0000,
2023-07,TRANSPORT,1.0000,1.0000,
2023-08,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-08,ARTISANAT,1.0000,1.0000,
2023-08,COMMERCE,1.0000,1.0000,
2023-08,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-08,PETITE_PRODUCTION,1.0000,1.0000,
2023-08,RESTAURATION,1.0000,1.0000,
2023-08,SERVICES,1.0000,1.0000,
2023-08,TRANSPORT,1.0000,1.0000,
2023-09,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-09,ARTISANAT,1.0000,1.0000,
2023-09,COMMERCE,1.0000,1.0000,
2023-09,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-09,PETITE_PRODUCTION,1.0000,1.0000,
2023-09,RESTAURATION,1.0000,1.0000,
2023-09,SERVICES,1.0000,1.0000,
2023-09,TRANSPORT,1.0000,1.0000,
2023-10,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-10,ARTISANAT,1.0000,1.0000,
2023-10,COMMERCE,1.0000,1.0000,
2023-10,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-10,PETITE_PRODUCTION,1.0000,1.0000,
2023-10,RESTAURATION,1.0000,1.0000,
2023-10,SERVICES,1.0000,1.0000,
2023-10,TRANSPORT,1.0000,1.0000,
2023-11,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-11,ARTISANAT,1.0000,1.0000,
2023-11,COMMERCE,1.0000,1.0000,
2023-11,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-11,PETITE_PRODUCTION,1.0000,1.0000,
2023-11,RESTAURATION,1.0000,1.0000,
2023-11,SERVICES,1.0000,1.0000,
2023-11,TRANSPORT,1.0000,1.0000,
2023-12,AGRICULTURE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-12,ARTISANAT,1.0000,1.0000,
2023-12,COMMERCE,1.0000,1.0000,
2023-12,ELEVAGE,0.7500,1.1200,choc synthétique sur l'agriculture
2023-12,PETITE_PRODUCTION,1.0000,1.0000,
2023-12,RESTAURATION,1.0000,1.0000,
2023-12,SERVICES,1.0000,1.0000,
2023-12,TRANSPORT,1.0000,1.0000,
2024-01,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-01,ARTISANAT,1.0300,1.0200,reprise progressive
2024-01,COMMERCE,1.0300,1.0200,reprise progressive
2024-01,ELEVAGE,1.0300,1.0200,reprise progressive
2024-01,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-01,RESTAURATION,1.0300,1.0200,reprise progressive
2024-01,SERVICES,1.0300,1.0200,reprise progressive
2024-01,TRANSPORT,1.0300,1.0200,reprise progressive
2024-02,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-02,ARTISANAT,1.0300,1.0200,reprise progressive
2024-02,COMMERCE,1.0300,1.0200,reprise progressive
2024-02,ELEVAGE,1.0300,1.0200,reprise progressive
2024-02,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-02,RESTAURATION,1.0300,1.0200,reprise progressive
2024-02,SERVICES,1.0300,1.0200,reprise progressive
2024-02,TRANSPORT,1.0300,1.0200,reprise progressive
2024-03,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-03,ARTISANAT,1.0300,1.0200,reprise progressive
2024-03,COMMERCE,1.0300,1.0200,reprise progressive
2024-03,ELEVAGE,1.0300,1.0200,reprise progressive
2024-03,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-03,RESTAURATION,1.0300,1.0200,reprise progressive
2024-03,SERVICES,1.0300,1.0200,reprise progressive
2024-03,TRANSPORT,1.0300,1.0200,reprise progressive
2024-04,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-04,ARTISANAT,1.0300,1.0200,reprise progressive
2024-04,COMMERCE,1.0300,1.0200,reprise progressive
2024-04,ELEVAGE,1.0300,1.0200,reprise progressive
2024-04,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-04,RESTAURATION,1.0300,1.0200,reprise progressive
2024-04,SERVICES,1.0300,1.0200,reprise progressive
2024-04,TRANSPORT,1.0300,1.0200,reprise progressive
2024-05,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-05,ARTISANAT,1.0300,1.0200,reprise progressive
2024-05,COMMERCE,1.0300,1.0200,reprise progressive
2024-05,ELEVAGE,1.0300,1.0200,reprise progressive
2024-05,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-05,RESTAURATION,1.0300,1.0200,reprise progressive
2024-05,SERVICES,1.0300,1.0200,reprise progressive
2024-05,TRANSPORT,1.0300,1.0200,reprise progressive
2024-06,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-06,ARTISANAT,1.0300,1.0200,reprise progressive
2024-06,COMMERCE,1.0300,1.0200,reprise progressive
2024-06,ELEVAGE,1.0300,1.0200,reprise progressive
2024-06,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-06,RESTAURATION,1.0300,1.0200,reprise progressive
2024-06,SERVICES,1.0300,1.0200,reprise progressive
2024-06,TRANSPORT,1.0300,1.0200,reprise progressive
2024-07,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-07,ARTISANAT,1.0300,1.0200,reprise progressive
2024-07,COMMERCE,1.0300,1.0200,reprise progressive
2024-07,ELEVAGE,1.0300,1.0200,reprise progressive
2024-07,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-07,RESTAURATION,1.0300,1.0200,reprise progressive
2024-07,SERVICES,1.0300,1.0200,reprise progressive
2024-07,TRANSPORT,1.0300,1.0200,reprise progressive
2024-08,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-08,ARTISANAT,1.0300,1.0200,reprise progressive
2024-08,COMMERCE,1.0300,1.0200,reprise progressive
2024-08,ELEVAGE,1.0300,1.0200,reprise progressive
2024-08,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-08,RESTAURATION,1.0300,1.0200,reprise progressive
2024-08,SERVICES,1.0300,1.0200,reprise progressive
2024-08,TRANSPORT,1.0300,1.0200,reprise progressive
2024-09,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-09,ARTISANAT,1.0300,1.0200,reprise progressive
2024-09,COMMERCE,1.0300,1.0200,reprise progressive
2024-09,ELEVAGE,1.0300,1.0200,reprise progressive
2024-09,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-09,RESTAURATION,1.0300,1.0200,reprise progressive
2024-09,SERVICES,1.0300,1.0200,reprise progressive
2024-09,TRANSPORT,1.0300,1.0200,reprise progressive
2024-10,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-10,ARTISANAT,1.0300,1.0200,reprise progressive
2024-10,COMMERCE,1.0300,1.0200,reprise progressive
2024-10,ELEVAGE,1.0300,1.0200,reprise progressive
2024-10,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-10,RESTAURATION,1.0300,1.0200,reprise progressive
2024-10,SERVICES,1.0300,1.0200,reprise progressive
2024-10,TRANSPORT,1.0300,1.0200,reprise progressive
2024-11,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-11,ARTISANAT,1.0300,1.0200,reprise progressive
2024-11,COMMERCE,1.0300,1.0200,reprise progressive
2024-11,ELEVAGE,1.0300,1.0200,reprise progressive
2024-11,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-11,RESTAURATION,1.0300,1.0200,reprise progressive
2024-11,SERVICES,1.0300,1.0200,reprise progressive
2024-11,TRANSPORT,1.0300,1.0200,reprise progressive
2024-12,AGRICULTURE,1.0300,1.0200,reprise progressive
2024-12,ARTISANAT,1.0300,1.0200,reprise progressive
2024-12,COMMERCE,1.0300,1.0200,reprise progressive
2024-12,ELEVAGE,1.0300,1.0200,reprise progressive
2024-12,PETITE_PRODUCTION,1.0300,1.0200,reprise progressive
2024-12,RESTAURATION,1.0300,1.0200,reprise progressive
2024-12,SERVICES,1.0300,1.0200,reprise progressive
2024-12,TRANSPORT,1.0300,1.0200,reprise progressive
2025-01,AGRICULTURE,1.0000,1.2500,
2025-01,ARTISANAT,1.0000,1.2500,
2025-01,COMMERCE,1.0000,1.2500,
2025-01,ELEVAGE,1.0000,1.2500,
2025-01,PETITE_PRODUCTION,1.0000,1.2500,
2025-01,RESTAURATION,1.0000,1.2500,
2025-01,SERVICES,1.0000,1.2500,
2025-01,TRANSPORT,1.0000,1.2500,
2025-02,AGRICULTURE,1.0000,1.2500,
2025-02,ARTISANAT,1.0000,1.2500,
2025-02,COMMERCE,1.0000,1.2500,
2025-02,ELEVAGE,1.0000,1.2500,
2025-02,PETITE_PRODUCTION,1.0000,1.2500,
2025-02,RESTAURATION,1.0000,1.2500,
2025-02,SERVICES,1.0000,1.2500,
2025-02,TRANSPORT,1.0000,1.2500,
2025-03,AGRICULTURE,1.0000,1.2500,
2025-03,ARTISANAT,1.0000,1.2500,
2025-03,COMMERCE,1.0000,1.2500,
2025-03,ELEVAGE,1.0000,1.2500,
2025-03,PETITE_PRODUCTION,1.0000,1.2500,
2025-03,RESTAURATION,1.0000,1.2500,
2025-03,SERVICES,1.0000,1.2500,
2025-03,TRANSPORT,1.0000,1.2500,
2025-04,AGRICULTURE,1.0000,1.2500,
2025-04,ARTISANAT,1.0000,1.2500,
2025-04,COMMERCE,1.0000,1.2500,
2025-04,ELEVAGE,1.0000,1.2500,
2025-04,PETITE_PRODUCTION,1.0000,1.2500,
2025-04,RESTAURATION,1.0000,1.2500,
2025-04,SERVICES,1.0000,1.2500,
2025-04,TRANSPORT,1.0000,1.2500,
2025-05,AGRICULTURE,1.0000,1.2500,
2025-05,ARTISANAT,1.0000,1.2500,
2025-05,COMMERCE,1.0000,1.2500,
2025-05,ELEVAGE,1.0000,1.2500,
2025-05,PETITE_PRODUCTION,1.0000,1.2500,
2025-05,RESTAURATION,1.0000,1.2500,
2025-05,SERVICES,1.0000,1.2500,
2025-05,TRANSPORT,1.0000,1.2500,
2025-06,AGRICULTURE,1.0000,1.2500,
2025-06,ARTISANAT,1.0000,1.2500,
2025-06,COMMERCE,1.0000,1.2500,
2025-06,ELEVAGE,1.0000,1.2500,
2025-06,PETITE_PRODUCTION,1.0000,1.2500,
2025-06,RESTAURATION,1.0000,1.2500,
2025-06,SERVICES,1.0000,1.2500,
2025-06,TRANSPORT,1.0000,1.2500,
2025-07,AGRICULTURE,1.0000,1.2500,
2025-07,ARTISANAT,1.0000,1.2500,
2025-07,COMMERCE,1.0000,1.2500,
2025-07,ELEVAGE,1.0000,1.2500,
2025-07,PETITE_PRODUCTION,1.0000,1.2500,
2025-07,RESTAURATION,1.0000,1.2500,
2025-07,SERVICES,1.0000,1.2500,
2025-07,TRANSPORT,1.0000,1.2500,
2025-08,AGRICULTURE,1.0000,1.2500,
2025-08,ARTISANAT,1.0000,1.2500,
2025-08,COMMERCE,1.0000,1.2500,
2025-08,ELEVAGE,1.0000,1.2500,
2025-08,PETITE_PRODUCTION,1.0000,1.2500,
2025-08,RESTAURATION,1.0000,1.2500,
2025-08,SERVICES,1.0000,1.2500,
2025-08,TRANSPORT,1.0000,1.2500,
2025-09,AGRICULTURE,1.0000,1.2500,
2025-09,ARTISANAT,1.0000,1.2500,
2025-09,COMMERCE,1.0000,1.2500,
2025-09,ELEVAGE,1.0000,1.2500,
2025-09,PETITE_PRODUCTION,1.0000,1.2500,
2025-09,RESTAURATION,1.0000,1.2500,
2025-09,SERVICES,1.0000,1.2500,
2025-09,TRANSPORT,1.0000,1.2500,
2025-10,AGRICULTURE,1.0000,1.2500,
2025-10,ARTISANAT,1.0000,1.2500,
2025-10,COMMERCE,1.0000,1.2500,
2025-10,ELEVAGE,1.0000,1.2500,
2025-10,PETITE_PRODUCTION,1.0000,1.2500,
2025-10,RESTAURATION,1.0000,1.2500,
2025-10,SERVICES,1.0000,1.2500,
2025-10,TRANSPORT,1.0000,1.2500,
2025-11,AGRICULTURE,1.0000,1.2500,
2025-11,ARTISANAT,1.0000,1.2500,
2025-11,COMMERCE,1.0000,1.2500,
2025-11,ELEVAGE,1.0000,1.2500,
2025-11,PETITE_PRODUCTION,1.0000,1.2500,
2025-11,RESTAURATION,1.0000,1.2500,
2025-11,SERVICES,1.0000,1.2500,
2025-11,TRANSPORT,1.0000,1.2500,
2025-12,AGRICULTURE,1.0000,1.2500,
2025-12,ARTISANAT,1.0000,1.2500,
2025-12,COMMERCE,1.0000,1.2500,
2025-12,ELEVAGE,1.0000,1.2500,
2025-12,PETITE_PRODUCTION,1.0000,1.2500,
2025-12,RESTAURATION,1.0000,1.2500,
2025-12,SERVICES,1.0000,1.2500,
2025-12,TRANSPORT,1.0000,1.2500,
