identifiant_activite,identifiant_client,identifiant_institution,mois,recettes_reelles,charges_reelles,revenu_net_reel,indice_saison,effet_evenement,effet_macro
ACT-000003,CLT-000003,INS-001,2024-03,980004,937329,42675,1.0000,1.0000,1.0239
ACT-000003,CLT-000003,INS-001,2024-04,1327464,1269658,57806,0.9150,1.0000,1.0239
ACT-000003,CLT-000003,INS-001,2024-05,884308,845800,38508,0.8528,1.0000,1.0239
ACT-000003,CLT-000003,INS-001,2024-06,743660,711277,32383,0.8300,1.0000,1.0239
ACT-000003,CLT-000003,INS-001,2024-07,874505,836424,38081,0.8528,1.0000,1.0239
ACT-000003,CLT-000003,INS-001,2024-08,743458,711083,32375,0.9150,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2021-01,144335,99331,45004,1.2111,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-02,166047,114274,51773,1.1219,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-03,143755,98932,44823,1.0000,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-04,102218,70346,31872,0.8781,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-05,106007,72954,33053,0.7889,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-06,115775,79677,36099,0.7563,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-07,105384,72525,32859,0.7889,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2021-08,110680,76170,34510,0.8782,1.2019,1.0000
ACT-000004,CLT-000003,INS-001,2021-09,193473,133148,60325,1.0000,1.2019,1.0000
ACT-000004,CLT-000003,INS-001,2021-10,183054,125978,57076,1.1219,1.2019,1.0000
ACT-000004,CLT-000003,INS-001,2021-11,220192,151536,68656,1.2111,1.2019,1.0000
ACT-000004,CLT-000003,INS-001,2021-12,182552,125632,56920,1.2437,1.2019,1.0000
ACT-000004,CLT-000003,INS-001,2022-01,122801,84511,38289,1.2111,1.2019,1.0000
ACT-000004,CLT-000003,INS-001,2022-02,100630,69253,31376,1.1219,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2022-03,79278,54559,24719,1.0000,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2022-04,52426,36079,16346,0.8781,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2022-05,25665,17662,8002,0.7889,0.4497,1.0000
ACT-000004,CLT-000003,INS-001,2022-06,36363,25025,11338,0.7563,0.4497,1.0000
ACT-000004,CLT-000003,INS-001,2022-07,38789,26695,12094,0.7889,0.4497,1.0000
ACT-000004,CLT-000003,INS-001,2022-08,44941,30928,14012,0.8782,0.4497,1.0000
ACT-000004,CLT-000003,INS-001,2022-09,99023,68148,30875,1.0000,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2022-10,208542,152130,56412,1.1219,1.0844,1.0000
ACT-000004,CLT-000003,INS-001,2022-11,185838,135567,50271,1.2111,1.0844,1.0000
ACT-000004,CLT-000003,INS-001,2022-12,163513,119282,44232,1.2437,1.0844,1.0000
ACT-000004,CLT-000003,INS-001,2023-01,171904,120671,51234,1.2111,1.0844,1.0000
ACT-000004,CLT-000003,INS-001,2023-02,187051,131303,55748,1.1219,1.0844,1.0000
ACT-000004,CLT-000003,INS-001,2023-03,164469,115451,49018,1.0000,1.0844,1.0000
ACT-000004,CLT-000003,INS-001,2023-04,71447,50154,21294,0.8781,0.5511,1.0000
ACT-000004,CLT-000003,INS-001,2023-05,128011,89859,38152,0.7889,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-06,109369,75267,34101,0.7563,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-07,131345,90392,40953,0.7889,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-08,185564,127705,57859,0.8782,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-09,180600,124289,56311,1.0000,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-10,129246,88947,40299,1.1219,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-11,177661,122266,55395,1.2111,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2023-12,180348,124115,56232,1.2437,1.0000,1.0000
ACT-000004,CLT-000003,INS-001,2024-01,213130,149610,63521,1.2111,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-02,200172,140514,59658,1.1219,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-03,139725,98082,41643,1.0000,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-04,115216,80877,34338,0.8781,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-05,160214,112464,47750,0.7889,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-06,137501,96520,40980,0.7563,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-07,150312,105513,44798,0.7889,1.0000,1.0239
ACT-000004,CLT-000003,INS-001,2024-08,209144,146811,62332,0.8782,1.0000,1.0239
ACT-000005,CLT-000004,INS-001,2021-01,154404,109457,44947,1.5492,1.0000,1.0000
ACT-000005,CLT-000004,INS-001,2021-02,111642,79143,32499,1.3171,1.0000,1.0000
ACT-000005,CLT-000004,INS-001,2021-03,99861,70791,29070,1.0000,1.0000,1.0000
ACT-000005,CLT-000004,INS-001,2021-04,56457,40023,16435,0.6829,1.0000,1.0000
ACT-000005,CLT-000004,INS-001,2021-05,38660,27406,11254,0.4508,1.0000,1.0000
ACT-000006,CLT-000004,INS-001,2021-01,242459,163369,79090,0.6523,1.0000,1.0000
ACT-000006,CLT-000004,INS-001,2021-02,138226,93137,45089,0.3979,1.0000,1.0000
ACT-000006,CLT-000004,INS-001,2021-03,98787,66562,32224,0.3047,1.0000,1.0000
ACT-000006,CLT-000004,INS-001,2021-04,161185,108607,52579,0.3979,1.0000,1.0000
ACT-000006,CLT-000004,INS-001,2021-05,184110,124053,60057,0.6524,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-01,221185,214328,6857,1.1079,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-02,225562,218569,6992,1.0000,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-03,152964,148222,4742,0.8920,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-04,130675,126624,4051,0.8130,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-05,132822,128705,4117,0.7841,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-06,157499,152616,4882,0.8130,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-07,180541,174944,5597,0.8921,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-08,213642,207020,6623,1.0000,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-09,208565,202100,6466,1.1079,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-10,222321,215429,6892,1.1870,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-11,202739,196454,6285,1.2159,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2021-12,219531,212725,6805,1.1870,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2022-01,214124,207486,6638,1.1079,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2022-02,188338,182499,5838,1.0000,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2022-03,189541,183665,5876,0.8920,1.2442,1.0000
ACT-000008,CLT-000006,INS-001,2022-04,199443,193260,6183,0.8130,1.5168,1.0000
ACT-000008,CLT-000006,INS-001,2022-05,266939,258663,8275,0.7841,1.5168,1.0000
ACT-000008,CLT-000006,INS-001,2022-06,300349,291038,9311,0.8130,1.5168,1.0000
ACT-000008,CLT-000006,INS-001,2022-07,337443,326983,10461,0.8921,1.6674,1.0000
ACT-000008,CLT-000006,INS-001,2022-08,367873,356469,11404,1.0000,1.6674,1.0000
ACT-000008,CLT-000006,INS-001,2022-09,321230,311272,9958,1.1079,1.3678,1.0000
ACT-000008,CLT-000006,INS-001,2022-10,290546,298432,-7885,1.1870,1.0993,1.0000
ACT-000008,CLT-000006,INS-001,2022-11,254039,260934,-6895,1.2159,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2022-12,217951,223866,-5915,1.1870,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-01,222464,219879,2585,1.1079,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-02,169623,167652,1971,1.0000,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-03,177626,175562,2064,0.8920,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-04,170778,168794,1984,0.8130,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-05,155764,153954,1810,0.7841,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-06,178924,173377,5547,0.8130,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-07,185288,179544,5744,0.8921,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-08,201620,195370,6250,1.0000,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-09,251846,244038,7807,1.1079,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-10,261186,253089,8097,1.1870,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-11,229143,222039,7103,1.2159,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2023-12,201177,194941,6236,1.1870,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2024-01,261643,258603,3040,1.1079,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-02,194114,191858,2256,1.0000,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-03,121569,120156,1413,0.8920,0.7788,1.0239
ACT-000008,CLT-000006,INS-001,2024-04,113309,111992,1317,0.8130,0.7788,1.0239
ACT-000008,CLT-000006,INS-001,2024-05,158346,156506,1840,0.7841,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-06,204605,202227,2378,0.8130,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-07,285680,282361,3320,0.8921,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-08,260373,257348,3026,1.0000,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-09,271686,268529,3157,1.1079,1.2116,1.0239
ACT-000008,CLT-000006,INS-001,2024-10,233807,231090,2717,1.1870,1.0000,1.0239
ACT-000008,CLT-000006,INS-001,2024-11,241026,238225,2801,1.2159,1.0000,1.0239
ACT-000008,CLT-000006,INS-001,2024-12,251565,248641,2923,1.1870,1.0000,1.0239
ACT-000008,CLT-000006,INS-001,2025-01,175700,212817,-37117,1.1079,0.6874,1.0000
ACT-000008,CLT-000006,INS-001,2025-02,150961,182852,-31891,1.0000,0.6874,1.0000
ACT-000008,CLT-000006,INS-001,2025-03,126680,153441,-26761,0.8920,0.6874,1.0000
ACT-000008,CLT-000006,INS-001,2025-04,137484,166527,-29043,0.8130,0.6874,1.0000
ACT-000008,CLT-000006,INS-001,2025-05,104895,127054,-22159,0.7841,0.6874,1.0000
ACT-000008,CLT-000006,INS-001,2025-06,107597,130326,-22730,0.8130,0.6874,1.0000
ACT-000008,CLT-000006,INS-001,2025-07,193889,234848,-40959,0.8921,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2025-08,220662,267277,-46615,1.0000,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2025-09,286762,347340,-60578,1.1079,1.0000,1.0000
ACT-000008,CLT-000006,INS-001,2025-10,310352,375914,-65562,1.1870,1.0766,1.0000
ACT-000008,CLT-000006,INS-001,2025-11,298875,362013,-63137,1.2159,1.0766,1.0000
ACT-000008,CLT-000006,INS-001,2025-12,287168,347833,-60664,1.1870,1.0766,1.0000
ACT-000010,CLT-000008,INS-001,2021-01,361688,271374,90313,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-02,463867,348039,115828,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-03,563137,422522,140615,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-04,483426,362714,120711,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-05,294674,221094,73580,0.7992,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-06,276157,207200,68956,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-07,431748,323940,107807,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-08,560589,420610,139979,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-09,458671,344141,114530,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-10,464270,348342,115928,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-11,584034,438201,145833,1.2008,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2021-12,426752,320192,106560,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-01,397845,298503,99342,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-02,346281,259815,86466,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-03,366339,274864,91475,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-04,311216,233505,77711,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-05,306263,229789,76474,0.7992,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-06,348085,261168,86917,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-07,256152,192191,63961,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-08,232676,174577,58099,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-09,398457,298962,99495,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-10,519560,413215,106345,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-11,499825,397520,102305,1.2008,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2022-12,417701,332205,85496,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-01,249216,190727,58490,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-02,338280,258888,79392,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-03,219951,168330,51621,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-04,216689,165833,50856,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-05,274518,210090,64428,0.7992,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-06,317607,238301,79306,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-07,356507,267487,89020,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-08,351950,264068,87882,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-09,455491,341755,113736,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-10,416798,312724,104074,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-11,335280,251560,83719,1.2008,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2023-12,253632,190300,63332,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2024-01,333612,255315,78297,1.1004,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-02,240224,183845,56379,1.0000,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-03,129713,99270,30443,0.8996,0.4468,1.0239
ACT-000010,CLT-000008,INS-001,2024-04,126726,96984,29742,0.8261,0.4468,1.0239
ACT-000010,CLT-000008,INS-001,2024-05,158547,121337,37210,0.7992,0.4468,1.0239
ACT-000010,CLT-000008,INS-001,2024-06,314339,240566,73774,0.8261,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-07,413568,316506,97062,0.8996,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-08,493869,377961,115908,1.0000,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-09,389017,297717,91300,1.1004,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-10,275576,210900,64676,1.1739,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-11,551024,421702,129322,1.2008,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2024-12,866327,663006,203322,1.1739,1.0000,1.0239
ACT-000010,CLT-000008,INS-001,2025-01,313723,294233,19490,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-02,181423,170152,11271,1.0000,0.6993,1.0000
ACT-000010,CLT-000008,INS-001,2025-03,163951,153765,10185,0.8996,0.6993,1.0000
ACT-000010,CLT-000008,INS-001,2025-04,180163,168970,11193,0.8261,0.6993,1.0000
ACT-000010,CLT-000008,INS-001,2025-05,354332,332320,22013,0.7992,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-06,272570,255637,16933,0.8261,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-07,258363,242312,16051,0.8996,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-08,271514,254646,16868,1.0000,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-09,284448,266777,17671,1.1004,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-10,264084,247678,16406,1.1739,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-11,200045,187617,12428,1.2008,1.0000,1.0000
ACT-000010,CLT-000008,INS-001,2025-12,218295,204734,13562,1.1739,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-01,425209,336425,88784,1.1933,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-02,401119,317365,83754,1.1116,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-03,448046,354494,93552,1.0000,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-04,347106,274630,72476,0.8884,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-05,364047,288034,76013,0.8067,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-06,385862,305294,80568,0.7768,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-07,392862,310833,82030,0.8067,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-08,431489,341394,90095,0.8884,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-09,547709,433348,114362,1.0000,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-10,407328,322278,85050,1.1116,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-11,468857,370959,97897,1.1933,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2021-12,611305,483665,127641,1.2232,1.0000,1.0000
ACT-000011,CLT-000009,INS-001,2022-01,462112,365623,96489,1.1933,1.1031,1.0000
ACT-000011,CLT-000009,INS-001,2022-02,522419,413338,109081,1.1116,1.1031,1.0000
ACT-000012,CLT-000009,INS-001,2021-01,143378,117384,25994,1.2712,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-02,117662,96330,21332,1.1565,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-03,72643,59473,13170,1.0000,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-04,94894,77690,17204,0.8434,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-05,88436,72402,16033,0.7288,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-06,62003,50761,11241,0.6869,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-07,77546,63487,14059,0.7288,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-08,94463,77337,17126,0.8435,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-09,141797,116089,25708,1.0000,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-10,117555,96242,21313,1.1565,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-11,163209,133619,29590,1.2712,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2021-12,279154,228543,50611,1.3131,1.0000,1.0000
ACT-000012,CLT-000009,INS-001,2022-01,253231,207321,45911,1.2712,1.1031,1.0000
ACT-000012,CLT-000009,INS-001,2022-02,161128,131915,29212,1.1565,1.1031,1.0000
ACT-000013,CLT-000010,INS-001,2021-01,997804,886948,110856,1.2013,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2021-02,966261,858909,107352,1.1162,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2021-03,706429,627944,78484,1.0000,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2021-04,775202,689077,86125,0.8838,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2021-05,551058,489835,61223,0.7987,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2021-06,404226,359316,44909,0.7676,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2021-07,385755,342898,42857,0.7987,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2021-08,542214,481974,60240,0.8838,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2021-09,528218,469533,58685,1.0000,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2021-10,741899,659474,82425,1.1162,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2021-11,701593,623646,77947,1.2013,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2021-12,784246,697116,87130,1.2324,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2022-01,703745,625559,78186,1.2013,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2022-02,607264,539797,67467,1.1162,0.8885,1.0000
ACT-000013,CLT-000010,INS-001,2022-03,567416,504376,63040,1.0000,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-04,675844,600757,75086,0.8838,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-05,603254,536233,67022,0.7987,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-06,690048,613383,76664,0.7676,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-07,583344,518535,64810,0.7987,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-08,719888,639908,79980,0.8838,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-09,825826,734077,91749,1.0000,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-10,1111471,1047266,64205,1.1162,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-11,1135508,1069914,65594,1.2013,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2022-12,1287545,1213169,74376,1.2324,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2023-01,1115447,1011351,104096,1.2013,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2023-02,934136,846961,87175,1.1162,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2023-03,761011,689992,71019,1.0000,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2023-04,713358,646786,66572,0.8838,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2023-05,748255,678426,69829,0.7987,1.0000,1.0000
ACT-000013,CLT-000010,INS-001,2023-06,832140,739689,92451,0.7676,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2023-07,735707,653970,81737,0.7987,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2023-08,759392,675024,84368,0.8838,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2023-09,870949,774187,96762,1.0000,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2023-10,1089133,968131,121003,1.1162,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2023-11,1204279,1070484,133795,1.2013,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2023-12,1203149,1069479,133670,1.2324,1.1309,1.0000
ACT-000013,CLT-000010,INS-001,2024-01,1006463,912538,93925,1.2013,1.1309,1.0239
ACT-000013,CLT-000010,INS-001,2024-02,947406,858992,88414,1.1162,1.1309,1.0239
ACT-000013,CLT-000010,INS-001,2024-03,779219,706500,72718,1.0000,1.1309,1.0239
ACT-000013,CLT-000010,INS-001,2024-04,458634,415833,42801,0.8838,0.7087,1.0239
ACT-000013,CLT-000010,INS-001,2024-05,492120,446194,45926,0.7987,0.7087,1.0239
