identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000209,CLT-000170,INS-004,COMMERCE,Commerce de condiments,1,2019-07-26,
ACT-000210,CLT-000171,INS-004,COMMERCE,Boutique de quartier,1,2021-08-08,
ACT-000211,CLT-000172,INS-004,AGRICULTURE,Culture maraîchère,1,2016-04-18,
ACT-000212,CLT-000173,INS-004,TRANSPORT,Livraison de marchandises,1,2024-05-10,
ACT-000213,CLT-000174,INS-004,PETITE_PRODUCTION,Séchage de fruits,1,2013-02-02,
ACT-000214,CLT-000175,INS-004,COMMERCE,Commerce de condiments,1,2015-04-08,
ACT-000215,CLT-000176,INS-004,COMMERCE,Vente de tissus,1,2016-03-15,
ACT-000216,CLT-000177,INS-004,AGRICULTURE,Production de mil,1,2014-09-08,
ACT-000217,CLT-000178,INS-004,PETITE_PRODUCTION,Transformation de céréales,1,2021-04-27,
ACT-000218,CLT-000178,INS-004,COMMERCE,Commerce de condiments,0,2021-04-27,
ACT-000219,CLT-000179,INS-004,ELEVAGE,Élevage de petits ruminants,1,2009-02-28,
ACT-000220,CLT-000179,INS-004,ARTISANAT,Couture,0,2009-02-28,
ACT-000221,CLT-000180,INS-004,ARTISANAT,Menuiserie,1,2013-06-25,
ACT-000222,CLT-000181,INS-004,SERVICES,Secrétariat public,1,2020-04-22,
ACT-000223,CLT-000182,INS-004,TRANSPORT,Location de tricycle,1,2020-10-22,
ACT-000224,CLT-000182,INS-004,ARTISANAT,Teinture de tissus,0,2020-10-22,
ACT-000225,CLT-000183,INS-004,AGRICULTURE,Culture d'arachide,1,2010-08-07,
ACT-000226,CLT-000184,INS-004,SERVICES,Coiffure,1,2019-01-31,
ACT-000227,CLT-000185,INS-004,COMMERCE,Boutique de quartier,1,2023-01-20,
ACT-000228,CLT-000186,INS-004,COMMERCE,Boutique de quartier,1,2022-01-22,
ACT-000229,CLT-000187,INS-004,RESTAURATION,Vente de beignets,1,2021-07-06,
ACT-000230,CLT-000187,INS-004,AGRICULTURE,Riziculture,0,2021-07-06,
ACT-000231,CLT-000188,INS-004,AGRICULTURE,Culture maraîchère,1,2014-01-01,
ACT-000232,CLT-000188,INS-004,COMMERCE,Vente de céréales,0,2014-01-01,
ACT-000233,CLT-000189,INS-004,COMMERCE,Vente de céréales,1,2021-10-08,
ACT-000234,CLT-000190,INS-004,COMMERCE,Boutique de quartier,1,2021-07-10,
ACT-000235,CLT-000191,INS-004,ARTISANAT,Menuiserie,1,2016-01-16,
ACT-000236,CLT-000191,INS-004,AGRICULTURE,Culture maraîchère,0,2016-01-16,
ACT-000237,CLT-000192,INS-004,TRANSPORT,Taxi moto,1,2023-04-11,
ACT-000238,CLT-000193,INS-004,COMMERCE,Vente de céréales,1,2022-01-05,
ACT-000239,CLT-000194,INS-004,RESTAURATION,Vente de beignets,1,2022-01-21,
ACT-000240,CLT-000194,INS-004,AGRICULTURE,Culture d'arachide,0,2022-01-21,
ACT-000241,CLT-000195,INS-004,COMMERCE,Commerce de condiments,1,2007-06-26,
ACT-000242,CLT-000195,INS-004,PETITE_PRODUCTION,Fabrication de savon,0,2007-06-26,
ACT-000243,CLT-000196,INS-004,COMMERCE,Vente de céréales,1,2021-03-07,
ACT-000244,CLT-000196,INS-004,SERVICES,Réparation de téléphones,0,2021-03-07,
ACT-000245,CLT-000197,INS-004,AGRICULTURE,Riziculture,1,2017-01-24,
ACT-000246,CLT-000198,INS-004,RESTAURATION,Vente de beignets,1,2013-03-02,
ACT-000247,CLT-000199,INS-004,COMMERCE,Vente de céréales,1,2024-01-06,
ACT-000248,CLT-000199,INS-004,TRANSPORT,Transport de personnes,0,2024-01-06,
ACT-000249,CLT-000200,INS-004,SERVICES,Secrétariat public,1,2020-02-18,
