identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000022,CLT-000017,INS-001,COMMERCE,Vente de tissus,1,2018-08-30,
ACT-000023,CLT-000018,INS-001,TRANSPORT,Taxi moto,1,2017-09-13,
ACT-000024,CLT-000019,INS-001,ARTISANAT,Forge,1,2018-10-28,
ACT-000025,CLT-000020,INS-001,COMMERCE,Vente de tissus,1,2019-03-19,
ACT-000026,CLT-000021,INS-001,ARTISANAT,Menuiserie,1,2015-04-25,
ACT-000027,CLT-000022,INS-001,SERVICES,Cabine de communication,1,2011-11-30,
ACT-000028,CLT-000023,INS-001,COMMERCE,Vente de céréales,1,2022-06-06,
ACT-000029,CLT-000023,INS-001,RESTAURATION,Restaurant de rue,0,2022-06-06,
ACT-000030,CLT-000024,INS-001,COMMERCE,Vente de céréales,1,2013-11-13,
ACT-000031,CLT-000024,INS-001,RESTAURATION,Restaurant de rue,0,2013-11-13,
ACT-000032,CLT-000025,INS-001,ARTISANAT,Teinture de tissus,1,2013-08-29,
ACT-000033,CLT-000026,INS-001,SERVICES,Réparation de téléphones,1,2015-06-07,
ACT-000034,CLT-000027,INS-001,COMMERCE,Vente de tissus,1,2019-12-14,
ACT-000035,CLT-000028,INS-001,RESTAURATION,Vente de repas,1,2015-05-15,
ACT-000036,CLT-000029,INS-001,RESTAURATION,Vente de repas,1,2019-11-14,
ACT-000037,CLT-000030,INS-001,COMMERCE,Commerce de condiments,1,2010-10-19,
ACT-000038,CLT-000030,INS-001,RESTAURATION,Préparation de jus,0,2010-10-19,
ACT-000039,CLT-000031,INS-001,TRANSPORT,Livraison de marchandises,1,2020-01-02,
ACT-000040,CLT-000032,INS-001,PETITE_PRODUCTION,Transformation de céréales,1,2019-07-14,
ACT-000041,CLT-000033,INS-001,COMMERCE,Commerce de condiments,1,2010-09-05,
ACT-000042,CLT-000034,INS-001,COMMERCE,Commerce de condiments,1,2007-01-11,
ACT-000043,CLT-000035,INS-001,COMMERCE,Commerce de condiments,1,2010-10-26,
ACT-000044,CLT-000036,INS-001,SERVICES,Réparation de téléphones,1,2019-07-08,
ACT-000045,CLT-000037,INS-001,COMMERCE,Commerce de condiments,1,2010-09-22,
ACT-000046,CLT-000038,INS-001,TRANSPORT,Livraison de marchandises,1,2019-04-03,
ACT-000047,CLT-000039,INS-001,COMMERCE,Boutique de quartier,1,2021-11-14,
ACT-000048,CLT-000040,INS-001,COMMERCE,Vente de céréales,1,2021-02-17,
ACT-000049,CLT-000041,INS-001,ARTISANAT,Menuiserie,1,2024-09-16,
ACT-000050,CLT-000041,INS-001,COMMERCE,Vente de céréales,0,2024-09-16,
ACT-000051,CLT-000042,INS-001,COMMERCE,Commerce de condiments,1,2020-02-29,
ACT-000052,CLT-000043,INS-001,COMMERCE,Boutique de quartier,1,2017-01-02,
ACT-000053,CLT-000044,INS-001,ARTISANAT,Forge,1,2015-09-15,
ACT-000054,CLT-000045,INS-001,TRANSPORT,Location de tricycle,1,2015-12-12,
ACT-000055,CLT-000045,INS-001,ARTISANAT,Couture,0,2015-12-12,
ACT-000056,CLT-000046,INS-001,RESTAURATION,Vente de repas,1,2014-08-16,
ACT-000057,CLT-000047,INS-001,COMMERCE,Vente de tissus,1,2019-01-25,
ACT-000058,CLT-000048,INS-001,SERVICES,Cabine de communication,1,2013-12-27,
ACT-000059,CLT-000048,INS-001,COMMERCE,Commerce de condiments,0,2013-12-27,
ACT-000060,CLT-000049,INS-001,COMMERCE,Boutique de quartier,1,2018-02-21,
ACT-000061,CLT-000050,INS-001,COMMERCE,Vente de tissus,1,2021-04-26,
ACT-000062,CLT-000051,INS-001,COMMERCE,Vente de tissus,1,2021-02-13,
ACT-000063,CLT-000052,INS-001,COMMERCE,Vente de tissus,1,2017-04-22,
ACT-000064,CLT-000053,INS-001,RESTAURATION,Vente de beignets,1,2018-07-01,
ACT-000065,CLT-000054,INS-001,RESTAURATION,Préparation de jus,1,2013-08-22,
ACT-000066,CLT-000055,INS-001,SERVICES,Coiffure,1,2019-07-02,
ACT-000067,CLT-000055,INS-001,COMMERCE,Commerce de condiments,0,2019-07-02,
ACT-000068,CLT-000056,INS-001,COMMERCE,Boutique de quartier,1,2021-09-12,
ACT-000069,CLT-000057,INS-001,COMMERCE,Commerce de condiments,1,2021-08-24,
ACT-000070,CLT-000058,INS-001,COMMERCE,Commerce de condiments,1,2013-11-25,
ACT-000071,CLT-000059,INS-001,COMMERCE,Vente de céréales,1,2016-01-26,
ACT-000072,CLT-000060,INS-001,COMMERCE,Commerce de condiments,1,2019-11-05,
ACT-000073,CLT-000060,INS-001,SERVICES,Secrétariat public,0,2019-11-05,
ACT-000074,CLT-000061,INS-001,SERVICES,Secrétariat public,1,2023-08-11,
ACT-000075,CLT-000062,INS-001,SERVICES,Cabine de communication,1,2020-04-21,
ACT-000076,CLT-000063,INS-001,COMMERCE,Vente de tissus,1,2020-08-15,
ACT-000077,CLT-000064,INS-001,AGRICULTURE,Production de mil,1,2022-04-05,
ACT-000078,CLT-000064,INS-001,COMMERCE,Vente de tissus,0,2022-04-05,
ACT-000079,CLT-000065,INS-001,COMMERCE,Vente de céréales,1,2023-04-04,
ACT-000080,CLT-000066,INS-001,COMMERCE,Boutique de quartier,1,2017-08-11,
ACT-000081,CLT-000067,INS-001,COMMERCE,Vente de tissus,1,2014-01-16,
ACT-000082,CLT-000068,INS-001,COMMERCE,Commerce de condiments,1,2023-04-06,
ACT-000083,CLT-000069,INS-001,COMMERCE,Vente de tissus,1,2020-07-16,
ACT-000084,CLT-000070,INS-001,SERVICES,Coiffure,1,2013-07-15,
ACT-000085,CLT-000071,INS-001,SERVICES,Coiffure,1,2023-01-26,
ACT-000086,CLT-000071,INS-001,COMMERCE,Vente de céréales,0,2023-01-26,
ACT-000087,CLT-000072,INS-001,COMMERCE,Boutique de quartier,1,2020-09-07,
ACT-000088,CLT-000073,INS-001,COMMERCE,Vente de tissus,1,2021-05-01,
ACT-000089,CLT-000074,INS-001,COMMERCE,Commerce de condiments,1,2018-09-25,
ACT-000090,CLT-000075,INS-001,COMMERCE,Boutique de quartier,1,2021-04-28,
ACT-000091,CLT-000076,INS-001,COMMERCE,Vente de céréales,1,2021-09-03,
ACT-000092,CLT-000077,INS-001,COMMERCE,Vente de tissus,1,2022-10-07,
ACT-000093,CLT-000078,INS-001,SERVICES,Réparation de téléphones,1,2021-07-10,
ACT-000094,CLT-000079,INS-001,SERVICES,Cabine de communication,1,2021-11-15,
ACT-000095,CLT-000080,INS-001,PETITE_PRODUCTION,Séchage de fruits,1,2018-10-16,
ACT-000096,CLT-000081,INS-001,TRANSPORT,Livraison de marchandises,1,2022-03-19,
ACT-000097,CLT-000082,INS-001,COMMERCE,Vente de céréales,1,2002-03-30,
ACT-000098,CLT-000082,INS-001,RESTAURATION,Restaurant de rue,0,2002-03-30,
ACT-000099,CLT-000083,INS-001,TRANSPORT,Livraison de marchandises,1,2018-02-28,
ACT-000100,CLT-000084,INS-001,COMMERCE,Commerce de condiments,1,2022-01-11,
ACT-000101,CLT-000085,INS-001,TRANSPORT,Location de tricycle,1,2022-08-20,
ACT-000102,CLT-000086,INS-001,ARTISANAT,Forge,1,2023-01-09,
ACT-000103,CLT-000087,INS-001,ARTISANAT,Couture,1,2007-06-16,
ACT-000104,CLT-000088,INS-001,ARTISANAT,Couture,1,2019-07-21,
ACT-000105,CLT-000089,INS-001,ARTISANAT,Menuiserie,1,2024-02-10,
ACT-000106,CLT-000090,INS-001,RESTAURATION,Restaurant de rue,1,2023-08-11,
ACT-000107,CLT-000090,INS-001,TRANSPORT,Taxi moto,0,2023-08-11,
ACT-000108,CLT-000091,INS-001,TRANSPORT,Transport de personnes,1,2021-02-02,
ACT-000109,CLT-000091,INS-001,SERVICES,Coiffure,0,2021-02-02,
ACT-000110,CLT-000092,INS-001,RESTAURATION,Restaurant de rue,1,2024-04-14,
ACT-000111,CLT-000093,INS-001,COMMERCE,Boutique de quartier,1,2014-09-10,
ACT-000112,CLT-000094,INS-001,COMMERCE,Commerce de condiments,1,2023-06-16,
ACT-000113,CLT-000095,INS-001,ARTISANAT,Teinture de tissus,1,2019-05-30,
ACT-000114,CLT-000096,INS-001,SERVICES,Coiffure,1,2024-10-23,
ACT-000115,CLT-000096,INS-001,COMMERCE,Commerce de condiments,0,2024-10-23,
ACT-000116,CLT-000097,INS-001,TRANSPORT,Livraison de marchandises,1,2024-06-24,
ACT-000117,CLT-000098,INS-001,COMMERCE,Commerce de condiments,1,2020-11-26,
ACT-000118,CLT-000099,INS-001,COMMERCE,Boutique de quartier,1,2020-08-16,
ACT-000119,CLT-000100,INS-001,COMMERCE,Commerce de condiments,1,2016-11-14,
