identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000263,CRD-000029,ECH-0000298,INS-001,2025-06-03,125000,collecteur
PAI-0000264,CRD-000029,ECH-0000299,INS-001,2025-07-01,125000,agence
PAI-0000265,CRD-000029,ECH-0000300,INS-001,2025-08-04,125000,collecteur
PAI-0000266,CRD-000030,ECH-0000301,INS-001,2024-10-17,14166,agence
PAI-0000267,CRD-000030,ECH-0000302,INS-001,2024-11-22,14166,mobile_money
PAI-0000268,CRD-000030,ECH-0000303,INS-001,2024-12-16,14166,agence
PAI-0000269,CRD-000030,ECH-0000304,INS-001,2025-01-22,14166,mobile_money
PAI-0000270,CRD-000030,ECH-0000305,INS-001,2025-02-19,14166,mobile_money
PAI-0000271,CRD-000030,ECH-0000306,INS-001,2025-03-18,14170,mobile_money
PAI-0000272,CRD-000031,ECH-0000307,INS-001,2023-03-07,16111,agence
PAI-0000273,CRD-000031,ECH-0000308,INS-001,2023-04-09,16111,agence
PAI-0000274,CRD-000031,ECH-0000309,INS-001,2023-05-11,16111,mobile_money
PAI-0000275,CRD-000031,ECH-0000310,INS-001,2023-06-10,16111,mobile_money
PAI-0000276,CRD-000031,ECH-0000311,INS-001,2023-07-10,16111,agence
PAI-0000277,CRD-000031,ECH-0000312,INS-001,2023-08-05,16111,mobile_money
PAI-0000278,CRD-000031,ECH-0000313,INS-001,2023-09-09,16111,agence
PAI-0000279,CRD-000031,ECH-0000314,INS-001,2023-10-09,16111,agence
PAI-0000280,CRD-000031,ECH-0000315,INS-001,2023-11-11,16112,collecteur
PAI-0000281,CRD-000032,ECH-0000316,INS-001,2025-01-27,23333,agence
PAI-0000282,CRD-000032,ECH-0000317,INS-001,2025-02-23,23333,agence
PAI-0000283,CRD-000032,ECH-0000318,INS-001,2025-03-22,23333,collecteur
PAI-0000284,CRD-000032,ECH-0000319,INS-001,2025-04-24,23333,mobile_money
PAI-0000285,CRD-000032,ECH-0000320,INS-001,2025-05-22,23333,agence
PAI-0000286,CRD-000032,ECH-0000321,INS-001,2025-06-20,23333,agence
PAI-0000287,CRD-000032,ECH-0000322,INS-001,2025-07-24,23333,agence
PAI-0000288,CRD-000032,ECH-0000323,INS-001,2025-08-22,23333,agence
PAI-0000289,CRD-000032,ECH-0000324,INS-001,2025-09-22,23333,mobile_money
PAI-0000290,CRD-000032,ECH-0000325,INS-001,2025-10-27,23333,mobile_money
PAI-0000291,CRD-000032,ECH-0000326,INS-001,2025-11-21,23333,mobile_money
PAI-0000292,CRD-000032,ECH-0000327,INS-001,2025-12-23,23337,collecteur
PAI-0000293,CRD-000033,ECH-0000328,INS-001,2023-07-31,50000,agence
PAI-0000294,CRD-000033,ECH-0000329,INS-001,2023-08-26,50000,agence
PAI-0000295,CRD-000033,ECH-0000330,INS-001,2023-09-26,50000,agence
PAI-0000296,CRD-000033,ECH-0000331,INS-001,2023-10-25,50000,agence
PAI-0000297,CRD-000033,ECH-0000332,INS-001,2023-11-30,50000,agence
PAI-0000298,CRD-000033,ECH-0000333,INS-001,2023-12-30,50000,agence
PAI-0000299,CRD-000033,ECH-0000334,INS-001,2024-01-28,50000,mobile_money
PAI-0000300,CRD-000033,ECH-0000335,INS-001,2024-03-01,50000,agence
PAI-0000301,CRD-000033,ECH-0000336,INS-001,2024-03-26,50000,mobile_money
PAI-0000302,CRD-000033,ECH-0000337,INS-001,2024-04-29,50000,collecteur
PAI-0000303,CRD-000033,ECH-0000338,INS-001,2024-05-26,50000,agence
PAI-0000304,CRD-000033,ECH-0000339,INS-001,2024-06-28,50000,mobile_money
PAI-0000305,CRD-000034,ECH-0000340,INS-001,2024-02-08,18333,agence
PAI-0000306,CRD-000034,ECH-0000341,INS-001,2024-03-04,18333,agence
PAI-0000307,CRD-000034,ECH-0000342,INS-001,2024-04-09,18333,mobile_money
PAI-0000308,CRD-000034,ECH-0000343,INS-001,2024-05-09,18333,agence
PAI-0000309,CRD-000034,ECH-0000344,INS-001,2024-06-09,18333,agence
PAI-0000310,CRD-000034,ECH-0000345,INS-001,2024-07-05,18333,mobile_money
PAI-0000311,CRD-000034,ECH-0000346,INS-001,2024-08-07,18333,mobile_money
PAI-0000312,CRD-000034,ECH-0000347,INS-001,2024-09-05,18333,agence
PAI-0000313,CRD-000034,ECH-0000348,INS-001,2024-10-10,18336,agence
PAI-0000314,CRD-000035,ECH-0000349,INS-001,2023-12-10,27777,agence
PAI-0000315,CRD-000035,ECH-0000350,INS-001,2024-01-17,27777,agence
PAI-0000316,CRD-000035,ECH-0000351,INS-001,2024-02-15,27777,agence
PAI-0000317,CRD-000035,ECH-0000352,INS-001,2024-03-12,27777,agence
PAI-0000318,CRD-000035,ECH-0000353,INS-001,2024-04-13,27777,mobile_money
PAI-0000319,CRD-000035,ECH-0000354,INS-001,2024-05-13,27777,collecteur
PAI-0000320,CRD-000035,ECH-0000355,INS-001,2024-06-14,27777,agence
PAI-0000321,CRD-000035,ECH-0000356,INS-001,2024-07-12,27777,agence
PAI-0000322,CRD-000035,ECH-0000357,INS-001,2024-08-14,27784,mobile_money
PAI-0000323,CRD-000036,ECH-0000358,INS-001,2024-11-18,50000,agence
PAI-0000324,CRD-000036,ECH-0000359,INS-001,2024-12-18,50000,mobile_money
PAI-0000325,CRD-000036,ECH-0000360,INS-001,2025-01-20,50000,mobile_money
PAI-0000326,CRD-000036,ECH-0000361,INS-001,2025-02-16,50000,collecteur
PAI-0000327,CRD-000036,ECH-0000362,INS-001,2025-03-22,50000,agence
PAI-0000328,CRD-000036,ECH-0000363,INS-001,2025-04-15,50000,agence
