identifiant_decision,identifiant_demande,identifiant_institution,date_decision,statut,motif_principal,montant_accorde,duree_accordee_mois
DEC-000271,DEM-000271,INS-001,2023-10-30,REFUSEE,historique_incidents,,
DEC-000272,DEM-000272,INS-001,2021-03-23,ACCEPTEE,,495000,12
DEC-000273,DEM-000273,INS-001,2023-01-30,ACCEPTEE,,210000,6
DEC-000274,DEM-000274,INS-001,2024-03-17,ACCEPTEE,,250000,6
DEC-000275,DEM-000275,INS-001,2021-10-09,ACCEPTEE,,900000,12
DEC-000276,DEM-000276,INS-001,2023-03-29,ACCEPTEE,,600000,6
DEC-000277,DEM-000277,INS-001,2024-05-16,REFUSEE,historique_incidents,,
DEC-000278,DEM-000278,INS-001,2022-11-26,ACCEPTEE,,600000,12
DEC-000279,DEM-000279,INS-001,2022-08-10,ACCEPTEE,,770000,6
DEC-000280,DEM-000280,INS-001,2024-02-27,ACCEPTEE,,350000,6
DEC-000281,DEM-000281,INS-001,2025-05-23,ACCEPTEE,,535000,9
DEC-000282,DEM-000282,INS-001,2022-03-13,ACCEPTEE,,255000,6
DEC-000283,DEM-000283,INS-001,2023-12-18,ACCEPTEE,,825000,9
DEC-000284,DEM-000284,INS-001,2022-05-17,ACCEPTEE,,70000,3
DEC-000285,DEM-000285,INS-001,2023-02-04,ACCEPTEE,,635000,12
DEC-000286,DEM-000286,INS-001,2025-04-30,ACCEPTEE,,150000,12
DEC-000287,DEM-000287,INS-001,2021-04-05,ACCEPTEE,,155000,6
DEC-000288,DEM-000288,INS-001,2022-09-24,ACCEPTEE,,250000,6
DEC-000289,DEM-000289,INS-001,2025-01-06,ACCEPTEE,,250000,6
DEC-000290,DEM-000290,INS-001,2021-01-15,ACCEPTEE,,600000,6
DEC-000291,DEM-000291,INS-001,2021-09-10,REFUSEE,garantie_insuffisante,,
DEC-000292,DEM-000292,INS-001,2021-12-15,ACCEPTEE,,900000,12
DEC-000293,DEM-000293,INS-001,2021-09-01,ACCEPTEE,,445000,6
DEC-000294,DEM-000294,INS-001,2023-01-23,ACCEPTEE,,900000,12
DEC-000295,DEM-000295,INS-001,2022-07-06,ACCEPTEE,,165000,9
DEC-000296,DEM-000296,INS-001,2024-11-18,ACCEPTEE,,165000,6
DEC-000297,DEM-000297,INS-001,2025-05-22,ACCEPTEE,,25000,9
DEC-000298,DEM-000298,INS-001,2021-12-04,ACCEPTEE,,250000,6
DEC-000299,DEM-000299,INS-001,2022-07-29,ACCEPTEE,,600000,12
DEC-000300,DEM-000300,INS-001,2024-08-08,REFUSEE,capacite_insuffisante,,
DEC-000301,DEM-000301,INS-001,2023-05-10,ACCEPTEE,,965000,24
DEC-000302,DEM-000302,INS-001,2021-02-24,REFUSEE,capacite_insuffisante,,
DEC-000303,DEM-000303,INS-001,2022-01-16,ACCEPTEE,,355000,6
DEC-000304,DEM-000304,INS-001,2023-07-02,ACCEPTEE,,450000,12
DEC-000305,DEM-000305,INS-001,2021-10-19,ACCEPTEE,,250000,9
DEC-000306,DEM-000306,INS-001,2021-03-17,ACCEPTEE,,220000,9
DEC-000307,DEM-000307,INS-001,2023-02-13,ACCEPTEE,,250000,9
DEC-000308,DEM-000308,INS-001,2024-06-25,ACCEPTEE,,395000,12
DEC-000309,DEM-000309,INS-001,2021-04-04,ACCEPTEE,,600000,12
DEC-000310,DEM-000310,INS-001,2021-08-14,ACCEPTEE,,320000,9
DEC-000311,DEM-000311,INS-001,2022-12-16,ACCEPTEE,,180000,6
DEC-000312,DEM-000312,INS-001,2023-10-16,REFUSEE,capacite_insuffisante,,
DEC-000313,DEM-000313,INS-001,2024-03-19,REFUSEE,capacite_insuffisante,,
DEC-000314,DEM-000314,INS-001,2025-06-27,REFUSEE,endettement_eleve,,
DEC-000315,DEM-000315,INS-001,2025-10-30,ACCEPTEE,,150000,12
DEC-000316,DEM-000316,INS-001,2022-12-24,ACCEPTEE,,110000,9
DEC-000317,DEM-000317,INS-001,2025-10-23,ACCEPTEE,,150000,12
DEC-000318,DEM-000318,INS-001,2022-09-27,ACCEPTEE,,530000,12
DEC-000319,DEM-000319,INS-001,2021-09-05,ACCEPTEE,,900000,12
DEC-000320,DEM-000320,INS-001,2024-01-03,ACCEPTEE,,395000,6
DEC-000321,DEM-000321,INS-001,2024-06-27,ACCEPTEE,,250000,9
DEC-000322,DEM-000322,INS-001,2025-08-15,ACCEPTEE,,100000,12
DEC-000323,DEM-000323,INS-001,2024-06-16,ACCEPTEE,,855000,12
DEC-000324,DEM-000324,INS-001,2025-06-27,REFUSEE,capacite_insuffisante,,
DEC-000325,DEM-000325,INS-001,2022-10-11,ACCEPTEE,,250000,6
DEC-000326,DEM-000326,INS-001,2023-08-23,ACCEPTEE,,250000,9
DEC-000327,DEM-000327,INS-001,2022-06-05,ACCEPTEE,,585000,12
DEC-000328,DEM-000328,INS-001,2025-06-24,REFUSEE,endettement_eleve,,
DEC-000329,DEM-000329,INS-001,2025-10-12,ANNULEE_CLIENT,,,
DEC-000330,DEM-000330,INS-001,2025-07-29,REFUSEE,capacite_insuffisante,,
DEC-000331,DEM-000331,INS-001,2025-11-20,REFUSEE,capacite_insuffisante,,
DEC-000332,DEM-000332,INS-001,2021-10-23,ACCEPTEE,,250000,9
DEC-000333,DEM-000333,INS-001,2023-05-21,ACCEPTEE,,570000,9
DEC-000334,DEM-000334,INS-001,2025-01-25,ACCEPTEE,,555000,12
