identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000023,INS-001,AGE-002,2025-04-06,,COMMERCE,34,1,111500
CLT-000024,INS-001,AGE-002,2021-02-13,,COMMERCE,87,1,60000
CLT-000025,INS-001,AGE-002,2021-04-29,,ARTISANAT,92,1,199000
CLT-000026,INS-001,AGE-001,2021-05-07,,SERVICES,71,1,45500
CLT-000027,INS-001,AGE-002,2021-05-14,,COMMERCE,17,0,
CLT-000028,INS-001,AGE-002,2021-05-15,,RESTAURATION,72,0,
CLT-000029,INS-001,AGE-001,2021-06-14,,RESTAURATION,19,0,
CLT-000030,INS-001,AGE-001,2021-08-19,,COMMERCE,130,1,45500
CLT-000031,INS-001,AGE-002,2021-09-02,,TRANSPORT,20,1,12000
CLT-000032,INS-001,AGE-002,2021-09-14,,PETITE_PRODUCTION,26,1,55500
CLT-000033,INS-001,AGE-001,2021-10-05,,COMMERCE,133,0,
CLT-000034,INS-001,AGE-001,2021-12-11,,COMMERCE,179,1,105000
CLT-000035,INS-001,AGE-002,2022-03-26,,COMMERCE,137,1,24500
CLT-000036,INS-001,AGE-002,2022-05-08,,SERVICES,34,1,48500
CLT-000037,INS-001,AGE-002,2022-05-22,,COMMERCE,140,1,36000
CLT-000038,INS-001,AGE-002,2022-06-03,2023-10-03,TRANSPORT,38,0,
CLT-000039,INS-001,AGE-001,2022-07-14,,COMMERCE,8,0,
CLT-000040,INS-001,AGE-002,2022-07-17,,COMMERCE,17,1,5000
CLT-000041,INS-001,AGE-001,2025-08-16,,ARTISANAT,11,1,10000
CLT-000042,INS-001,AGE-001,2022-08-30,,COMMERCE,30,1,157000
CLT-000043,INS-001,AGE-001,2022-09-02,,COMMERCE,68,1,30500
CLT-000044,INS-001,AGE-002,2022-09-15,2024-12-15,ARTISANAT,84,1,295500
CLT-000045,INS-001,AGE-002,2022-10-12,,TRANSPORT,82,0,
CLT-000046,INS-001,AGE-001,2022-11-16,,RESTAURATION,99,0,
CLT-000047,INS-001,AGE-001,2022-12-25,2025-01-25,COMMERCE,47,1,33500
CLT-000048,INS-001,AGE-002,2022-12-27,2024-01-27,SERVICES,108,0,
CLT-000049,INS-001,AGE-002,2023-01-21,,COMMERCE,59,1,9500
CLT-000050,INS-001,AGE-001,2023-01-26,,COMMERCE,21,0,
CLT-000051,INS-001,AGE-002,2023-02-13,,COMMERCE,24,1,22000
CLT-000052,INS-001,AGE-002,2023-02-22,2025-06-22,COMMERCE,70,1,86000
CLT-000053,INS-001,AGE-001,2023-04-01,,RESTAURATION,57,1,96000
CLT-000054,INS-001,AGE-001,2023-04-22,,RESTAURATION,116,1,47500
CLT-000055,INS-001,AGE-002,2025-08-02,,SERVICES,73,1,34000
CLT-000056,INS-001,AGE-002,2023-05-12,,COMMERCE,20,0,
CLT-000057,INS-001,AGE-001,2025-03-24,,COMMERCE,43,0,
CLT-000058,INS-001,AGE-002,2023-06-25,,COMMERCE,115,1,100000
CLT-000059,INS-001,AGE-002,2023-06-26,,COMMERCE,89,1,56500
CLT-000060,INS-001,AGE-001,2023-07-05,,COMMERCE,44,1,997500
CLT-000061,INS-001,AGE-001,2025-09-11,,SERVICES,25,1,17500
CLT-000062,INS-001,AGE-002,2023-09-21,,SERVICES,41,0,
CLT-000063,INS-001,AGE-001,2023-10-15,,COMMERCE,38,1,31000
CLT-000064,INS-001,AGE-001,2024-01-05,2025-11-05,AGRICULTURE,21,0,
CLT-000065,INS-001,AGE-002,2025-09-04,,COMMERCE,29,1,7500
CLT-000066,INS-001,AGE-001,2024-01-11,2025-08-11,COMMERCE,77,0,
CLT-000067,INS-001,AGE-002,2024-01-16,,COMMERCE,120,1,427500
CLT-000068,INS-001,AGE-002,2024-02-06,,COMMERCE,10,0,
CLT-000069,INS-001,AGE-002,2024-02-16,,COMMERCE,43,1,12000
CLT-000070,INS-001,AGE-002,2024-03-15,,SERVICES,128,0,
CLT-000071,INS-001,AGE-001,2024-03-26,2025-04-26,SERVICES,14,0,
CLT-000072,INS-001,AGE-001,2024-05-07,,COMMERCE,44,1,42500
CLT-000073,INS-001,AGE-001,2024-07-01,,COMMERCE,38,1,45000
CLT-000074,INS-001,AGE-001,2024-07-25,,COMMERCE,70,0,
CLT-000075,INS-001,AGE-002,2024-08-28,,COMMERCE,40,0,
CLT-000076,INS-001,AGE-002,2024-09-03,,COMMERCE,36,1,221000
CLT-000077,INS-001,AGE-001,2024-09-07,,COMMERCE,23,1,61000
CLT-000078,INS-001,AGE-001,2024-10-10,,SERVICES,39,1,99500
CLT-000079,INS-001,AGE-001,2024-10-15,,SERVICES,35,0,
CLT-000080,INS-001,AGE-001,2024-11-16,2025-12-16,PETITE_PRODUCTION,73,0,
CLT-000081,INS-001,AGE-002,2025-01-19,,TRANSPORT,34,1,70000
CLT-000082,INS-001,AGE-001,2025-01-30,,COMMERCE,274,1,111500
CLT-000083,INS-001,AGE-002,2025-01-30,,TRANSPORT,83,1,154500
CLT-000084,INS-001,AGE-002,2025-03-11,,COMMERCE,38,1,240000
CLT-000085,INS-001,AGE-001,2025-04-20,,TRANSPORT,32,0,
CLT-000086,INS-001,AGE-001,2025-05-09,,ARTISANAT,28,1,3500
CLT-000087,INS-001,AGE-001,2025-06-16,,ARTISANAT,216,1,35000
CLT-000088,INS-001,AGE-001,2025-06-21,,ARTISANAT,71,0,
CLT-000089,INS-001,AGE-001,2025-07-10,,ARTISANAT,17,1,304500
CLT-000090,INS-001,AGE-001,2025-07-11,,RESTAURATION,23,1,1127500
CLT-000091,INS-001,AGE-002,2025-08-02,,TRANSPORT,54,1,34500
CLT-000092,INS-001,AGE-002,2025-08-14,,RESTAURATION,16,0,
CLT-000093,INS-001,AGE-002,2025-09-10,,COMMERCE,132,1,37500
CLT-000094,INS-001,AGE-001,2025-09-16,,COMMERCE,27,1,30500
CLT-000095,INS-001,AGE-002,2025-09-30,,ARTISANAT,76,1,39000
CLT-000096,INS-001,AGE-002,2025-10-23,,SERVICES,12,1,35000
CLT-000097,INS-001,AGE-002,2025-10-24,,TRANSPORT,16,1,234500
CLT-000098,INS-001,AGE-002,2025-10-26,,COMMERCE,59,1,24500
CLT-000099,INS-001,AGE-002,2025-11-16,,COMMERCE,63,0,
CLT-000100,INS-001,AGE-001,2025-12-14,,COMMERCE,109,1,16000
