identifiant_releve,identifiant_activite,identifiant_client,identifiant_institution,date_releve,origine_releve,recettes_mensuelles_declarees,charges_mensuelles_declarees,stock_estime,autres_revenus_menage,charges_menage,dette_externe_mensualite
REL-000039,ACT-000017,CLT-000012,INS-001,2025-01-28,visite_suivi,62828,63390,52250,28998,0,
REL-000040,ACT-000018,CLT-000013,INS-001,2021-01-01,entree_relation,149697,114354,,359732,31928,
REL-000041,ACT-000018,CLT-000013,INS-001,2022-01-08,visite_suivi,157822,121922,,238169,33397,
REL-000042,ACT-000018,CLT-000013,INS-001,2024-01-16,visite_suivi,49195,37983,,333372,9896,
REL-000043,ACT-000018,CLT-000013,INS-001,2025-01-18,visite_suivi,86291,69299,,330602,6294,
REL-000044,ACT-000018,CLT-000013,INS-001,2025-03-23,instruction_demande,73966,,,419495,5481,
REL-000045,ACT-000019,CLT-000014,INS-001,2021-01-01,entree_relation,158723,107312,,0,28363,
REL-000046,ACT-000019,CLT-000014,INS-001,2023-01-19,visite_suivi,137853,94352,,0,24158,
REL-000047,ACT-000019,CLT-000014,INS-001,2023-09-24,instruction_demande,195889,105154,,0,31624,
REL-000048,ACT-000019,CLT-000014,INS-001,2025-01-08,visite_suivi,140783,117112,,0,9913,
REL-000049,ACT-000020,CLT-000015,INS-001,2021-01-01,entree_relation,197713,184066,194630,111505,5767,
REL-000050,ACT-000020,CLT-000015,INS-001,2023-03-08,instruction_demande,273798,198623,182535,69070,4443,
REL-000051,ACT-000021,CLT-000016,INS-001,2021-01-01,entree_relation,126619,108442,97021,439754,9807,
REL-000052,ACT-000022,CLT-000017,INS-001,2021-01-01,entree_relation,1087387,957944,1404954,0,69972,
REL-000053,ACT-000022,CLT-000017,INS-001,2024-01-28,visite_suivi,,825764,1414785,0,54358,
REL-000054,ACT-000022,CLT-000017,INS-001,2025-01-21,visite_suivi,740453,797015,978576,0,0,
REL-000055,ACT-000023,CLT-000018,INS-001,2021-01-01,entree_relation,621346,550480,,,42595,49000
REL-000056,ACT-000023,CLT-000018,INS-001,2023-12-08,instruction_demande,757195,557195,,0,49818,49000
REL-000057,ACT-000023,CLT-000018,INS-001,2024-07-25,instruction_demande,528152,393865,,0,29412,49000
REL-000058,ACT-000024,CLT-000019,INS-001,2021-01-01,entree_relation,144074,73672,,20429,19778,16000
REL-000059,ACT-000024,CLT-000019,INS-001,2022-11-15,instruction_demande,216803,100630,,17075,23856,16000
REL-000060,ACT-000024,CLT-000019,INS-001,2024-01-03,visite_suivi,212715,,,20026,27680,16000
REL-000061,ACT-000024,CLT-000019,INS-001,2024-03-13,instruction_demande,186003,78699,,23288,22664,16000
REL-000062,ACT-000025,CLT-000020,INS-001,2021-01-01,entree_relation,,,1767805,0,66679,
REL-000063,ACT-000025,CLT-000020,INS-001,2022-01-25,visite_suivi,,1298881,1216349,0,69156,
REL-000064,ACT-000025,CLT-000020,INS-001,2023-04-09,instruction_demande,,1010031,557259,0,41737,
REL-000065,ACT-000025,CLT-000020,INS-001,2024-11-03,instruction_demande,1678761,1365752,880034,0,57393,
REL-000066,ACT-000026,CLT-000021,INS-001,2021-01-01,entree_relation,115771,,,177906,8640,37500
REL-000067,ACT-000026,CLT-000021,INS-001,2022-01-31,visite_suivi,87146,59139,,150705,6190,37500
REL-000068,ACT-000026,CLT-000021,INS-001,2023-04-20,instruction_demande,149155,93729,,257052,10045,37500
REL-000069,ACT-000027,CLT-000022,INS-001,2021-01-01,entree_relation,294231,159793,,42057,72735,
REL-000070,ACT-000027,CLT-000022,INS-001,2023-01-17,instruction_demande,316812,162094,,,74757,
REL-000071,ACT-000027,CLT-000022,INS-001,2023-08-18,instruction_demande,685686,286163,,,144905,
REL-000072,ACT-000027,CLT-000022,INS-001,2025-04-24,instruction_demande,487670,293971,,43826,76386,
REL-000073,ACT-000028,CLT-000023,INS-001,2025-04-06,entree_relation,512775,500999,547187,39135,0,
REL-000074,ACT-000029,CLT-000023,INS-001,2025-04-06,entree_relation,90490,88223,122329,39135,0,
REL-000075,ACT-000030,CLT-000024,INS-001,2021-02-13,entree_relation,738097,604656,855374,0,70991,
REL-000076,ACT-000031,CLT-000024,INS-001,2021-02-13,entree_relation,167450,137722,140387,0,70991,
REL-000077,ACT-000030,CLT-000024,INS-001,2023-06-26,instruction_demande,551345,340611,753109,0,50315,
REL-000078,ACT-000031,CLT-000024,INS-001,2023-06-26,instruction_demande,158971,98600,140052,0,50315,
REL-000079,ACT-000030,CLT-000024,INS-001,2024-02-11,visite_suivi,673014,603020,807729,0,67535,
REL-000080,ACT-000031,CLT-000024,INS-001,2024-02-11,visite_suivi,235263,211634,99293,0,67535,
REL-000081,ACT-000030,CLT-000024,INS-001,2025-05-10,instruction_demande,378891,341188,416131,0,0,
REL-000082,ACT-000031,CLT-000024,INS-001,2025-05-10,instruction_demande,144340,,,0,0,
REL-000083,ACT-000032,CLT-000025,INS-001,2021-04-29,entree_relation,80288,43190,,48220,25659,
REL-000084,ACT-000032,CLT-000025,INS-001,2023-07-03,instruction_demande,78824,37519,,56341,24149,
REL-000085,ACT-000032,CLT-000025,INS-001,2024-04-14,visite_suivi,112725,67032,,36753,35451,
REL-000086,ACT-000032,CLT-000025,INS-001,2024-07-06,instruction_demande,130365,61496,,38978,35178,
REL-000087,ACT-000032,CLT-000025,INS-001,2025-10-21,instruction_demande,139580,,,38921,28921,
REL-000088,ACT-000033,CLT-000026,INS-001,2021-05-07,entree_relation,178538,110036,,16563,40918,
REL-000089,ACT-000033,CLT-000026,INS-001,2023-07-19,instruction_demande,375046,183191,,15891,81395,
REL-000090,ACT-000033,CLT-000026,INS-001,2024-05-20,visite_suivi,309687,194164,,16132,69064,
REL-000091,ACT-000033,CLT-000026,INS-001,2025-03-15,instruction_demande,286934,179294,,12619,33894,
REL-000092,ACT-000033,CLT-000026,INS-001,2025-05-23,visite_suivi,274670,222814,,10106,39615,
REL-000093,ACT-000034,CLT-000027,INS-001,2021-05-14,entree_relation,61269,52880,64925,13441,2819,15500
REL-000094,ACT-000034,CLT-000027,INS-001,2023-04-06,instruction_demande,119126,85822,59613,14792,3676,15500
REL-000095,ACT-000034,CLT-000027,INS-001,2025-05-19,visite_suivi,28438,34523,19393,13745,0,15500
REL-000096,ACT-000034,CLT-000027,INS-001,2025-08-22,instruction_demande,37209,36762,51040,16445,0,15500
REL-000097,ACT-000035,CLT-000028,INS-001,2021-05-15,entree_relation,,295104,277597,0,4579,
REL-000098,ACT-000035,CLT-000028,INS-001,2022-05-09,visite_suivi,329527,330408,151549,0,5093,
REL-000099,ACT-000035,CLT-000028,INS-001,2023-05-13,visite_suivi,428925,419908,315604,0,2946,
REL-000100,ACT-000035,CLT-000028,INS-001,2024-05-28,visite_suivi,235958,235241,,0,1666,
REL-000101,ACT-000035,CLT-000028,INS-001,2025-04-23,instruction_demande,623842,576394,401611,0,0,
REL-000102,ACT-000036,CLT-000029,INS-001,2021-06-14,entree_relation,149106,126150,76041,0,10949,
REL-000103,ACT-000036,CLT-000029,INS-001,2022-06-10,visite_suivi,136042,102320,51924,0,9224,
REL-000104,ACT-000037,CLT-000030,INS-001,2021-08-19,entree_relation,363128,281708,143680,0,56324,28500
REL-000105,ACT-000038,CLT-000030,INS-001,2021-08-19,entree_relation,,,178260,0,56324,28500
REL-000106,ACT-000037,CLT-000030,INS-001,2022-08-04,visite_suivi,351446,271400,166015,,60696,28500
REL-000107,ACT-000038,CLT-000030,INS-001,2022-08-04,visite_suivi,358889,275750,235238,0,60696,28500
REL-000108,ACT-000037,CLT-000030,INS-001,2023-08-29,visite_suivi,260115,206447,167955,0,37063,28500
REL-000109,ACT-000038,CLT-000030,INS-001,2023-08-29,visite_suivi,173871,137301,129296,0,37063,28500
REL-000110,ACT-000039,CLT-000031,INS-001,2021-09-02,entree_relation,205233,169997,,10642,16804,32500
REL-000111,ACT-000039,CLT-000031,INS-001,2022-09-20,visite_suivi,360070,273969,,10805,26373,32500
REL-000112,ACT-000039,CLT-000031,INS-001,2024-09-28,visite_suivi,373715,300155,,12187,25670,32500
REL-000113,ACT-000039,CLT-000031,INS-001,2024-12-15,instruction_demande,383267,253732,,15063,26747,32500
REL-000114,ACT-000039,CLT-000031,INS-001,2025-09-11,visite_suivi,274013,275753,,14379,0,32500
REL-000115,ACT-000040,CLT-000032,INS-001,2021-09-14,entree_relation,133461,109947,91261,105401,15851,
REL-000116,ACT-000040,CLT-000032,INS-001,2022-12-03,instruction_demande,186031,113790,106637,101433,15931,
REL-000117,ACT-000040,CLT-000032,INS-001,2023-06-07,instruction_demande,309165,208145,371706,127680,33219,
REL-000118,ACT-000040,CLT-000032,INS-001,2023-09-05,visite_suivi,356328,275090,162705,133652,39692,
REL-000119,ACT-000040,CLT-000032,INS-001,2024-07-07,instruction_demande,219403,139275,120145,103402,20214,
REL-000120,ACT-000041,CLT-000033,INS-001,2021-10-05,entree_relation,431923,394114,529261,108710,15671,
REL-000121,ACT-000041,CLT-000033,INS-001,2024-10-29,visite_suivi,146195,127709,71693,123123,4100,
REL-000122,ACT-000042,CLT-000034,INS-001,2021-12-11,entree_relation,215293,163873,,16525,20218,
REL-000123,ACT-000042,CLT-000034,INS-001,2025-12-07,visite_suivi,216852,473720,336967,27222,0,
REL-000124,ACT-000043,CLT-000035,INS-001,2022-03-26,entree_relation,210810,195883,129783,28636,9914,
REL-000125,ACT-000043,CLT-000035,INS-001,2023-03-24,visite_suivi,200000,158750,166315,42428,6327,
REL-000126,ACT-000043,CLT-000035,INS-001,2024-09-11,instruction_demande,152874,127698,83500,37133,5140,
REL-000127,ACT-000044,CLT-000036,INS-001,2022-05-08,entree_relation,40428,23675,,79636,8342,
REL-000128,ACT-000044,CLT-000036,INS-001,2023-01-23,instruction_demande,49508,26577,,84261,9472,
REL-000129,ACT-000044,CLT-000036,INS-001,2023-05-02,visite_suivi,39721,24297,,107949,8086,
REL-000130,ACT-000044,CLT-000036,INS-001,2024-11-22,instruction_demande,71963,29727,,100307,12540,
REL-000131,ACT-000045,CLT-000037,INS-001,2022-05-22,entree_relation,149544,256395,196475,199624,5598,
REL-000132,ACT-000045,CLT-000037,INS-001,2023-01-15,instruction_demande,198834,155566,157655,280218,5766,
REL-000133,ACT-000045,CLT-000037,INS-001,2024-05-21,visite_suivi,231568,,114959,162419,7072,
REL-000134,ACT-000046,CLT-000038,INS-001,2022-06-03,entree_relation,163079,147029,,136796,6495,16500
REL-000135,ACT-000047,CLT-000039,INS-001,2022-07-14,entree_relation,,217695,290315,0,12041,12500
REL-000136,ACT-000047,CLT-000039,INS-001,2024-07-25,visite_suivi,288823,253729,120148,0,11568,12500
REL-000137,ACT-000047,CLT-000039,INS-001,2025-10-09,instruction_demande,376807,375638,194943,0,0,12500
REL-000138,ACT-000048,CLT-000040,INS-001,2022-07-17,entree_relation,456323,385280,275512,71141,8095,
REL-000139,ACT-000048,CLT-000040,INS-001,2024-09-06,instruction_demande,541451,397956,285615,53033,6038,
REL-000140,ACT-000049,CLT-000041,INS-001,2025-08-16,entree_relation,226574,237222,,183093,0,
REL-000141,ACT-000050,CLT-000041,INS-001,2025-08-16,entree_relation,226210,269074,129929,183093,0,
REL-000142,ACT-000051,CLT-000042,INS-001,2022-08-30,entree_relation,531983,42042700,386037,32517,39890,
REL-000143,ACT-000051,CLT-000042,INS-001,2023-06-24,instruction_demande,671504,415284,280195,31818,44111,
REL-000144,ACT-000052,CLT-000043,INS-001,2022-09-02,entree_relation,338206,311411,149169,20244,17660,
REL-000145,ACT-000052,CLT-000043,INS-001,2023-09-09,visite_suivi,392559,359380,602774,19560,20711,
REL-000146,ACT-000052,CLT-000043,INS-001,2023-12-23,instruction_demande,487879,787934,221874,22130,24326,
REL-000147,ACT-000053,CLT-000044,INS-001,2022-09-15,entree_relation,125567,82301,,105979,16730,
REL-000148,ACT-000053,CLT-000044,INS-001,2023-10-16,instruction_demande,146891,70934,,114430,16474,
REL-000149,ACT-000053,CLT-000044,INS-001,2024-09-06,visite_suivi,83022,57562,,107187,10529,
REL-000150,ACT-000054,CLT-000045,INS-001,2022-10-12,entree_relation,620976,663804,,39940,11650,
REL-000151,ACT-000055,CLT-000045,INS-001,2022-10-12,entree_relation,98768,89641,,39940,11650,
REL-000152,ACT-000054,CLT-000045,INS-001,2024-09-20,instruction_demande,785485,517496,,37600,26558,
REL-000153,ACT-000055,CLT-000045,INS-001,2024-09-20,instruction_demande,106409,59522,,37600,26558,
REL-000154,ACT-000054,CLT-000045,INS-001,2025-09-23,instruction_demande,989825,928739,,,0,
REL-000155,ACT-000055,CLT-000045,INS-001,2025-09-23,instruction_demande,70619,56258,,54138,0,
REL-000156,ACT-000056,CLT-000046,INS-001,2022-11-16,entree_relation,192840,162180,,0,13519,
REL-000157,ACT-000056,CLT-000046,INS-001,2024-09-07,instruction_demande,,143552,215479,0,18361,
REL-000158,ACT-000056,CLT-000046,INS-001,2025-11-30,visite_suivi,217468,206955,118310,0,,
REL-000159,ACT-000057,CLT-000047,INS-001,2022-12-25,entree_relation,600987,518466,880058,56555,24669,7500
REL-000160,ACT-000057,CLT-000047,INS-001,2023-08-07,instruction_demande,1456641,1200686,,60475,111089,7500
REL-000161,ACT-000057,CLT-000047,INS-001,2024-09-12,instruction_demande,1299992,961720,1157852,51958,81742,7500
REL-000162,ACT-000058,CLT-000048,INS-001,2022-12-27,entree_relation,164964,128561,,84520,27100,
REL-000163,ACT-000059,CLT-000048,INS-001,2022-12-27,entree_relation,68594,,61076,84520,,
REL-000164,ACT-000058,CLT-000048,INS-001,2023-09-24,instruction_demande,144306,79029,,56638,26795,
REL-000165,ACT-000059,CLT-000048,INS-001,2023-09-24,instruction_demande,80065,52293,57930,56638,26795,
REL-000166,ACT-000060,CLT-000049,INS-001,2023-01-21,entree_relation,244206,234550,102493,0,37,30000
REL-000167,ACT-000060,CLT-000049,INS-001,2024-01-23,visite_suivi,,407846,392731,0,63,30000
REL-000168,ACT-000060,CLT-000049,INS-001,2025-02-06,instruction_demande,515889,461304,279799,0,0,30000
REL-000169,ACT-000061,CLT-000050,INS-001,2023-01-26,entree_relation,129606,64324,64630,115859,39236,
REL-000170,ACT-000061,CLT-000050,INS-001,2023-05-09,instruction_demande,79564,37251,107738,144903,23119,
REL-000171,ACT-000061,CLT-000050,INS-001,2024-01-04,instruction_demande,92819,37890,39821,137808,24735,
REL-000172,ACT-000061,CLT-000050,INS-001,2024-09-15,instruction_demande,119079,45651,80231,143224,29426,
REL-000173,ACT-000062,CLT-000051,INS-001,2023-02-13,entree_relation,101486,91838,101997,15440,2968,
REL-000174,ACT-000062,CLT-000051,INS-001,2023-05-13,instruction_demande,99263,80262,133667,16586,2817,
REL-000175,ACT-000062,CLT-000051,INS-001,2023-10-07,instruction_demande,118718,89396,138677,9455,3900,
REL-000176,ACT-000062,CLT-000051,INS-001,2024-06-19,instruction_demande,120103,87978,,16281,2951,
REL-000177,ACT-000063,CLT-000052,INS-001,2023-02-22,entree_relation,935902,817427,708665,166840,46539,
REL-000178,ACT-000063,CLT-000052,INS-001,2024-02-02,visite_suivi,495537,448582,528047,152046,24873,
REL-000179,ACT-000064,CLT-000053,INS-001,2023-04-01,entree_relation,200527,169451,231929,0,,
REL-000180,ACT-000064,CLT-000053,INS-001,2023-12-05,instruction_demande,,127515,134104,0,18641,
REL-000181,ACT-000064,CLT-000053,INS-001,2024-11-16,instruction_demande,500142,305549,518934,0,43992,
REL-000182,ACT-000065,CLT-000054,INS-001,2023-04-22,entree_relation,68333,36533,41983,51227,12049,
REL-000183,ACT-000065,CLT-000054,INS-001,2024-04-29,visite_suivi,42454,23940,47013,46302,7764,
REL-000184,ACT-000066,CLT-000055,INS-001,2025-08-02,entree_relation,552858,473031,,0,29019,
REL-000185,ACT-000067,CLT-000055,INS-001,2025-08-02,entree_relation,26592,30329,28132,0,29019,
REL-000186,ACT-000068,CLT-000056,INS-001,2023-05-12,entree_relation,277579,243301,180775,0,16542,
REL-000187,ACT-000068,CLT-000056,INS-001,2025-01-17,instruction_demande,407308,350399,329293,0,0,
REL-000188,ACT-000068,CLT-000056,INS-001,2025-05-01,visite_suivi,263787,301614,162580,0,0,
REL-000189,ACT-000069,CLT-000057,INS-001,2025-03-24,entree_relation,235206,260530,151380,150331,0,
REL-000190,ACT-000069,CLT-000057,INS-001,2025-08-15,instruction_demande,165250,122490,125005,,0,
REL-000191,ACT-000070,CLT-000058,INS-001,2023-06-25,entree_relation,1660261,1363050,,20830,223789,
REL-000192,ACT-000070,CLT-000058,INS-001,2023-09-07,instruction_demande,2636415,1747593,3067872,17490,298812,
REL-000193,ACT-000070,CLT-000058,INS-001,2024-03-19,instruction_demande,3791267,2170412,2975856,15830,369824,
REL-000194,ACT-000070,CLT-000058,INS-001,2024-06-28,visite_suivi,2568191,2032706,3160596,15820,287067,
REL-000195,ACT-000070,CLT-000058,INS-001,2025-11-17,instruction_demande,7804051,5786198,8382007,17365,0,
REL-000196,ACT-000071,CLT-000059,INS-001,2023-06-26,entree_relation,214001,178850,127022,0,23375,
REL-000197,ACT-000071,CLT-000059,INS-001,2023-08-12,instruction_demande,279518,218996,223001,0,28396,
REL-000198,ACT-000071,CLT-000059,INS-001,2024-06-06,visite_suivi,189511,163047,233638,0,19249,
REL-000199,ACT-000071,CLT-000059,INS-001,2025-03-14,instruction_demande,200073,161048,116201,0,0,
REL-000200,ACT-000072,CLT-000060,INS-001,2023-07-05,entree_relation,107263,90807,43739,544892,27893,
REL-000201,ACT-000073,CLT-000060,INS-001,2023-07-05,entree_relation,169838,115669,,,27893,
REL-000202,ACT-000072,CLT-000060,INS-001,2024-07-01,visite_suivi,54685,,53658,443931,15492,
REL-000203,ACT-000073,CLT-000060,INS-001,2024-07-01,visite_suivi,98849,70555,,443931,15492,
REL-000204,ACT-000072,CLT-000060,INS-001,2025-07-21,visite_suivi,81012,80266,44521,420909,2133,
REL-000205,ACT-000073,CLT-000060,INS-001,2025-07-21,visite_suivi,109763,87490,,420909,2133,
REL-000206,ACT-000074,CLT-000061,INS-001,2025-09-11,entree_relation,1665620,140250,,33829,5834,
REL-000207,ACT-000075,CLT-000062,INS-001,2023-09-21,entree_relation,5761560,3934986,,54501,1017383,24500
REL-000208,ACT-000075,CLT-000062,INS-001,2025-09-16,visite_suivi,2535338,1999021,,38903,,24500
REL-000209,ACT-000075,CLT-000062,INS-001,2025-11-12,instruction_demande,2134146,1248830,,42824,138760,24500
REL-000210,ACT-000076,CLT-000063,INS-001,2023-10-15,entree_relation,429222,1654944,518347,199590,20132,
REL-000211,ACT-000077,CLT-000064,INS-001,2024-01-05,entree_relation,242516,189931,,,,115500
REL-000212,ACT-000078,CLT-000064,INS-001,2024-01-05,entree_relation,98269,86682,50813,27718,34743,115500
REL-000213,ACT-000079,CLT-000065,INS-001,2025-09-04,entree_relation,173812,186931,158050,12119,,
REL-000214,ACT-000080,CLT-000066,INS-001,2024-01-11,entree_relation,279265,267284,292215,30347,7876,
REL-000215,ACT-000080,CLT-000066,INS-001,2025-01-02,visite_suivi,428408,487147,507014,32443,,
REL-000216,ACT-000080,CLT-000066,INS-001,2025-01-06,instruction_demande,461594,458918,381850,32443,0,
REL-000217,ACT-000081,CLT-000067,INS-001,2024-01-16,entree_relation,188778,,244290,73682,8658,26500
REL-000218,ACT-000081,CLT-000067,INS-001,2025-01-05,visite_suivi,262586,273659,332257,67451,0,26500
REL-000219,ACT-000081,CLT-000067,INS-001,2025-05-06,instruction_demande,238886,183177,260933,76649,0,26500
REL-000220,ACT-000082,CLT-000068,INS-001,2024-02-06,entree_relation,44344,35942,59464,230674,3099,
REL-000221,ACT-000082,CLT-000068,INS-001,2024-12-22,instruction_demande,45178,34562,56056,,3024,
REL-000222,ACT-000082,CLT-000068,INS-001,2025-02-19,visite_suivi,,27630,15639,177953,0,
REL-000223,ACT-000083,CLT-000069,INS-001,2024-02-16,entree_relation,356062,306116,548775,14018,20183,
REL-000224,ACT-000083,CLT-000069,INS-001,2024-10-03,instruction_demande,476500,338487,418196,14915,22291,
REL-000225,ACT-000083,CLT-000069,INS-001,2025-02-07,visite_suivi,310584,347971,197954,9031,0,
REL-000226,ACT-000083,CLT-000069,INS-001,2025-10-10,instruction_demande,301155,276155,344538,11995,0,
REL-000227,ACT-000084,CLT-000070,INS-001,2024-03-15,entree_relation,1139117,837227,,,190411,
REL-000228,ACT-000085,CLT-000071,INS-001,2024-03-26,entree_relation,263963,171217,,30836,75101,
REL-000229,ACT-000086,CLT-000071,INS-001,2024-03-26,entree_relation,49680,42080,55594,30836,75101,
REL-000230,ACT-000087,CLT-000072,INS-001,2024-05-07,entree_relation,126332,125397,122981,0,27,46000
REL-000231,ACT-000087,CLT-000072,INS-001,2024-07-03,instruction_demande,147886,121255,57151,0,28,46000
REL-000232,ACT-000087,CLT-000072,INS-001,2025-03-12,instruction_demande,172228,173621,194398,,0,46000
REL-000233,ACT-000088,CLT-000073,INS-001,2024-07-01,entree_relation,,375656,336312,0,16810,20500
REL-000234,ACT-000088,CLT-000073,INS-001,2024-12-11,instruction_demande,636117,513739,307276,0,23898,20500
REL-000235,ACT-000088,CLT-000073,INS-001,2025-04-16,instruction_demande,547954,450165,244782,0,0,20500
REL-000236,ACT-000088,CLT-000073,INS-001,2025-07-15,visite_suivi,444835,494832,297396,0,0,20500
REL-000237,ACT-000089,CLT-000074,INS-001,2024-07-25,entree_relation,207630,168667,146925,0,14336,16500
REL-000238,ACT-000090,CLT-000075,INS-001,2024-08-28,entree_relation,697889,572060,712071,0,54055,
REL-000239,ACT-000090,CLT-000075,INS-001,2025-01-13,instruction_demande,1224818,831757,964769,0,0,
REL-000240,ACT-000090,CLT-000075,INS-001,2025-08-27,visite_suivi,661726,685914,,,0,
REL-000241,ACT-000090,CLT-000075,INS-001,2025-10-17,instruction_demande,1075430,936107,794763,0,0,
REL-000242,ACT-000091,CLT-000076,INS-001,2024-09-03,entree_relation,722737,679482,1026841,0,18578,
REL-000243,ACT-000091,CLT-000076,INS-001,2025-04-10,instruction_demande,645014,734119,793515,0,0,
REL-000244,ACT-000092,CLT-000077,INS-001,2024-09-07,entree_relation,363865,346302,159728,57920,12454,
REL-000245,ACT-000092,CLT-000077,INS-001,2024-12-24,instruction_demande,629416,424203,709966,101756,18856,
REL-000246,ACT-000092,CLT-000077,INS-001,2025-09-27,visite_suivi,400000,852524,515390,88206,0,
REL-000247,ACT-000093,CLT-000078,INS-001,2024-10-10,entree_relation,299368,217129,,126680,37059,
REL-000248,ACT-000093,CLT-000078,INS-001,2025-11-06,instruction_demande,296870,208112,,100137,10501,
REL-000249,ACT-000094,CLT-000079,INS-001,2024-10-15,entree_relation,374226,305427,,63011,39502,
REL-000250,ACT-000094,CLT-000079,INS-001,2025-05-23,instruction_demande,350364,308707,,73856,8411,
REL-000251,ACT-000095,CLT-000080,INS-001,2024-11-16,entree_relation,90072,72307,71861,0,6904,
REL-000252,ACT-000095,CLT-000080,INS-001,2025-09-25,instruction_demande,73897,61817,53285,0,0,
REL-000253,ACT-000096,CLT-000081,INS-001,2025-01-19,entree_relation,551245,608965,,108079,0,
REL-000254,ACT-000097,CLT-000082,INS-001,2025-01-30,entree_relation,1361791,1337211,901490,0,0,
REL-000255,ACT-000098,CLT-000082,INS-001,2025-01-30,entree_relation,20311,19301,18323,0,0,
REL-000256,ACT-000099,CLT-000083,INS-001,2025-01-30,entree_relation,444571,465783,,36179,0,
REL-000257,ACT-000100,CLT-000084,INS-001,2025-03-11,entree_relation,230866,247226,336375,0,0,
