identifiant_demande,identifiant_client,identifiant_institution,identifiant_agent,identifiant_produit,date_demande,montant_demande,duree_demandee_mois,objet_credit,identifiant_releve_instruction,rang_demande_client
DEM-000018,CLT-000020,INS-001,AGT-0001,PRO-003,2024-11-03,900000,12,achat_stock,REL-000065,2
DEM-000019,CLT-000021,INS-001,AGT-0001,PRO-001,2023-04-20,250000,9,tresorerie,REL-000068,1
DEM-000020,CLT-000022,INS-001,AGT-0001,PRO-001,2023-01-17,250000,6,tresorerie,REL-000070,1
DEM-000021,CLT-000022,INS-001,AGT-0001,PRO-002,2023-08-18,600000,12,achat_stock,REL-000071,2
DEM-000022,CLT-000022,INS-001,AGT-0001,PRO-001,2025-04-24,250000,6,tresorerie,REL-000072,3
DEM-000023,CLT-000024,INS-001,AGT-0001,PRO-005,2023-06-26,1500000,18,equipement,REL-000077,1
DEM-000024,CLT-000024,INS-001,AGT-0001,PRO-003,2025-05-10,125000,6,achat_stock,REL-000081,2
DEM-000025,CLT-000025,INS-001,AGT-0001,PRO-005,2023-07-03,665000,12,equipement,REL-000084,1
DEM-000026,CLT-000025,INS-001,AGT-0001,PRO-005,2024-07-06,635000,12,equipement,REL-000086,2
DEM-000027,CLT-000025,INS-001,AGT-0001,PRO-005,2025-10-21,320000,12,equipement,REL-000087,3
DEM-000028,CLT-000026,INS-001,AGT-0001,PRO-002,2023-07-19,600000,9,achat_stock,REL-000089,1
DEM-000029,CLT-000026,INS-001,AGT-0001,PRO-001,2025-03-15,250000,9,tresorerie,REL-000091,2
DEM-000030,CLT-000027,INS-001,AGT-0001,PRO-005,2023-04-06,250000,18,equipement,REL-000094,1
DEM-000031,CLT-000027,INS-001,AGT-0001,PRO-001,2025-08-22,45000,6,tresorerie,REL-000096,2
DEM-000032,CLT-000028,INS-001,AGT-0001,PRO-003,2025-04-23,660000,12,achat_stock,REL-000101,1
DEM-000033,CLT-000031,INS-001,AGT-0001,PRO-005,2024-12-15,1500000,18,equipement,REL-000113,1
DEM-000034,CLT-000032,INS-001,AGT-0001,PRO-001,2022-12-03,250000,9,tresorerie,REL-000116,1
DEM-000035,CLT-000032,INS-001,AGT-0001,PRO-002,2023-06-07,420000,6,achat_stock,REL-000117,2
DEM-000036,CLT-000032,INS-001,AGT-0001,PRO-005,2024-07-07,1500000,12,equipement,REL-000119,3
DEM-000037,CLT-000035,INS-001,AGT-0001,PRO-001,2024-09-11,85000,6,tresorerie,REL-000126,1
DEM-000038,CLT-000036,INS-001,AGT-0001,PRO-001,2023-01-23,145000,9,tresorerie,REL-000128,1
DEM-000039,CLT-000036,INS-001,AGT-0001,PRO-002,2024-11-22,280000,12,achat_stock,REL-000130,2
DEM-000040,CLT-000037,INS-001,AGT-0001,PRO-002,2023-01-15,600000,12,achat_stock,REL-000132,1
DEM-000041,CLT-000039,INS-001,AGT-0001,PRO-003,2025-10-09,100000,6,achat_stock,REL-000137,1
DEM-000042,CLT-000040,INS-001,AGT-0001,PRO-003,2024-09-06,900000,9,achat_stock,REL-000139,1
DEM-000043,CLT-000042,INS-001,AGT-0001,PRO-002,2023-06-24,600000,12,achat_stock,REL-000143,1
DEM-000044,CLT-000043,INS-001,AGT-0001,PRO-001,2023-12-23,250000,9,tresorerie,REL-000146,1
DEM-000045,CLT-000044,INS-001,AGT-0001,PRO-001,2023-10-16,250000,9,tresorerie,REL-000148,1
DEM-000046,CLT-000045,INS-001,AGT-0001,PRO-002,2024-09-20,600000,12,achat_stock,REL-000152,1
DEM-000047,CLT-000045,INS-001,AGT-0001,PRO-001,2025-09-23,250000,9,tresorerie,REL-000154,2
DEM-000048,CLT-000046,INS-001,AGT-0001,PRO-003,2024-09-07,390000,9,achat_stock,REL-000157,1
DEM-000049,CLT-000047,INS-001,AGT-0001,PRO-005,2023-08-07,1500000,12,equipement,REL-000160,1
DEM-000050,CLT-000047,INS-001,AGT-0001,PRO-005,2024-09-12,1500000,24,equipement,REL-000161,2
DEM-000051,CLT-000048,INS-001,AGT-0001,PRO-002,2023-09-24,600000,9,achat_stock,REL-000164,1
DEM-000052,CLT-000049,INS-001,AGT-0001,PRO-001,2025-02-06,250000,9,tresorerie,REL-000168,1
DEM-000053,CLT-000050,INS-001,AGT-0001,PRO-001,2023-05-09,250000,6,tresorerie,REL-000170,1
DEM-000054,CLT-000050,INS-001,AGT-0001,PRO-002,2024-01-04,115000,3,achat_stock,REL-000171,2
DEM-000055,CLT-000050,INS-001,AGT-0001,PRO-002,2024-09-15,600000,9,achat_stock,REL-000172,3
DEM-000056,CLT-000051,INS-001,AGT-0001,PRO-005,2023-05-13,335000,24,equipement,REL-000174,1
DEM-000057,CLT-000051,INS-001,AGT-0001,PRO-002,2023-10-07,100000,6,achat_stock,REL-000175,2
DEM-000058,CLT-000051,INS-001,AGT-0001,PRO-005,2024-06-19,210000,12,equipement,REL-000176,3
DEM-000059,CLT-000053,INS-001,AGT-0001,PRO-001,2023-12-05,250000,9,tresorerie,REL-000180,1
DEM-000060,CLT-000053,INS-001,AGT-0001,PRO-002,2024-11-16,600000,9,achat_stock,REL-000181,2
DEM-000061,CLT-000056,INS-001,AGT-0001,PRO-003,2025-01-17,900000,12,achat_stock,REL-000187,1
DEM-000062,CLT-000057,INS-001,AGT-0001,PRO-001,2025-08-15,95000,6,tresorerie,REL-000190,1
DEM-000063,CLT-000058,INS-001,AGT-0001,PRO-002,2023-09-07,600000,6,achat_stock,REL-000192,1
DEM-000064,CLT-000058,INS-001,AGT-0001,PRO-003,2024-03-19,900000,12,achat_stock,REL-000193,2
DEM-000065,CLT-000058,INS-001,AGT-0001,PRO-003,2025-11-17,900000,9,achat_stock,REL-000195,3
DEM-000066,CLT-000059,INS-001,AGT-0001,PRO-002,2023-08-12,275000,6,achat_stock,REL-000197,1
DEM-000067,CLT-000059,INS-001,AGT-0001,PRO-003,2025-03-14,185000,6,achat_stock,REL-000199,2
DEM-000068,CLT-000062,INS-001,AGT-0001,PRO-002,2025-11-12,600000,3,achat_stock,REL-000209,1
DEM-000069,CLT-000066,INS-001,AGT-0001,PRO-001,2025-01-06,30000,9,tresorerie,REL-000216,1
DEM-000070,CLT-000067,INS-001,AGT-0001,PRO-001,2025-05-06,250000,6,tresorerie,REL-000219,1
DEM-000071,CLT-000068,INS-001,AGT-0001,PRO-003,2024-12-22,140000,12,achat_stock,REL-000221,1
DEM-000072,CLT-000069,INS-001,AGT-0001,PRO-003,2024-10-03,645000,9,achat_stock,REL-000224,1
DEM-000073,CLT-000069,INS-001,AGT-0001,PRO-005,2025-10-10,150000,12,equipement,REL-000226,2
DEM-000074,CLT-000072,INS-001,AGT-0001,PRO-005,2024-07-03,150000,12,equipement,REL-000231,1
DEM-000075,CLT-000072,INS-001,AGT-0001,PRO-001,2025-03-12,25000,9,tresorerie,REL-000232,2
DEM-000076,CLT-000073,INS-001,AGT-0001,PRO-002,2024-12-11,370000,6,achat_stock,REL-000234,1
DEM-000077,CLT-000073,INS-001,AGT-0001,PRO-003,2025-04-16,900000,12,achat_stock,REL-000235,2
DEM-000078,CLT-000075,INS-001,AGT-0001,PRO-001,2025-01-13,250000,3,tresorerie,REL-000239,1
DEM-000079,CLT-000075,INS-001,AGT-0001,PRO-001,2025-10-17,250000,9,tresorerie,REL-000241,2
DEM-000080,CLT-000076,INS-001,AGT-0001,PRO-002,2025-04-10,50000,9,achat_stock,REL-000243,1
DEM-000081,CLT-000077,INS-001,AGT-0001,PRO-001,2024-12-24,250000,3,tresorerie,REL-000245,1
DEM-000082,CLT-000078,INS-001,AGT-0001,PRO-002,2025-11-06,600000,9,achat_stock,REL-000248,1
DEM-000083,CLT-000079,INS-001,AGT-0001,PRO-002,2025-05-23,305000,12,achat_stock,REL-000250,1
DEM-000084,CLT-000080,INS-001,AGT-0001,PRO-001,2025-09-25,25000,3,tresorerie,REL-000252,1
DEM-000085,CLT-000085,INS-001,AGT-0001,PRO-002,2025-07-24,380000,12,achat_stock,REL-000259,1
DEM-000086,CLT-000085,INS-001,AGT-0001,PRO-002,2025-11-03,500000,12,achat_stock,REL-000260,2
DEM-000087,CLT-000087,INS-001,AGT-0001,PRO-005,2025-10-20,920000,24,equipement,REL-000263,1
